Attacker,Fast Move,Charged Move,Level,"Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Tapu Bulu, Tier 5","Tapu Bulu, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Tapu Koko, Tier 5","Tapu Koko, Tier 5","Tapu Lele, Tier 5","Tapu Lele, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Zacian (Hero), Tier 5","Zacian (Hero), Tier 5","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togekiss, Tier 3","Togekiss, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Wigglytuff, Tier 3","Wigglytuff, Tier 3"
Salazzle,Incinerate,Sludge Wave,30,2.7404209295251722,2.2574869073559487,2.0137176167742,1.7434692885286343,1.7236929667996428,1.7511674065830052,2.2257369964989056,2.246928441963756,3.316101101146252,3.1350511008670243,2.995996543511399,2.571044216943603,2.980173537997814,2.7407275830901066,2.6567118451208356,2.4749650245154386,2.2781155263307076,2.290426302363812,2.2331700681385893,2.2526161599256995,2.9671327811623334,2.668396205730294,2.921565663572418,3.003785571262623,2.8378418703569475,2.822264945157243,1.6576659372632727,1.7340640625499066,2.893020164737691,2.7732039112183533,2.2269903410231473,2.233303915519507,1.679861665301252,1.7320559362406416,2.514808161614261,2.612559262782422,2.2308062227837153,2.1962570272394375,1.691594382425669,1.6995962057541123,2.986296049679455,2.8474950060089594,1.673954638985033,1.7336490096958677,2.2926378507773473,2.347703795924883,2.306540493953982,2.352088652539601,2.1361368856325655,2.1730113601840078
Salazzle,Incinerate,Poison Fang,30,2.528436575057843,2.3108788106168934,2.021261953300127,1.8768195227815738,1.8542095794581388,1.9059134117934124,2.2930028338301502,2.3554324877235002,2.9513162162289874,2.890970927213,2.7192659810159046,2.4992866608034583,2.793915644152791,2.658073099219291,2.570779232297952,2.4828564618331086,2.2905828921262974,2.309035768947339,2.342550386096018,2.4127651289577767,2.7430761277255598,2.426969731780716,2.8417438227188114,2.8976846351195493,2.855000791089754,2.9047829654459356,1.820788539106046,1.9093443083333383,2.8970124431702557,2.796115513239633,2.3163410398791022,2.3206514629229456,1.83085774900672,1.927554896788828,2.6837072136899254,2.8206518151852817,2.337242501199617,2.339840939180411,1.8711038721301898,1.8715199469115844,2.855510368847891,2.7799079280726686,1.8261411370074347,1.8996005871207384,2.3721125718575484,2.4095270271569764,2.4034686095838365,2.4714900389636396,2.2396146784227207,2.3183274523602515
Nihilego,Poison Jab or Acid,Sludge Bomb,40,1.068016537896056,1.0727748082384019,1.0706084520311814,1.0758658308998474,1.151773497412118,1.1677474773790457,1.1572680810371128,1.1606799398036385,1.1462695787137211,1.1678675617426746,1.1015785387773527,1.1229979708775133,1.1962505607671248,1.2101962141637064,1.1685197496214634,1.200776491587381,1.1103323847854432,1.1384905617595378,1.141370910199921,1.2096095884121536,1.0381371459776976,1.0554745120065259,1.1593891568086239,1.193612278155212,1.1988832756267087,1.2512549627083969,1.1830535746893207,1.2456169505233083,1.2698852071227178,1.3081448537125162,1.1592073574360566,1.2285072235706564,1.171191510117489,1.2309051612689363,1.341727573352405,1.4154854943057362,1.1518468212786641,1.1837856050424262,1.1820070512642524,1.227433903926594,1.2769653859680836,1.2931967952986316,1.1787459740958248,1.2442595338007463,1.1600135653460544,1.2334269102872892,1.2032173606456051,1.281295494370606,1.1365839519034358,1.198302324733561
Gengar,Lick,Sludge Bomb,30,1.489650300807975,1.404093502521999,1.5063283391603368,1.404304263350164,1.5074786260056268,1.4742160245004818,1.753093906980809,1.6091618176532791,1.423048336080507,1.4167577594231924,1.5582908216335658,1.457171566243462,1.4810203674232811,1.4062669681370565,1.4827085597924248,1.467428481609926,1.4719759197324418,1.4444198401451167,1.6139132497810744,1.6339832766251872,1.5962309850255567,1.277356576025532,1.5580042199946578,1.5176152681808677,1.517724825868267,1.5685344418401852,1.4193708428677063,1.4741516843674047,1.6996004013138344,1.5218867621906493,1.4841448733771048,1.5016247087973893,1.425660092153678,1.4725851995321284,1.5212162732125938,1.5315447643533693,1.4752251591257806,1.442066529085239,1.5546234268659056,1.5183919520704108,1.6709714994562774,1.5242808450774177,1.46397726698339,1.5093877648500638,1.5255467648637022,1.5018070246182822,1.4693759070891936,1.505516843410444,1.6479430311573733,1.7038669699584283
Gengar,Shadow Claw,Sludge Bomb,30,1.5849845273627359,1.432663074045997,1.599505755631972,1.437454611396129,1.5631499965796636,1.5389051205980515,1.9066792984930643,1.7549949290324887,1.5514855572552664,1.5442252433256995,1.6279674469288135,1.567892331686737,1.5684801666039594,1.4322122277015001,1.590645096072302,1.54989767269854,1.5037793322374018,1.4884571169434841,1.8231103568045104,1.8704723487258683,1.638809808592905,1.3153297121912733,1.6303133107908037,1.5627499125148312,1.5577338590094085,1.616693281624273,1.5061159600734506,1.577726810606823,1.6741034061457631,1.5010257669379024,1.5121880843830127,1.5415513788645434,1.5041299433155435,1.555590261828204,1.4984333207728804,1.5212730917239081,1.57060485248109,1.5400034619094143,1.635557275065466,1.5791367835202,1.6798515345224971,1.565295530500739,1.4925590641794027,1.539798237361863,1.5641255576632986,1.555242563901691,1.5568678855292302,1.6010837811519458,1.9026743605408436,1.9501910671811873
Gengar,Hex,Sludge Bomb,30,1.5863323392920041,1.5148464813210754,1.5923685724102323,1.5283763830781822,1.5164387158861594,1.5076869014379237,1.743234818277848,1.6286855832726082,1.489072391785199,1.5054819324465911,1.6303012873803897,1.5678991515922878,1.606349794032487,1.56183454151207,1.5286518206224313,1.538897708058758,1.5314555864180037,1.5313731421121253,1.6179032214093674,1.6657329908576795,1.7767930007839807,1.4073770918461201,1.584206701053342,1.5615056145807236,1.5160286742439575,1.5410714298855313,1.4598452433396993,1.513965885375392,1.810716834707435,1.6749362575120799,1.4946728861558893,1.5326262711868175,1.4546512793070954,1.5193353191046035,1.5460719284561115,1.5732680893491944,1.5194941637447354,1.5017158948765807,1.550456419150535,1.5237423593729837,1.799526126701552,1.6826312196772777,1.4511806619846848,1.488451836289957,1.5395792050168702,1.5285010100284835,1.5108954859137675,1.5490292046965302,1.641922674962632,1.6864403339008087
Gengar,Sucker Punch,Sludge Bomb,30,1.753451580062371,1.6287242764455965,1.6690903887217243,1.552058029625758,1.569237055813932,1.5398863764823376,1.9765542749726026,1.7853396691122607,1.638286536872913,1.6643534991775661,1.7671627507991614,1.6907884051519058,1.813399442439536,1.7315934617276405,1.6941811061075551,1.6811227891200016,1.6775768720594073,1.670045326228672,1.629424820536615,1.6417789509071465,1.9817219404056448,1.5232541937343664,1.8002840938503621,1.7413114285655122,1.7077297563811509,1.7497494269198646,1.5637671023601452,1.6300011390022702,2.06140107850389,1.867956901255195,1.6637505485781705,1.6911058014361824,1.5011317759709049,1.578258873224763,1.7914516940680238,1.8193326418242497,1.5450731933997328,1.524979429289821,1.6051527947343824,1.5759344961689126,2.0307513769208603,1.8720962230470304,1.5279146532033923,1.55782620722326,1.7500604222053688,1.7317377169830312,1.6799392910930837,1.7282772736147887,1.6754829707715269,1.7130439393755268
Gengar,Lick,Sludge Wave,30,2.024183819993144,1.7865483941963776,2.0827095850236406,1.7962119000252394,1.992568005527636,1.8667042411703152,2.3734571117746013,2.094882884721661,1.842868367207982,1.7402031576817547,2.0139681408398755,1.8159917271680166,1.921244943133179,1.653948116707149,1.9004570513736974,1.7974698295696234,1.8524702681253902,1.8035554900515847,2.188939953722693,2.1617148691701864,2.2339509623171474,1.5478333574135876,2.063925588946016,1.927498172647063,1.9233640079918464,1.9402464152595698,1.7540095591820155,1.790378835770939,2.1244936642261596,1.8068378178799744,1.892056870991348,1.8960290841505878,1.7702093773233762,1.8249625655280843,1.809102247321988,1.8201098239271225,1.8751734156464173,1.7950458588814255,1.9509180326281643,1.8807050307183102,2.0292979363945434,1.8638947586049972,1.8194734594173974,1.84384521879866,2.0209896163558585,1.8783092296281005,1.8332833799495822,1.8565048633039127,2.2397272804605497,2.264995100416603
Gengar,Shadow Claw,Sludge Wave,30,2.0327596895433455,1.7490950019498999,2.0457288732339842,1.7613922492394154,1.9594875285116482,1.8489781997970374,2.668717028798337,2.2364220349058472,1.9022829249516826,1.855268408963304,2.146042145182379,1.9178093065004247,1.8905946859972431,1.6441678810975506,1.9507260063594352,1.899083113075985,1.8396068250099202,1.8102114846097161,2.484949217524891,2.439259393180488,2.038196286803958,1.535581476982022,2.0415262383033883,1.9264691399949063,1.9109427950120874,1.9527537282404324,1.808003690608414,1.8474549024405384,2.060502248003359,1.7485797875471878,1.915543351951952,1.8641055022466293,1.8028134811454335,1.8538564467322383,1.7360238027860748,1.7257460703841916,1.9670164713502307,1.872033842155015,1.9469228244296852,1.869591758163704,2.2118516257685896,1.8526213905095978,1.8123431780584482,1.8163688777589169,1.960547922021057,1.8840623210973828,1.9244006837602587,1.918752634989174,2.6433484426837124,2.59835375102604
Gengar,Hex,Sludge Wave,30,2.280253156628222,2.0594298999223044,2.2846947864247364,2.0696668723795906,2.0728710271215314,1.9619362924704906,2.325336389664983,2.174096035257182,2.038792927542059,1.9796835015359684,2.2567143116348394,2.084109493984786,2.157194814231793,1.9389204185438826,2.075140639098932,1.9844393308531054,2.0315644691344033,2.0594927725185648,2.30339338344636,2.315784892770671,2.7059297817008554,1.8383264939156878,2.1801120224293338,2.081927614046495,2.0017427891249078,2.0028085526001096,1.866606261378723,1.9138813340428495,2.3724279533349826,2.1080923639891136,2.0010417074601903,2.0072258540835213,1.8640635699368755,1.915121253593094,1.9200401951872248,1.951593365031373,1.9916835788872655,1.9538023958277109,1.968191326403001,1.9033376347666353,2.257282073434624,2.1294113587524928,1.8431367545401176,1.8673850111471477,2.097953850897871,1.9867744286816036,1.9839455317423702,1.9842508484820598,2.244945474872926,2.227503068453864
Gengar,Sucker Punch,Sludge Wave,30,2.611730803139918,2.2574826171473634,2.416630780170421,2.1013567848360384,2.107552148993885,1.9590279968890214,2.8019169787174767,2.4892697430295923,2.2988468314283543,2.2129985346975123,2.643063164589767,2.2691897528110907,2.6793642108285667,2.2455316497416793,2.3146057318090767,2.1867864152386796,2.325468533529846,2.274536999036336,2.1675584198680573,2.1830487525816773,3.2513510134520707,2.036759324565897,2.592222620248106,2.388235532851975,2.2932987338884456,2.31532653609393,1.9977700565342873,2.0363575249781993,2.8758492109467264,2.4479726713498975,2.2435286164522084,2.2878574103731677,1.896667976833721,1.9657161799317135,2.309292283088329,2.35224206041124,2.0149170707901223,1.9330448264806628,2.066342268373492,1.9766906032313665,2.6784852975402247,2.517069516239783,1.928968565354151,1.959617046523577,2.461411911476501,2.310284981251487,2.219986462840279,2.2436876852265253,2.222294982539365,2.226019660199806
Shadow Nidoqueen,Poison Jab,Sludge Wave,45,1.4645557982383546,1.4047607157612396,1.4633852358452504,1.4010860919769035,1.57883828396579,1.5122884835337347,1.6871179001348224,1.5156182675306442,1.5601613851769467,1.5197100582641385,1.4194276299704933,1.393592968092814,1.7791917844023029,1.6114751378053829,1.5796503591059197,1.552652480366562,1.4385043931749903,1.451518893486764,1.4538900871864098,1.4357833049374278,1.675166614162678,1.4515709255914586,1.576498646827032,1.5565705813777724,1.5237126394065723,1.5351356810914831,1.4983805376452302,1.5461342624538448,1.7717454169610876,1.7514783884341514,1.452950715037975,1.4930720624086047,1.4976844707319732,1.5513333870028274,1.7333070048167374,1.7839596976916374,1.555925220905032,1.4954396333326265,1.511954408553663,1.5166358410572633,1.745899700909169,1.69656054207109,1.5282081154245477,1.5392032320757807,1.5360949112643019,1.5578176717481154,1.505878435435148,1.5846778255478604,1.5093027180259373,1.514007919980468
Muk (Alola),Poison Jab,Gunk Shot,30,1.6758104740294368,1.6433567621624197,1.6825626640161986,1.649583289389222,1.763370316981019,1.7283826335573975,1.8121512733571503,1.7658906402860475,1.730539421190482,1.710685324250262,1.758823840234944,1.7131304730458423,1.8432224501746821,1.8106282711858392,1.7608694196495436,1.7380209038800025,1.8012047389603767,1.821104835326796,1.7898502702598758,1.748780067564776,1.5639139635104577,1.532445067311086,1.8146763877011385,1.7852480748086197,1.7527052509962213,1.829865661921355,1.747233248982883,1.8168529548069212,1.9076800484815295,1.9170028846942777,1.7273025036745997,1.757865668295821,1.6982353470443108,1.7751815844181675,1.960814155836887,2.0493348878495765,1.6667776094759417,1.7059523023688095,1.6781838651569378,1.7202714081812405,1.8521094306301584,1.9324910298738551,1.7238144265308168,1.8053815475077548,1.783709019480632,1.7814598389467753,1.7056053293005822,1.7878515028921145,1.7444640783756584,1.763317255482065
Shadow Victreebel,Acid,Sludge Bomb,30,1.4806629573523236,1.3105331485111473,1.49679017298983,1.308504695295689,1.3103169820548084,1.3212958211776757,1.3612029211272103,1.3302985762921276,1.3357570321417171,1.3647250012565257,1.4926308914671063,1.3865810736044324,1.5982501462125724,1.5015755676573275,1.5241105583613346,1.4317464975469287,1.3616795419760788,1.3379533133042345,1.351818590360879,1.317118178427818,1.5182760094717056,1.3124118664434743,1.5109007141688704,1.4022323316195213,1.3876474094570181,1.3980933817063255,1.3116807394716115,1.3500475488249293,1.7654543760467623,1.6367276945329876,1.3949679574576137,1.3578579248514893,1.3194699979637163,1.354374363661333,1.570108276404595,1.6042179860431063,1.3437326709723585,1.312681244520945,1.318867011816301,1.3409091402295263,1.6420788285387746,1.5973016855694304,1.3498709273324399,1.3667535112002294,1.4668053545934019,1.447822075997992,1.4052764142507677,1.3984720793748904,1.395453689270299,1.3515945464930141
Venusaur,Vine Whip,Sludge Bomb,35,1.7033953139767701,1.7192643236121496,1.8297917677094482,1.865520695999024,1.933174242387758,1.9870681255889462,2.131429256658884,2.1621560114936056,1.525906470657221,1.5226401047835187,1.7802362804991623,1.798745102992609,1.9988300868837692,1.8528719751717848,1.8464118953182482,1.865206379735141,1.7260479111161502,1.7980430134346128,1.785741597284558,1.8097066810168898,1.7224017179888809,1.6999635773125223,2.0424886786944105,2.0308688260836254,1.5804663382111068,1.6475489095839604,2.0545181327353474,2.1830798500856057,1.980917505531354,2.031574337856123,1.741369484710557,1.84078686327094,1.9909952691919741,2.1238518911393247,2.1068408249604764,2.217221208604017,1.7990752893701698,1.8595216843507034,2.0132382726032936,2.1120245250139815,1.9823305984530901,1.9847510743072372,1.959010001761755,2.064736882655843,2.0100450233579106,2.069594712848678,2.058199215752603,2.2086261617270857,1.7884440536070767,1.8511341403192076
Nidoking,Poison Jab,Sludge Wave,35,1.9153923674615134,1.6936630616043922,1.926357296680991,1.7003337917284824,1.9841651119801507,1.7959222860253448,1.957111494238418,1.7595498682253359,1.9708930183126296,1.7557317126082599,1.6570557195453108,1.639064063671097,2.1100328312115266,1.9676169770981724,1.915584117317919,1.7578223909122592,1.731659202993028,1.7474755852842812,1.7337399041106272,1.7248139798522808,1.9090702499196803,1.652206560906746,1.817672211190233,1.765976075653447,1.776897419575608,1.7563924651460574,1.789093239690071,1.8097313280465148,2.02487645136712,1.9952643360528994,1.682565784621269,1.7114308676727403,1.766226008552392,1.7877182730419714,2.008066436738485,2.0570725004855968,1.860796986601966,1.759671612987783,1.763267193347878,1.7044644615380249,2.0886054420786553,2.0525410015471413,1.7977539834552083,1.80072230311245,1.797292572331951,1.7510192280446222,1.6861950196683677,1.7596324011327191,1.7570483296673916,1.7451073213143478
Qwilfish (Hisuian),Poison Jab,Sludge Bomb,45,1.5000120983882115,1.4736188638755428,1.5079128648916857,1.4809211299403144,1.5396704370112588,1.5535627501201776,1.590272954308584,1.5676828173704327,1.5184863953687677,1.5301375047415058,1.566388456547631,1.5297042419010185,1.645993100711305,1.6122827274799032,1.7651895924423582,1.6842871761882177,1.604079315231563,1.573507261493113,1.5450378164574436,1.5451707279852445,1.4367575732746845,1.4444565135280643,1.633515868463719,1.587813699038595,1.5759800682176934,1.6414662756598242,1.5766684123332855,1.6243199885256068,1.7620254698000215,1.7139697914456737,1.5766087116739413,1.5966697288836655,1.5214369533406895,1.5927523452779528,1.7487595548113257,1.8279894176825855,1.515319597224831,1.5324554161893733,1.5785845211055773,1.6087801989469008,1.635881601842478,1.707607094325937,1.545200788520229,1.6123826989462025,1.6206742028275671,1.5761794831192861,1.5990214940497438,1.6620264947772805,1.5755615740091187,1.5567618393709972
Shadow Venusaur,Vine Whip,Sludge Bomb,30,1.6800787167471294,1.4996912336880908,1.91847015307347,1.7210678995448796,1.648688851262601,1.691981452819012,1.8946558066282804,1.9383147501992781,1.3390602561078973,1.329289768614518,1.708854277645347,1.585535026175256,1.814350176175058,1.7134827624848428,1.7329755529321902,1.6457507649730845,1.5181983787767137,1.562122872853013,1.521576962454926,1.5519299858214834,1.755782231941425,1.5087716408688265,1.869952602709659,1.8849540004017071,1.3860096696924318,1.4154334251978644,1.7279824533385726,1.8287437769194748,1.789606602116308,1.8077848579586675,1.5816988340902791,1.6090000323721236,1.7169385657932748,1.8120831561450783,1.7997215892945586,1.8908237517797326,1.5852536237485872,1.5994816147088624,1.7169725792390842,1.7720695885141433,1.8553525650835854,1.8606244813266026,1.7930931032615693,1.872229264334051,1.8873877541338726,1.8723686850781835,1.7790927677864101,1.8647589863235512,1.5458721424160304,1.6024363689391823
