Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Zen Darmanitan,30,15,15,15,Fire Fang,Overheat,,,
Zen Darmanitan,35,15,15,15,Fire Fang,Overheat,,,
Zen Darmanitan,40,15,15,15,Fire Fang,Overheat,,,
Zen Darmanitan,45,15,15,15,Fire Fang,Overheat,,,
Zen Darmanitan,50,15,15,15,Fire Fang,Overheat,,,
Galarian Zen Darmanitan,30,15,15,15,Tackle,Overheat,,,
Galarian Zen Darmanitan,35,15,15,15,Tackle,Overheat,,,
Galarian Zen Darmanitan,40,15,15,15,Tackle,Overheat,,,
Galarian Zen Darmanitan,45,15,15,15,Tackle,Overheat,,,
Galarian Zen Darmanitan,50,15,15,15,Tackle,Overheat,,,
Galarian Zen Darmanitan,30,15,15,15,Ice Fang,Overheat,,,
Galarian Zen Darmanitan,35,15,15,15,Ice Fang,Overheat,,,
Galarian Zen Darmanitan,40,15,15,15,Ice Fang,Overheat,,,
Galarian Zen Darmanitan,45,15,15,15,Ice Fang,Overheat,,,
Galarian Zen Darmanitan,50,15,15,15,Ice Fang,Overheat,,,
Galarian Zen Darmanitan,30,15,15,15,Fire Fang,Overheat,,,
Galarian Zen Darmanitan,35,15,15,15,Fire Fang,Overheat,,,
Galarian Zen Darmanitan,40,15,15,15,Fire Fang,Overheat,,,
Galarian Zen Darmanitan,45,15,15,15,Fire Fang,Overheat,,,
Galarian Zen Darmanitan,50,15,15,15,Fire Fang,Overheat,,,
Volcanion,30,15,15,15,Incinerate,Overheat,,,
Volcanion,35,15,15,15,Incinerate,Overheat,,,
Volcanion,40,15,15,15,Incinerate,Overheat,,,
Volcanion,45,15,15,15,Incinerate,Overheat,,,
Volcanion,50,15,15,15,Incinerate,Overheat,,,
Mega Camerupt,30,15,15,15,Incinerate,Overheat,,,
Mega Camerupt,35,15,15,15,Incinerate,Overheat,,,
Mega Camerupt,40,15,15,15,Incinerate,Overheat,,,
Mega Camerupt,45,15,15,15,Incinerate,Overheat,,,
Mega Camerupt,50,15,15,15,Incinerate,Overheat,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Mega Blaziken,30,15,15,15,Fire Spin,Blast Burn,,,
Mega Blaziken,35,15,15,15,Fire Spin,Blast Burn,,,
Mega Blaziken,40,15,15,15,Fire Spin,Blast Burn,,,
Mega Blaziken,45,15,15,15,Fire Spin,Blast Burn,,,
Mega Blaziken,50,15,15,15,Fire Spin,Blast Burn,,,
Mega Blaziken,30,15,15,15,Counter,Blast Burn,,,
Mega Blaziken,35,15,15,15,Counter,Blast Burn,,,
Mega Blaziken,40,15,15,15,Counter,Blast Burn,,,
Mega Blaziken,45,15,15,15,Counter,Blast Burn,,,
Mega Blaziken,50,15,15,15,Counter,Blast Burn,,,
Primal Groudon,30,15,15,15,Mud Shot,Fire Punch,,,
Primal Groudon,35,15,15,15,Mud Shot,Fire Punch,,,
Primal Groudon,40,15,15,15,Mud Shot,Fire Punch,,,
Primal Groudon,45,15,15,15,Mud Shot,Fire Punch,,,
Primal Groudon,50,15,15,15,Mud Shot,Fire Punch,,,
Shadow Blaziken,30,15,15,15,Fire Spin,Blast Burn,,,
Shadow Blaziken,35,15,15,15,Fire Spin,Blast Burn,,,
Shadow Blaziken,40,15,15,15,Fire Spin,Blast Burn,,,
Shadow Blaziken,45,15,15,15,Fire Spin,Blast Burn,,,
Shadow Blaziken,50,15,15,15,Fire Spin,Blast Burn,,,
Shadow Blaziken,30,15,15,15,Counter,Blast Burn,,,
Shadow Blaziken,35,15,15,15,Counter,Blast Burn,,,
Shadow Blaziken,40,15,15,15,Counter,Blast Burn,,,
Shadow Blaziken,45,15,15,15,Counter,Blast Burn,,,
Shadow Blaziken,50,15,15,15,Counter,Blast Burn,,,
Shadow Chandelure,30,15,15,15,Fire Spin,Overheat,,,
Shadow Chandelure,35,15,15,15,Fire Spin,Overheat,,,
Shadow Chandelure,40,15,15,15,Fire Spin,Overheat,,,
Shadow Chandelure,45,15,15,15,Fire Spin,Overheat,,,
Shadow Chandelure,50,15,15,15,Fire Spin,Overheat,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Shadow Heatran,30,15,15,15,Fire Spin,Flamethrower,,,
Shadow Heatran,35,15,15,15,Fire Spin,Flamethrower,,,
Shadow Heatran,40,15,15,15,Fire Spin,Flamethrower,,,
Shadow Heatran,45,15,15,15,Fire Spin,Flamethrower,,,
Shadow Heatran,50,15,15,15,Fire Spin,Flamethrower,,,
Shadow Emboar,30,15,15,15,Ember,Blast Burn,,,
Shadow Emboar,35,15,15,15,Ember,Blast Burn,,,
Shadow Emboar,40,15,15,15,Ember,Blast Burn,,,
Shadow Emboar,45,15,15,15,Ember,Blast Burn,,,
Shadow Emboar,50,15,15,15,Ember,Blast Burn,,,
Shadow Flareon,30,15,15,15,Fire Spin,Overheat,,,
Shadow Flareon,35,15,15,15,Fire Spin,Overheat,,,
Shadow Flareon,40,15,15,15,Fire Spin,Overheat,,,
Shadow Flareon,45,15,15,15,Fire Spin,Overheat,,,
Shadow Flareon,50,15,15,15,Fire Spin,Overheat,,,
Shadow Reshiram,30,15,15,15,Fire Fang,Overheat,,,
Shadow Reshiram,35,15,15,15,Fire Fang,Overheat,,,
Shadow Reshiram,40,15,15,15,Fire Fang,Overheat,,,
Shadow Reshiram,45,15,15,15,Fire Fang,Overheat,,,
Shadow Reshiram,50,15,15,15,Fire Fang,Overheat,,,
Reshiram,30,15,15,15,Fire Fang,Blast Burn,,,
Reshiram,35,15,15,15,Fire Fang,Blast Burn,,,
Reshiram,40,15,15,15,Fire Fang,Blast Burn,,,
Reshiram,45,15,15,15,Fire Fang,Blast Burn,,,
Reshiram,50,15,15,15,Fire Fang,Blast Burn,,,
Reshiram,30,15,15,15,Fire Fang,V-Create,,,
Reshiram,35,15,15,15,Fire Fang,V-Create,,,
Reshiram,40,15,15,15,Fire Fang,V-Create,,,
Reshiram,45,15,15,15,Fire Fang,V-Create,,,
Reshiram,50,15,15,15,Fire Fang,V-Create,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Heatran,30,15,15,15,Fire Spin,Overheat,,,
Heatran,35,15,15,15,Fire Spin,Overheat,,,
Heatran,40,15,15,15,Fire Spin,Overheat,,,
Heatran,45,15,15,15,Fire Spin,Overheat,,,
Heatran,50,15,15,15,Fire Spin,Overheat,,,
Heatran,30,15,15,15,Fire Spin,Blast Burn,,,
Heatran,35,15,15,15,Fire Spin,Blast Burn,,,
Heatran,40,15,15,15,Fire Spin,Blast Burn,,,
Heatran,45,15,15,15,Fire Spin,Blast Burn,,,
Heatran,50,15,15,15,Fire Spin,Blast Burn,,,
Heatran,30,15,15,15,Fire Spin,V-Create,,,
Heatran,35,15,15,15,Fire Spin,V-Create,,,
Heatran,40,15,15,15,Fire Spin,V-Create,,,
Heatran,45,15,15,15,Fire Spin,V-Create,,,
Heatran,50,15,15,15,Fire Spin,V-Create,,,
Chandelure,30,15,15,15,Fire Spin,Blast Burn,,,
Chandelure,35,15,15,15,Fire Spin,Blast Burn,,,
Chandelure,40,15,15,15,Fire Spin,Blast Burn,,,
Chandelure,45,15,15,15,Fire Spin,Blast Burn,,,
Chandelure,50,15,15,15,Fire Spin,Blast Burn,,,
Chandelure,30,15,15,15,Fire Spin,V-Create,,,
Chandelure,35,15,15,15,Fire Spin,V-Create,,,
Chandelure,40,15,15,15,Fire Spin,V-Create,,,
Chandelure,45,15,15,15,Fire Spin,V-Create,,,
Chandelure,50,15,15,15,Fire Spin,V-Create,,,
Blacephalon,30,15,15,15,Fire Spin,Blast Burn,,,
Blacephalon,35,15,15,15,Fire Spin,Blast Burn,,,
Blacephalon,40,15,15,15,Fire Spin,Blast Burn,,,
Blacephalon,45,15,15,15,Fire Spin,Blast Burn,,,
Blacephalon,50,15,15,15,Fire Spin,Blast Burn,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Blacephalon,30,15,15,15,Fire Spin,V-Create,,,
Blacephalon,35,15,15,15,Fire Spin,V-Create,,,
Blacephalon,40,15,15,15,Fire Spin,V-Create,,,
Blacephalon,45,15,15,15,Fire Spin,V-Create,,,
Blacephalon,50,15,15,15,Fire Spin,V-Create,,,
Entei,30,15,15,15,Fire Spin,Blast Burn,,,
Entei,35,15,15,15,Fire Spin,Blast Burn,,,
Entei,40,15,15,15,Fire Spin,Blast Burn,,,
Entei,45,15,15,15,Fire Spin,Blast Burn,,,
Entei,50,15,15,15,Fire Spin,Blast Burn,,,
Entei,30,15,15,15,Fire Spin,V-Create,,,
Entei,35,15,15,15,Fire Spin,V-Create,,,
Entei,40,15,15,15,Fire Spin,V-Create,,,
Entei,45,15,15,15,Fire Spin,V-Create,,,
Entei,50,15,15,15,Fire Spin,V-Create,,,
Salazzle,30,15,15,15,Incinerate,Blast Burn,,,
Salazzle,35,15,15,15,Incinerate,Blast Burn,,,
Salazzle,40,15,15,15,Incinerate,Blast Burn,,,
Salazzle,45,15,15,15,Incinerate,Blast Burn,,,
Salazzle,50,15,15,15,Incinerate,Blast Burn,,,
Salazzle,30,15,15,15,Incinerate,V-Create,,,
Salazzle,35,15,15,15,Incinerate,V-Create,,,
Salazzle,40,15,15,15,Incinerate,V-Create,,,
Salazzle,45,15,15,15,Incinerate,V-Create,,,
Salazzle,50,15,15,15,Incinerate,V-Create,,,
Mega Camerupt,30,15,15,15,Incinerate,Blast Burn,,,
Mega Camerupt,35,15,15,15,Incinerate,Blast Burn,,,
Mega Camerupt,40,15,15,15,Incinerate,Blast Burn,,,
Mega Camerupt,45,15,15,15,Incinerate,Blast Burn,,,
Mega Camerupt,50,15,15,15,Incinerate,Blast Burn,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Mega Camerupt,30,15,15,15,Incinerate,V-Create,,,
Mega Camerupt,35,15,15,15,Incinerate,V-Create,,,
Mega Camerupt,40,15,15,15,Incinerate,V-Create,,,
Mega Camerupt,45,15,15,15,Incinerate,V-Create,,,
Mega Camerupt,50,15,15,15,Incinerate,V-Create,,,
Shadow Entei,30,15,15,15,Fire Spin,Blast Burn,,,
Shadow Entei,35,15,15,15,Fire Spin,Blast Burn,,,
Shadow Entei,40,15,15,15,Fire Spin,Blast Burn,,,
Shadow Entei,45,15,15,15,Fire Spin,Blast Burn,,,
Shadow Entei,50,15,15,15,Fire Spin,Blast Burn,,,
Shadow Entei,30,15,15,15,Fire Spin,V-Create,,,
Shadow Entei,35,15,15,15,Fire Spin,V-Create,,,
Shadow Entei,40,15,15,15,Fire Spin,V-Create,,,
Shadow Entei,45,15,15,15,Fire Spin,V-Create,,,
Shadow Entei,50,15,15,15,Fire Spin,V-Create,,,
Mega Mewtwo Y,30,15,15,15,Psycho Cut,Flamethrower,,,
Mega Mewtwo Y,35,15,15,15,Psycho Cut,Flamethrower,,,
Mega Mewtwo Y,40,15,15,15,Psycho Cut,Flamethrower,,,
Mega Mewtwo Y,45,15,15,15,Psycho Cut,Flamethrower,,,
Mega Mewtwo Y,50,15,15,15,Psycho Cut,Flamethrower,,,
Volcarona,30,15,15,15,Fire Spin,Blast Burn,,,
Volcarona,35,15,15,15,Fire Spin,Blast Burn,,,
Volcarona,40,15,15,15,Fire Spin,Blast Burn,,,
Volcarona,45,15,15,15,Fire Spin,Blast Burn,,,
Volcarona,50,15,15,15,Fire Spin,Blast Burn,,,
Volcarona,30,15,15,15,Fire Spin,V-Create,,,
Volcarona,35,15,15,15,Fire Spin,V-Create,,,
Volcarona,40,15,15,15,Fire Spin,V-Create,,,
Volcarona,45,15,15,15,Fire Spin,V-Create,,,
Volcarona,50,15,15,15,Fire Spin,V-Create,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,,,
Entei,30,15,15,15,Fire Fang,Blast Burn,,,
Entei,35,15,15,15,Fire Fang,Blast Burn,,,
Entei,40,15,15,15,Fire Fang,Blast Burn,,,
Entei,45,15,15,15,Fire Fang,Blast Burn,,,
Entei,50,15,15,15,Fire Fang,Blast Burn,,,
Entei,30,15,15,15,Fire Fang,V-Create,,,
Entei,35,15,15,15,Fire Fang,V-Create,,,
Entei,40,15,15,15,Fire Fang,V-Create,,,
Entei,45,15,15,15,Fire Fang,V-Create,,,
Entei,50,15,15,15,Fire Fang,V-Create,,,
Shadow Entei,30,15,15,15,Fire Fang,Blast Burn,,,
Shadow Entei,35,15,15,15,Fire Fang,Blast Burn,,,
Shadow Entei,40,15,15,15,Fire Fang,Blast Burn,,,
Shadow Entei,45,15,15,15,Fire Fang,Blast Burn,,,
Shadow Entei,50,15,15,15,Fire Fang,Blast Burn,,,
Shadow Entei,30,15,15,15,Fire Fang,V-Create,,,
Shadow Entei,35,15,15,15,Fire Fang,V-Create,,,
Shadow Entei,40,15,15,15,Fire Fang,V-Create,,,
Shadow Entei,45,15,15,15,Fire Fang,V-Create,,,
Shadow Entei,50,15,15,15,Fire Fang,V-Create,,,
