Code name,Type 1,Type 2,Attack,Defense,Stamina,Pre-evolution,Evolutions,Is legendary,Is mythical,Is shadow,Is mega,Base code name,Base display name,Form code name,Form display name,Mega code name,Mega display name,Display name,Fast moves,Charged moves
METAPOD,Bug,,45,80,137,CATERPIE,['BUTTERFREE'],False,False,False,False,METAPOD,Metapod,,,,,Metapod,"['BUG_BITE_FAST', 'TACKLE_FAST']",['STRUGGLE']
BUTTERFREE,Bug,Flying,167,137,155,METAPOD,[],False,False,False,False,BUTTERFREE,Butterfree,,,,,Butterfree,"['CONFUSION_FAST', 'STRUGGLE_BUG_FAST', 'BUG_BITE_FAST']","['BUG_BUZZ', 'SIGNAL_BEAM', 'PSYCHIC']"
WEEDLE,Bug,Poison,63,50,120,,['KAKUNA'],False,False,False,False,WEEDLE,Weedle,,,,,Weedle,"['BUG_BITE_FAST', 'POISON_STING_FAST']","['STRUGGLE', 'RETURN']"
KAKUNA,Bug,Poison,46,75,128,WEEDLE,['BEEDRILL'],False,False,False,False,KAKUNA,Kakuna,,,,,Kakuna,"['BUG_BITE_FAST', 'POISON_STING_FAST']","['STRUGGLE', 'RETURN']"
BEEDRILL,Bug,Poison,169,130,163,KAKUNA,[],False,False,False,False,BEEDRILL,Beedrill,,,,,Beedrill,"['POISON_JAB_FAST', 'INFESTATION_FAST', 'BUG_BITE_FAST']","['AERIAL_ACE', 'SLUDGE_BOMB', 'X_SCISSOR', 'FELL_STINGER', 'RETURN', 'DRILL_RUN']"
PIDGEY,Normal,Flying,85,73,120,,['PIDGEOTTO'],False,False,False,False,PIDGEY,Pidgey,,,,,Pidgey,"['QUICK_ATTACK_FAST', 'TACKLE_FAST']","['AERIAL_ACE', 'TWISTER', 'AIR_CUTTER', 'RETURN']"
PIDGEOTTO,Normal,Flying,117,105,160,PIDGEY,['PIDGEOT'],False,False,False,False,PIDGEOTTO,Pidgeotto,,,,,Pidgeotto,"['WING_ATTACK_FAST', 'STEEL_WING_FAST']","['AERIAL_ACE', 'TWISTER', 'AIR_CUTTER', 'RETURN']"
PIDGEOT,Normal,Flying,166,154,195,PIDGEOTTO,[],False,False,False,False,PIDGEOT,Pidgeot,,,,,Pidgeot,"['STEEL_WING_FAST', 'AIR_SLASH_FAST', 'GUST_FAST', 'WING_ATTACK_FAST']","['AERIAL_ACE', 'HURRICANE', 'BRAVE_BIRD', 'RETURN', 'FEATHER_DANCE', 'AIR_CUTTER']"
RATTATA,Normal,,103,70,102,,['RATICATE'],False,False,False,False,RATTATA,Rattata,,,,,Rattata,"['QUICK_ATTACK_FAST', 'TACKLE_FAST']","['DIG', 'HYPER_FANG', 'BODY_SLAM', 'RETURN']"
RATICATE,Normal,,161,139,146,RATTATA,[],False,False,False,False,RATICATE,Raticate,,,,,Raticate,"['BITE_FAST', 'QUICK_ATTACK_FAST']","['HYPER_BEAM', 'DIG', 'HYPER_FANG', 'RETURN']"
SPEAROW,Normal,Flying,112,60,120,,['FEAROW'],False,False,False,False,SPEAROW,Spearow,,,,,Spearow,"['PECK_FAST', 'QUICK_ATTACK_FAST']","['DRILL_PECK', 'AERIAL_ACE', 'SKY_ATTACK', 'TWISTER']"
FEAROW,Normal,Flying,182,133,163,SPEAROW,[],False,False,False,False,FEAROW,Fearow,,,,,Fearow,"['PECK_FAST', 'STEEL_WING_FAST']","['AERIAL_ACE', 'DRILL_RUN', 'SKY_ATTACK', 'TWISTER']"
EKANS,Poison,,110,97,111,,['ARBOK'],False,False,False,False,EKANS,Ekans,,,,,Ekans,"['ACID_FAST', 'POISON_STING_FAST']","['WRAP', 'POISON_FANG', 'SLUDGE_BOMB', 'RETURN', 'GUNK_SHOT']"
ARBOK,Poison,,167,153,155,EKANS,[],False,False,False,False,ARBOK,Arbok,,,,,Arbok,"['BITE_FAST', 'ACID_FAST', 'DRAGON_TAIL_FAST']","['DARK_PULSE', 'SLUDGE_WAVE', 'GUNK_SHOT', 'ACID_SPRAY', 'RETURN']"
PIKACHU,Electric,,112,96,111,PICHU,['RAICHU'],False,False,False,False,PIKACHU,Pikachu,,,,,Pikachu,"['THUNDER_SHOCK_FAST', 'QUICK_ATTACK_FAST', 'PRESENT_FAST']","['DISCHARGE', 'THUNDERBOLT', 'WILD_CHARGE', 'DRAINING_KISS', 'METEOR_MASH', 'SURF', 'THUNDER']"
RAICHU,Electric,,193,151,155,PIKACHU,[],False,False,False,False,RAICHU,Raichu,,,,,Raichu,"['THUNDER_SHOCK_FAST', 'SPARK_FAST', 'VOLT_SWITCH_FAST', 'CHARM_FAST']","['THUNDER_PUNCH', 'BRICK_BREAK', 'WILD_CHARGE', 'SKULL_BASH', 'TRAILBLAZE', 'THUNDER']"
SANDSHREW,Ground,,126,120,137,,['SANDSLASH'],False,False,False,False,SANDSHREW,Sandshrew,,,,,Sandshrew,"['MUD_SHOT_FAST', 'SCRATCH_FAST', 'SAND_ATTACK_FAST']","['DIG', 'ROCK_SLIDE', 'SAND_TOMB', 'RETURN', 'ROCK_TOMB']"
SANDSLASH,Ground,,182,175,181,SANDSHREW,[],False,False,False,False,SANDSLASH,Sandslash,,,,,Sandslash,"['MUD_SHOT_FAST', 'METAL_CLAW_FAST', 'SAND_ATTACK_FAST']","['EARTHQUAKE', 'ROCK_TOMB', 'BULLDOZE', 'RETURN', 'SCORCHING_SANDS', 'NIGHT_SLASH']"
NIDORAN_FEMALE,Poison,,86,89,146,,['NIDORINA'],False,False,False,False,NIDORAN_FEMALE,Nidoran♀,,,,,Nidoran♀,"['BITE_FAST', 'POISON_STING_FAST']","['POISON_FANG', 'SLUDGE_BOMB', 'BODY_SLAM', 'RETURN']"
NIDORINA,Poison,,117,120,172,NIDORAN_FEMALE,['NIDOQUEEN'],False,False,False,False,NIDORINA,Nidorina,,,,,Nidorina,"['BITE_FAST', 'POISON_STING_FAST']","['DIG', 'POISON_FANG', 'THUNDERBOLT', 'SLUDGE_BOMB', 'RETURN']"
NIDOQUEEN,Poison,Ground,180,173,207,NIDORINA,[],False,False,False,False,NIDOQUEEN,Nidoqueen,,,,,Nidoqueen,"['BITE_FAST', 'POISON_JAB_FAST']","['EARTHQUAKE', 'STONE_EDGE', 'POISON_FANG', 'SLUDGE_WAVE', 'EARTH_POWER', 'RETURN']"
NIDORAN_MALE,Poison,,105,76,130,,['NIDORINO'],False,False,False,False,NIDORAN_MALE,Nidoran♂,,,,,Nidoran♂,"['PECK_FAST', 'POISON_STING_FAST']","['SLUDGE_BOMB', 'HORN_ATTACK', 'BODY_SLAM']"
NIDORINO,Poison,,137,111,156,NIDORAN_MALE,['NIDOKING'],False,False,False,False,NIDORINO,Nidorino,,,,,Nidorino,"['POISON_JAB_FAST', 'POISON_STING_FAST']","['DIG', 'ICE_BEAM', 'SLUDGE_BOMB', 'HORN_ATTACK', 'RETURN']"
NIDOKING,Poison,Ground,204,156,191,NIDORINO,[],False,False,False,False,NIDOKING,Nidoking,,,,,Nidoking,"['POISON_JAB_FAST', 'IRON_TAIL_FAST', 'DOUBLE_KICK_FAST', 'FURY_CUTTER_FAST']","['MEGAHORN', 'EARTHQUAKE', 'SLUDGE_WAVE', 'SAND_TOMB', 'EARTH_POWER', 'RETURN']"
CLEFAIRY,Fairy,,107,108,172,CLEFFA,['CLEFABLE'],False,False,False,False,CLEFAIRY,Clefairy,,,,,Clefairy,"['POUND_FAST', 'ZEN_HEADBUTT_FAST']","['DISARMING_VOICE', 'MOONBLAST', 'BODY_SLAM']"
CLEFABLE,Fairy,,178,162,216,CLEFAIRY,[],False,False,False,False,CLEFABLE,Clefable,,,,,Clefable,"['ZEN_HEADBUTT_FAST', 'CHARGE_BEAM_FAST', 'CHARM_FAST', 'FAIRY_WIND_FAST', 'POUND_FAST']","['DAZZLING_GLEAM', 'MOONBLAST', 'PSYCHIC', 'METEOR_MASH']"
VULPIX,Fire,,96,109,116,,['NINETALES'],False,False,False,False,VULPIX,Vulpix,,,,,Vulpix,"['EMBER_FAST', 'QUICK_ATTACK_FAST']","['FLAMETHROWER', 'FLAME_CHARGE', 'BODY_SLAM', 'WEATHER_BALL_FIRE', 'RETURN']"
NINETALES,Fire,,169,190,177,VULPIX,[],False,False,False,False,NINETALES,Ninetales,,,,,Ninetales,"['FEINT_ATTACK_FAST', 'FIRE_SPIN_FAST', 'EMBER_FAST']","['HEAT_WAVE', 'PSYSHOCK', 'SOLAR_BEAM', 'OVERHEAT', 'WEATHER_BALL_FIRE', 'RETURN', 'SCORCHING_SANDS', 'FLAMETHROWER', 'FIRE_BLAST']"
JIGGLYPUFF,Normal,Fairy,80,41,251,IGGLYBUFF,['WIGGLYTUFF'],False,False,False,False,JIGGLYPUFF,Jigglypuff,,,,,Jigglypuff,"['POUND_FAST', 'FEINT_ATTACK_FAST']","['DISARMING_VOICE', 'DAZZLING_GLEAM', 'GYRO_BALL', 'PLAY_ROUGH', 'BODY_SLAM']"
WIGGLYTUFF,Normal,Fairy,156,90,295,JIGGLYPUFF,[],False,False,False,False,WIGGLYTUFF,Wigglytuff,,,,,Wigglytuff,"['POUND_FAST', 'FEINT_ATTACK_FAST', 'CHARM_FAST']","['HYPER_BEAM', 'ICE_BEAM', 'DISARMING_VOICE', 'DAZZLING_GLEAM', 'PLAY_ROUGH', 'ICY_WIND']"
ZUBAT,Poison,Flying,83,73,120,,['GOLBAT'],False,False,False,False,ZUBAT,Zubat,,,,,Zubat,"['BITE_FAST', 'QUICK_ATTACK_FAST']","['POISON_FANG', 'AIR_CUTTER', 'SWIFT', 'RETURN', 'SLUDGE_BOMB']"
GOLBAT,Poison,Flying,161,150,181,ZUBAT,['CROBAT'],False,False,False,False,GOLBAT,Golbat,,,,,Golbat,"['BITE_FAST', 'WING_ATTACK_FAST']","['POISON_FANG', 'SHADOW_BALL', 'AIR_CUTTER', 'RETURN', 'OMINOUS_WIND']"
ODDISH,Grass,Poison,131,112,128,,['GLOOM'],False,False,False,False,ODDISH,Oddish,,,,,Oddish,"['RAZOR_LEAF_FAST', 'ACID_FAST']","['SEED_BOMB', 'MOONBLAST', 'SLUDGE_BOMB', 'RETURN']"
GLOOM,Grass,Poison,153,136,155,ODDISH,"['VILEPLUME', 'BELLOSSOM']",False,False,False,False,GLOOM,Gloom,,,,,Gloom,"['RAZOR_LEAF_FAST', 'ACID_FAST']","['PETAL_BLIZZARD', 'MOONBLAST', 'SLUDGE_BOMB', 'RETURN']"
VILEPLUME,Grass,Poison,202,167,181,GLOOM,[],False,False,False,False,VILEPLUME,Vileplume,,,,,Vileplume,"['RAZOR_LEAF_FAST', 'ACID_FAST']","['PETAL_BLIZZARD', 'MOONBLAST', 'SLUDGE_BOMB', 'SOLAR_BEAM', 'RETURN']"
PARAS,Bug,Grass,121,99,111,,['PARASECT'],False,False,False,False,PARAS,Paras,,,,,Paras,"['BUG_BITE_FAST', 'SCRATCH_FAST']","['SEED_BOMB', 'CROSS_POISON', 'X_SCISSOR']"
PARASECT,Bug,Grass,165,146,155,PARAS,[],False,False,False,False,PARASECT,Parasect,,,,,Parasect,"['FURY_CUTTER_FAST', 'STRUGGLE_BUG_FAST', 'BUG_BITE_FAST']","['CROSS_POISON', 'X_SCISSOR', 'SOLAR_BEAM']"
VENONAT,Bug,Poison,100,100,155,,['VENOMOTH'],False,False,False,False,VENONAT,Venonat,,,,,Venonat,"['BUG_BITE_FAST', 'CONFUSION_FAST']","['PSYBEAM', 'POISON_FANG', 'SIGNAL_BEAM', 'RETURN']"
VENOMOTH,Bug,Poison,179,143,172,VENONAT,[],False,False,False,False,VENOMOTH,Venomoth,,,,,Venomoth,"['CONFUSION_FAST', 'INFESTATION_FAST', 'BUG_BITE_FAST']","['BUG_BUZZ', 'POISON_FANG', 'PSYCHIC', 'SILVER_WIND', 'RETURN']"
DIGLETT,Ground,,109,78,67,,['DUGTRIO'],False,False,False,False,DIGLETT,Diglett,,,,,Diglett,"['MUD_SHOT_FAST', 'SCRATCH_FAST', 'MUD_SLAP_FAST']","['DIG', 'ROCK_TOMB', 'MUD_BOMB', 'RETURN']"
DUGTRIO,Ground,,167,134,111,DIGLETT,[],False,False,False,False,DUGTRIO,Dugtrio,,,,,Dugtrio,"['SUCKER_PUNCH_FAST', 'MUD_SHOT_FAST', 'MUD_SLAP_FAST']","['EARTHQUAKE', 'STONE_EDGE', 'MUD_BOMB', 'RETURN']"
MEOWTH,Normal,,92,78,120,,['PERSIAN'],False,False,False,False,MEOWTH,Meowth,,,,,Meowth,"['BITE_FAST', 'SCRATCH_FAST']","['DARK_PULSE', 'NIGHT_SLASH', 'FOUL_PLAY', 'RETURN', 'BODY_SLAM']"
PERSIAN,Normal,,150,136,163,MEOWTH,[],False,False,False,False,PERSIAN,Persian,,,,,Persian,"['SCRATCH_FAST', 'FEINT_ATTACK_FAST']","['POWER_GEM', 'PLAY_ROUGH', 'FOUL_PLAY', 'RETURN', 'PAYBACK', 'NIGHT_SLASH']"
PSYDUCK,Water,,122,95,137,,['GOLDUCK'],False,False,False,False,PSYDUCK,Psyduck,,,,,Psyduck,"['WATER_GUN_FAST', 'ZEN_HEADBUTT_FAST']","['CROSS_CHOP', 'PSYBEAM', 'AQUA_TAIL', 'RETURN']"
GOLDUCK,Water,,191,162,190,PSYDUCK,[],False,False,False,False,GOLDUCK,Golduck,,,,,Golduck,"['WATER_GUN_FAST', 'CONFUSION_FAST']","['CROSS_CHOP', 'ICE_BEAM', 'BUBBLE_BEAM', 'HYDRO_PUMP', 'PSYCHIC', 'RETURN', 'SYNCHRONOISE', 'LIQUIDATION']"
MANKEY,Fighting,,148,82,120,,['PRIMEAPE'],False,False,False,False,MANKEY,Mankey,,,,,Mankey,"['KARATE_CHOP_FAST', 'SCRATCH_FAST']","['CROSS_CHOP', 'LOW_SWEEP', 'BRICK_BREAK']"
PRIMEAPE,Fighting,,207,138,163,MANKEY,[],False,False,False,False,PRIMEAPE,Primeape,,,,,Primeape,"['LOW_KICK_FAST', 'COUNTER_FAST', 'KARATE_CHOP_FAST']","['ICE_PUNCH', 'NIGHT_SLASH', 'LOW_SWEEP', 'CLOSE_COMBAT', 'CROSS_CHOP']"
GROWLITHE,Fire,,136,93,146,,['ARCANINE'],False,False,False,False,GROWLITHE,Growlithe,,,,,Growlithe,"['BITE_FAST', 'EMBER_FAST']","['FLAME_WHEEL', 'FLAMETHROWER', 'BODY_SLAM', 'RETURN']"
ARCANINE,Fire,,227,166,207,GROWLITHE,[],False,False,False,False,ARCANINE,Arcanine,,,,,Arcanine,"['FIRE_FANG_FAST', 'SNARL_FAST', 'THUNDER_FANG_FAST', 'BITE_FAST']","['FLAMETHROWER', 'FIRE_BLAST', 'WILD_CHARGE', 'CRUNCH', 'RETURN', 'PSYCHIC_FANGS', 'SCORCHING_SANDS', 'BULLDOZE']"
POLIWAG,Water,,101,82,120,,['POLIWHIRL'],False,False,False,False,POLIWAG,Poliwag,,,,,Poliwag,"['MUD_SHOT_FAST', 'BUBBLE_FAST']","['BUBBLE_BEAM', 'MUD_BOMB', 'BODY_SLAM', 'RETURN']"
POLIWHIRL,Water,,130,123,163,POLIWAG,"['POLIWRATH', 'POLITOED']",False,False,False,False,POLIWHIRL,Poliwhirl,,,,,Poliwhirl,"['MUD_SHOT_FAST', 'BUBBLE_FAST']","['BUBBLE_BEAM', 'MUD_BOMB', 'WATER_PULSE', 'RETURN', 'SCALD']"
POLIWRATH,Water,Fighting,182,184,207,POLIWHIRL,[],False,False,False,False,POLIWRATH,Poliwrath,,,,,Poliwrath,"['MUD_SHOT_FAST', 'BUBBLE_FAST', 'ROCK_SMASH_FAST', 'COUNTER_FAST']","['ICE_PUNCH', 'SCALD', 'HYDRO_PUMP', 'ICY_WIND', 'DYNAMIC_PUNCH', 'POWER_UP_PUNCH', 'RETURN', 'SUBMISSION']"
ABRA,Psychic,,195,82,93,,['KADABRA'],False,False,False,False,ABRA,Abra,,,,,Abra,"['ZEN_HEADBUTT_FAST', 'CHARGE_BEAM_FAST']","['PSYSHOCK', 'SHADOW_BALL', 'SIGNAL_BEAM', 'RETURN']"
KADABRA,Psychic,,232,117,120,ABRA,['ALAKAZAM'],False,False,False,False,KADABRA,Kadabra,,,,,Kadabra,"['PSYCHO_CUT_FAST', 'CONFUSION_FAST']","['PSYBEAM', 'SHADOW_BALL', 'DAZZLING_GLEAM', 'RETURN']"
ALAKAZAM,Psychic,,271,167,146,KADABRA,[],False,False,False,False,ALAKAZAM,Alakazam,,,,,Alakazam,"['PSYCHO_CUT_FAST', 'CONFUSION_FAST', 'COUNTER_FAST']","['SHADOW_BALL', 'FIRE_PUNCH', 'FOCUS_BLAST', 'FUTURESIGHT', 'RETURN', 'DAZZLING_GLEAM', 'PSYCHIC']"
MACHOP,Fighting,,137,82,172,,['MACHOKE'],False,False,False,False,MACHOP,Machop,,,,,Machop,"['KARATE_CHOP_FAST', 'ROCK_SMASH_FAST', 'LOW_KICK_FAST']","['CROSS_CHOP', 'LOW_SWEEP', 'BRICK_BREAK', 'RETURN']"
MACHOKE,Fighting,,177,125,190,MACHOP,['MACHAMP'],False,False,False,False,MACHOKE,Machoke,,,,,Machoke,"['LOW_KICK_FAST', 'KARATE_CHOP_FAST']","['SUBMISSION', 'BRICK_BREAK', 'DYNAMIC_PUNCH', 'RETURN', 'CROSS_CHOP']"
MACHAMP,Fighting,,234,159,207,MACHOKE,[],False,False,False,False,MACHAMP,Machamp,,,,,Machamp,"['BULLET_PUNCH_FAST', 'COUNTER_FAST', 'KARATE_CHOP_FAST']","['CROSS_CHOP', 'ROCK_SLIDE', 'CLOSE_COMBAT', 'DYNAMIC_PUNCH', 'HEAVY_SLAM', 'RETURN', 'PAYBACK', 'STONE_EDGE', 'SUBMISSION']"
BELLSPROUT,Grass,Poison,139,61,137,,['WEEPINBELL'],False,False,False,False,BELLSPROUT,Bellsprout,,,,,Bellsprout,"['VINE_WHIP_FAST', 'ACID_FAST']","['WRAP', 'SLUDGE_BOMB', 'POWER_WHIP', 'RETURN']"
WEEPINBELL,Grass,Poison,172,92,163,BELLSPROUT,['VICTREEBEL'],False,False,False,False,WEEPINBELL,Weepinbell,,,,,Weepinbell,"['ACID_FAST', 'BULLET_SEED_FAST', 'RAZOR_LEAF_FAST']","['SEED_BOMB', 'SLUDGE_BOMB', 'POWER_WHIP', 'RETURN']"
VICTREEBEL,Grass,Poison,207,135,190,WEEPINBELL,[],False,False,False,False,VICTREEBEL,Victreebel,,,,,Victreebel,"['RAZOR_LEAF_FAST', 'ACID_FAST']","['SLUDGE_BOMB', 'SOLAR_BEAM', 'LEAF_BLADE', 'ACID_SPRAY', 'LEAF_TORNADO', 'RETURN']"
TENTACOOL,Water,Poison,97,149,120,,['TENTACRUEL'],False,False,False,False,TENTACOOL,Tentacool,,,,,Tentacool,"['POISON_STING_FAST', 'BUBBLE_FAST']","['WRAP', 'BUBBLE_BEAM', 'WATER_PULSE', 'RETURN']"
TENTACRUEL,Water,Poison,166,209,190,TENTACOOL,[],False,False,False,False,TENTACRUEL,Tentacruel,,,,,Tentacruel,"['POISON_JAB_FAST', 'ACID_FAST']","['BLIZZARD', 'SLUDGE_WAVE', 'SCALD', 'HYDRO_PUMP', 'ACID_SPRAY', 'RETURN']"
GEODUDE,Rock,Ground,132,132,120,,['GRAVELER'],False,False,False,False,GEODUDE,Geodude,,,,,Geodude,"['TACKLE_FAST', 'ROCK_THROW_FAST']","['DIG', 'ROCK_TOMB', 'ROCK_SLIDE', 'RETURN']"
GRAVELER,Rock,Ground,164,164,146,GEODUDE,['GOLEM'],False,False,False,False,GRAVELER,Graveler,,,,,Graveler,"['MUD_SHOT_FAST', 'ROCK_THROW_FAST', 'MUD_SLAP_FAST']","['DIG', 'STONE_EDGE', 'ROCK_BLAST', 'RETURN', 'ROCK_SLIDE']"
GOLEM,Rock,Ground,211,198,190,GRAVELER,[],False,False,False,False,GOLEM,Golem,,,,,Golem,"['MUD_SHOT_FAST', 'ROCK_THROW_FAST', 'MUD_SLAP_FAST']","['EARTHQUAKE', 'STONE_EDGE', 'ANCIENT_POWER', 'ROCK_BLAST', 'RETURN']"
PONYTA,Fire,,170,127,137,,['RAPIDASH'],False,False,False,False,PONYTA,Ponyta,,,,,Ponyta,"['EMBER_FAST', 'TACKLE_FAST']","['FLAME_WHEEL', 'FLAME_CHARGE', 'STOMP', 'FIRE_BLAST']"
RAPIDASH,Fire,,207,162,163,PONYTA,[],False,False,False,False,RAPIDASH,Rapidash,,,,,Rapidash,"['LOW_KICK_FAST', 'FIRE_SPIN_FAST', 'INCINERATE_FAST', 'EMBER_FAST']","['HEAT_WAVE', 'DRILL_RUN', 'FLAME_CHARGE', 'FIRE_BLAST', 'SCORCHING_SANDS']"
SLOWPOKE,Water,Psychic,109,98,207,,"['SLOWBRO', 'SLOWKING']",False,False,False,False,SLOWPOKE,Slowpoke,,,,,Slowpoke,"['WATER_GUN_FAST', 'CONFUSION_FAST']","['PSYSHOCK', 'WATER_PULSE', 'PSYCHIC', 'RETURN']"
SLOWBRO,Water,Psychic,177,180,216,SLOWPOKE,[],False,False,False,False,SLOWBRO,Slowbro,,,,,Slowbro,"['WATER_GUN_FAST', 'CONFUSION_FAST']","['ICE_BEAM', 'WATER_PULSE', 'SCALD', 'PSYCHIC', 'RETURN', 'SURF']"
MAGNEMITE,Electric,Steel,165,121,93,,['MAGNETON'],False,False,False,False,MAGNEMITE,Magnemite,,,,,Magnemite,"['THUNDER_SHOCK_FAST', 'SPARK_FAST', 'VOLT_SWITCH_FAST', 'METAL_SOUND_FAST']","['DISCHARGE', 'MAGNET_BOMB', 'THUNDERBOLT', 'RETURN']"
MAGNETON,Electric,Steel,223,169,137,MAGNEMITE,['MAGNEZONE'],False,False,False,False,MAGNETON,Magneton,,,,,Magneton,"['THUNDER_SHOCK_FAST', 'SPARK_FAST', 'CHARGE_BEAM_FAST', 'VOLT_SWITCH_FAST', 'METAL_SOUND_FAST']","['DISCHARGE', 'FLASH_CANNON', 'MAGNET_BOMB', 'ZAP_CANNON', 'RETURN']"
FARFETCHD,Normal,Flying,124,115,141,,[],False,False,False,False,FARFETCHD,Farfetch'd,,,,,Farfetch'd,"['FURY_CUTTER_FAST', 'AIR_SLASH_FAST', 'CUT_FAST']","['AERIAL_ACE', 'LEAF_BLADE', 'AIR_CUTTER']"
DODUO,Normal,Flying,158,83,111,,['DODRIO'],False,False,False,False,DODUO,Doduo,,,,,Doduo,"['PECK_FAST', 'QUICK_ATTACK_FAST']","['DRILL_PECK', 'AERIAL_ACE', 'BRAVE_BIRD', 'SWIFT']"
DODRIO,Normal,Flying,218,140,155,DODUO,[],False,False,False,False,DODRIO,Dodrio,,,,,Dodrio,"['FEINT_ATTACK_FAST', 'STEEL_WING_FAST']","['DRILL_PECK', 'AERIAL_ACE', 'BRAVE_BIRD', 'AIR_CUTTER']"
SEEL,Water,,85,121,163,,['DEWGONG'],False,False,False,False,SEEL,Seel,,,,,Seel,"['LICK_FAST', 'ICE_SHARD_FAST', 'WATER_GUN_FAST']","['AQUA_TAIL', 'ICY_WIND', 'AURORA_BEAM', 'AQUA_JET']"
DEWGONG,Water,Ice,139,177,207,SEEL,[],False,False,False,False,DEWGONG,Dewgong,,,,,Dewgong,"['FROST_BREATH_FAST', 'IRON_TAIL_FAST', 'ICE_SHARD_FAST']","['BLIZZARD', 'DRILL_RUN', 'WATER_PULSE', 'AURORA_BEAM', 'LIQUIDATION', 'AQUA_JET', 'ICY_WIND']"
GRIMER,Poison,,135,90,190,,['MUK'],False,False,False,False,GRIMER,Grimer,,,,,Grimer,"['POISON_JAB_FAST', 'MUD_SLAP_FAST', 'ACID_FAST']","['SLUDGE', 'SLUDGE_BOMB', 'MUD_BOMB', 'RETURN']"
MUK,Poison,,190,172,233,GRIMER,[],False,False,False,False,MUK,Muk,,,,,Muk,"['POISON_JAB_FAST', 'INFESTATION_FAST', 'LICK_FAST', 'ACID_FAST']","['DARK_PULSE', 'THUNDER_PUNCH', 'SLUDGE_WAVE', 'GUNK_SHOT', 'ACID_SPRAY', 'RETURN']"
SHELLDER,Water,,116,134,102,,['CLOYSTER'],False,False,False,False,SHELLDER,Shellder,,,,,Shellder,"['ICE_SHARD_FAST', 'TACKLE_FAST']","['BUBBLE_BEAM', 'WATER_PULSE', 'ICY_WIND', 'RAZOR_SHELL', 'RETURN']"
CLOYSTER,Water,Ice,186,256,137,SHELLDER,[],False,False,False,False,CLOYSTER,Cloyster,,,,,Cloyster,"['ICE_SHARD_FAST', 'FROST_BREATH_FAST']","['HYDRO_PUMP', 'ICY_WIND', 'AURORA_BEAM', 'AVALANCHE', 'RAZOR_SHELL', 'RETURN', 'LIQUIDATION', 'BLIZZARD']"
