Attacker,Fast Move,Fast Type,Charged Move,Charged Type,Level,Landorus (Therian),Landorus,Arceus,Arceus (Bug),Arceus (Dark),Arceus (Dragon),Arceus (Electric),Arceus (Fairy),Arceus (Fighting),Arceus (Fire),Arceus (Flying),Arceus (Ghost),Arceus (Grass),Arceus (Ground),Arceus (Ice),Arceus (Poison),Arceus (Psychic),Arceus (Rock),Arceus (Steel),Arceus (Water),Articuno (Galarian),Shadow Articuno,Articuno,Shadow Azelf,Azelf,Calyrex,Calyrex (Ice Rider),Calyrex (Shadow Rider),Celebi,Shadow Celebi,Chien-Pao,Chi-Yu,Shadow Cobalion,Cobalion,Cosmoem,Cosmog,Shadow Cresselia,Cresselia,Shadow Darkrai,Darkrai,Dialga (Origin),Shadow Dialga,Dialga,Diancie,Shadow Entei,Entei,Eternatus,Eternatus (Eternamax),Glastrier,Shadow Groudon,Groudon,Shadow Heatran,Heatran,Shadow Ho-Oh,Ho-Oh,Jirachi,Shadow Jirachi,Keldeo,Koraidon,Kubfu,Shadow Kyogre,Kyogre,Kyurem (Black),Kyurem (White),Kyurem,Shadow Latias,Latias,Shadow Latios,Latios,Shadow Lugia,Lugia,Lunala,Magearna,Manaphy,Shadow Manaphy,Marshadow,Melmetal,Shadow Melmetal,Meloetta (Aria),Meloetta (Pirouette),Meltan,Shadow Meltan,Shadow Mesprit,Mesprit,Mew,Shadow Mewtwo,Mewtwo,Mewtwo (Armored),Miraidon,Moltres (Galarian),Shadow Moltres,Moltres,Necrozma,Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Ultra),Palkia (Origin),Shadow Palkia,Palkia,Phione,Shadow Phione,Shadow Raikou,Raikou,Shadow Rayquaza,Rayquaza,Shadow Regice,Regice,Shadow Regigigas,Regigigas,Shadow Regirock,Regirock,Shadow Registeel,Registeel,Shadow Reshiram,Reshiram,Shaymin (Land),Shaymin (Sky),Solgaleo,Spectrier,Shadow Suicune,Suicune,Shadow Terrakion,Terrakion,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Single Strike),Shadow Uxie,Uxie,Victini,Shadow Victini,Shadow Virizion,Virizion,Volcanion,Wo-Chien,Zacian (Crowned Sword),Zacian (Hero),Zamazenta (Crowned Shield),Zamazenta (Hero),Zapdos (Galarian),Shadow Zapdos,Zapdos,Zarude,Shadow Zekrom,Zekrom,Zeraora,Zygarde,Zygarde (Complete),Zygarde (Fifty Percent),Zygarde (Ten Percent),Deoxys,Deoxys (Attack),Deoxys (Defense),Deoxys (Speed),Genesect,Genesect (Burn),Genesect (Chill),Genesect (Douse),Genesect (Shock),Giratina (Altered),Giratina (Origin),Regidrago,Regieleki,Tapu Bulu,Tapu Fini,Tapu Koko,Tapu Lele,Thundurus,Thundurus (Therian),Tornadus,Tornadus (Therian),Xerneas,Yveltal,Blacephalon,Naganadel,Poipole,Stakataka,Buzzwole,Celesteela,Guzzlord,Kartana,Nihilego,Pheromosa,Xurkitree,Hoopa (Confined),Hoopa (Unbound),Mega Steelix,Mega Audino,Mega Camerupt,Mega Gallade,Mega Garchomp,Mega Heracross,Mega Lucario,Mega Mawile,Mega Metagross,Mega Sableye,Mega Sharpedo,Mega Tyranitar,Mega Abomasnow,Mega Absol,Mega Aerodactyl,Mega Aggron,Mega Alakazam,Mega Altaria,Mega Ampharos,Mega Banette,Mega Beedrill,Mega Blastoise,Mega Blaziken,Mega Charizard X,Mega Charizard Y,Mega Gardevoir,Mega Gengar,Mega Glalie,Mega Gyarados,Mega Houndoom,Mega Kangaskhan,Mega Lopunny,Mega Manectric,Mega Medicham,Mega Pidgeot,Mega Pinsir,Mega Salamence,Mega Sceptile,Mega Scizor,Mega Slowbro,Mega Swampert,Mega Venusaur,Mega Diancie,Primal Groudon,Primal Kyogre,Mega Mewtwo X,Mega Mewtwo Y,Mega Rayquaza,Mega Latias,Mega Latios
Shadow Hariyama,Bullet Punch or Counter,Fighting or Steel,Heavy Slam,Steel,40,,,4.2357235,,4.164171,,,,,,,,,,3.3735523,,,3.378153,4.488574,,,,,,,,,,,,1.834362,3.977285,6.5468254,4.152291,,,,,5.814721,3.4404829,4.4794,6.841029,4.1724286,2.7647958,,,,,2.9488559,,,,,,,,,,,,,,2.7418354,2.723791,2.4296803,,,,,,,,,,,,3.3815513,5.524967,,,1.8457485,2.7674859,,,,,,,,,,,,,,,,,,,,,,,,6.4293237,3.9349117,6.4591002,3.900654,6.3844814,3.8920622,7.8299537,4.683254,,,,,,,,,4.300745,2.6871228,3.2630973,,,,,,,,,,,,,5.105518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.341062,,,,,,,,,,3.1969023,,,,,,2.0800836,,,,1.6720412,1.7378541,,1.4017586,,3.5901356,,,,,,,,,,,,1.4196649,2.8039823,2.296609,2.135509,,,,,,,,,,,,3.7523277,,,,,,,
Crawdaunt,Waterfall,Water,Crabhammer,Water,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1482842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3740983,,,,,,
Overqwil,Poison Jab,Poison,Ice Beam,Ice,40,,,,,,,,4.878402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7905903,,,,,,,,,,,,,,,,,,,,,,,,,,,2.800123,,,4.123165,,,,,3.8358636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8588152,,,,,,,,,,,,,,,,,,,,,,,,
Torterra,Razor Leaf,Grass,Sand Tomb,Ground,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8476055,,,,,,,,,
Arcanine (Hisuian),Fire Fang or Snarl,Dark or Fire,Crunch,Dark,40,,,,,,,,,,,,,,,,,,,,,,,4.208901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.995177,6.5947447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3955505,2.364464,2.3926103,,2.4229112,,,,,,,,,,,,,,,,,,,,,,2.2216175,,,,,,,,,,,,,,,,,,1.3661377,,,,,,,,,,,,3.4309897,,,,,,,,,,,2.7038565,,,1.7542969,,,,,,,,,,,
Articuno,Frost Breath,Ice,Triple Axel,Ice,40,1.8370305,1.9064009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.963767,,,,,,,,,,,,,1.7089658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2928612,2.0459237,2.2928612,1.7564616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3721275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5791597,,,,,,,,,,,3.3106954,,
Shadow Aerodactyl,Rock Throw,Rock,Iron Head,Steel,40,,,,,,,,,,4.335166,4.107809,,,,,,,,,,,4.431456,2.6640835,,,,,,,,,3.9067986,,,,,,,,,,,,,4.8247576,2.9982007,,,,,,,,4.3879085,2.6547463,,,,,,,,,,,,,,,,4.85316,,,,,,,,,,,,,,,,,,,3.7376604,3.327807,1.999534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7777917,,,,,,,,3.4990902,,,,,,,,,,,,,,,,,,,,,,,,,,3.1042352,,2.861994,3.2307675,,3.1931968,2.803541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.170594,1.4104458,,,,,,,,,,1.7542472,1.4840496,,,,,,,,,,,,,,
Gyarados,Waterfall,Water,Crunch,Dark,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2965295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9390755,,,,,,
Swampert,Water Gun,Water,Earthquake,Ground,40,,,,,,,,,,3.7420053,,,,4.6653194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5863547,2.8233461,,,,8.261675,5.0738087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.642828,,,,,,,,,,,,,,,1.6901038,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8696762,,,,,,,,,,,,,,5.7993836,,,,,,
Golem,Mud-Slap or Rock Throw,Ground or Rock,Return,Normal,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.977798,3.0293064,5.251323,3.121366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07441,3.131207,,,,3.1142306,,,,,,,,,,,,,,,,,2.3855133,,,,,,,,,,,,,,,,,,,2.8543177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6107683,,,,,,,,1.9447688,,,,,,,,,,,,,,,,,
Shadow Tyranitar,Bite or Iron Tail or Smack Down,Dark or Rock or Steel,Crunch,Dark,40,,,4.097733,3.4266663,,,4.09241,3.9649596,,3.4334695,3.431054,2.6305876,,,3.427927,,2.6524363,,,,2.1621664,3.6046753,2.155024,2.7658527,1.7248583,1.8021882,2.7341082,1.385495,2.410658,4.1369905,,3.2636676,,,3.0870118,0.8798176,4.632991,2.9024081,,,,,,,4.310449,2.6085508,,,3.4362915,,,,,3.8206801,2.3549702,2.43371,3.9318938,,,,,,3.02324,,2.6881914,4.516209,2.691127,4.0810757,2.5447314,5.4740887,3.2880561,1.3700236,,,,,,,2.5651217,2.7840009,,,3.784385,2.2898223,2.4108648,3.6231558,2.2127225,3.0835276,,3.3555555,2.7839897,1.6745704,2.1937647,1.5405762,2.4876525,2.2383227,,,,,,,,,,,,,,,,,,5.275931,3.2124,,,2.4056427,1.7573044,,,,,,,,4.6620064,2.8786268,2.4931312,3.9770758,,,3.4374502,,,,,,,4.6464624,2.7840528,,,,,,,,,1.396894,0.6658781,3.4839315,2.4107146,,,,,,2.4980168,2.107718,,,,,,,2.5514894,2.6818383,2.584043,2.8594341,,2.8502154,1.7304106,,,,,,,,,,2.9099336,2.2609146,,,,,,,,,,2.1291811,2.1976404,,,,,1.9919877,,1.4896497,,,1.1455952,1.3969213,,,1.8945334,1.2047641,2.3574035,1.4760597,1.5867368,,1.7275277,,,,,1.5966432,1.5283122,,,,1.7729954,,,,,,,4.290972,,5.127367,4.3149114
Zapdos,Thunder Shock,Electric,Zap Cannon,Electric,40,,,,,,,,,,,3.2349265,,,,,,,,,3.2333198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4371214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2611256,3.0871956,,,,,,,,,,12.2919035,7.156052,3.1255295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.303053,2.5631366,,2.6366758,,,,,4.2315536,2.58146,,,,2.0779505,,,,,,,,,2.887425,,,,,1.2810727,,,,,,,,,,,1.980294,,,,,,,,,,,,,1.4368467,,,,,,,,,,,8.12578,,,,
Shadow Sharpedo,Bite or Waterfall,Dark or Water,Crunch,Dark,40,,,,,,,,,,,,,,,,,,,,,,,,3.4184113,2.1454558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7129382,,,,,,,,3.114492,,,4.5110292,2.7780347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8709174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.935599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.974055,,,5.507573,,,
Rhyperior,Mud-Slap or Smack Down,Ground or Rock,Surf,Water,40,,,,3.920249,,,3.988807,,,3.2525308,3.9212136,,,,3.9274216,,,,,,3.2247066,4.570725,2.6696484,,,,,,,,,3.0503027,,,,,,,,,4.3718824,6.9464073,4.1599474,,3.9308808,2.3784008,,,,,,3.7713478,2.2942345,4.346913,2.635383,,,,,,,,,,,,,,,,4.860217,,3.4860547,,,,,,,,,,,,,,,,,3.726788,5.824454,3.6471176,,,,,,,,,,5.267286,3.0732415,,,8.236714,,,,,,,,,,,,,,,,,,,,,,,2.9146316,4.687398,,,,,,,,,,4.982464,2.9243362,,,,2.7681108,,,,,,,,,,,,,,,,,2.0987341,,,2.9768198,,2.7152307,2.6428823,2.9060602,3.110383,,3.1324193,2.193122,,,,,,,,2.1335535,,2.5763352,,,,,,,,,,,,,,,,,1.7797214,,,,,,,,,,1.3335208,,,,,1.6037918,,,1.7823281,,1.7499213,1.6345279,,,,,,,,,,,,,,
Shadow Gardevoir,Charm or Confusion or Magical Leaf,Fairy or Grass or Psychic,Shadow Ball,Ghost,40,,,,,4.0252485,3.7704592,,,,,,,,,,3.839615,,,,,,,,,,,,,,,,,,,3.0103366,0.87111604,,,,3.5933313,,,,,,,,,,,,,,,,,,,2.2818599,,,,3.171394,2.9934645,2.6904871,4.744518,2.8920379,4.5567565,,,,,,,,2.2589934,,,,,,,,,,,,,3.2935693,,,,,,,,3.516962,5.9778957,3.2979965,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7693399,,,,,,,,,,,,,,,,,5.787113,3.43566,,,,,,,,,,,,,,,2.6124427,,1.546877,,,,,,,,,,,,,,2.1809015,,,,1.1053731,,,,,,,,,,1.7222383,,,,,,1.8937743,,,,1.4186738,,,,2.0531495,,,,,1.8208473,,,,,,2.417004,,,,,1.2521436,,,,,,,,,,,,4.441467,5.4332366,,5.310782,
Kyogre,Waterfall,Water,Return,Normal,40,2.687423,2.673253,,,,,,,,3.4110928,,,,3.4060357,,,,3.7650301,,,,,,,,,,,,,,3.175665,,,,,,,,,,,,,4.0455728,2.489693,,,,5.729396,3.4271479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2879515,,,,,,,,,,,,,,,,,,,7.788277,4.7360682,,,,,,,,,,,5.2248063,3.1454535,2.9047163,,,,,3.012732,5.057159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7355762,,,,,,,,,,,,,3.0195272,,1.175011,,,,,,,,,,,,2.0639994,,,,,,,,1.5535798,,,,,,,1.7435558,,,,,,,,,,,,,,4.3960443,,,,,,
Shadow Machamp,Bullet Punch or Counter or Karate Chop,Fighting or Steel,Dynamic Punch,Fighting,40,,,2.9343731,,2.815296,,,,,,,,,,2.807921,,,2.820319,2.8375268,,,6.102212,,,,,,,,,1.1589341,2.344873,3.821588,2.3442502,,,,,3.7058458,2.15762,2.5557895,3.9549766,2.4073305,3.8272262,,,,,2.3608646,,,,,,,,,,,,,,2.1410341,2.2217126,1.9707267,,,,,,,,,,,,2.0033379,3.3278663,,,1.0826885,1.6399019,,,,,,,,,,,,,,,,,,,,,,,,5.037078,3.1018558,4.099488,2.411121,4.9854493,3.0704923,4.686919,2.797067,,,,,,,,,3.4888113,2.075516,2.0965078,,1.9169874,,,,,,,,,,,3.1039166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9032651,,,1.0872897,,,,,,,1.9228604,,,,,,1.1806248,,,,0.9814732,1.1183906,,0.8833689,,2.0296662,,,,,,,,,,,,1.1130359,1.5707916,1.3221668,1.3260739,1.5333114,,,,,,,,,,,5.123152,,,,,,,
Buzzwole,Counter,Fighting,Superpower,Fighting,40,,,3.1511557,,3.156286,,,,,,,,,,,,,,,,,,,,,,,,,,1.4407759,,,,,,,,4.3663154,2.6181836,2.881182,4.6985803,2.7903206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0635753,2.9795449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4410208,,1.0887904,,,,,,,,,,,,,,,,,1.6242801,,,,,,,,,,,,,,,,,,,
Shadow Golem,Mud Shot or Mud-Slap or Rock Throw,Ground or Rock,Ancient Power,Rock,40,,,,,,,4.586567,,,,,,,,,,,,,,,4.081055,2.3232634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1811357,2.6367254,3.852874,2.3535516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4325035,2.1150074,,,,,,,,,,5.747958,3.4861448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1697755,2.5805576,,,,3.0990522,,,,,,,,,,,,,,,,,2.345183,,,3.4321866,,2.3939917,2.557887,,,,,,,2.3689337,,,,,,2.3736238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1818132,,,,,,,,1.9506269,,,1.3903793,,,,,,,,,,,,,,
Shadow Scizor,Bullet Punch or Fury Cutter,Bug or Steel,Night Slash,Dark,40,,,,,5.9578986,,,4.724463,,,,,4.951104,,4.5579515,,3.6473293,4.5612135,,,,,,4.0286493,2.630518,2.2000878,,,2.764448,4.577924,,,,,3.3844552,0.98220575,5.8970337,3.6891263,,5.349374,,,,3.8226938,,,,,,,,,,,,,,,,,,,3.777416,,3.3849747,,,,,,,,,,,,,,3.5022857,3.555965,,,5.2623806,3.3083081,3.3528945,,,4.282945,,,,,2.8983293,,,,,,,,,,,,,9.384413,,,,,,,,,,,,,,,,,,,,,6.3399305,3.7945166,,,,,,3.9719253,,5.033172,,,,,,3.4815445,,,,,,,,1.9900627,1.0628278,4.784629,3.389917,,,,,,,,,,,,,4.225355,,,,,3.8321218,,,,,,,,,,,,,,6.009534,,2.7661538,,,,,,,,,,,,2.599414,,,,2.6717663,,,,,,,,2.864698,,,,,,,,,,,,,,,,,5.134098,,,,,,,
Shadow Garchomp,Dragon Tail or Mud Shot,Dragon or Ground,Frustration,Normal,40,,,,,,3.5458055,,,,,,,,,,,,,5.22292,,,,,,,,,,,,,,8.149613,4.9446077,,,,,,,,,,,,,2.7747388,6.616115,,,,5.0509753,2.9188657,,,4.5875473,7.674947,,,,,,2.9713156,2.8428664,,5.8172207,3.4539902,5.239238,3.0845761,,,,4.951886,,,,4.281014,6.696634,,,2.349976,3.4596148,,,,,,,3.222146,,,,,,4.9659033,2.8371148,3.3578503,5.483701,3.3593147,,,,,,,,,,,,6.727757,8.6005945,5.652704,5.115956,3.079012,,,4.400302,,,,7.042084,,,,,,,,,,,5.08091,,5.2878747,,6.062292,,,6.2181544,,,5.330246,2.9763858,,3.2977068,2.974411,3.2977068,2.5477622,,,,,,,,,,3.1375837,2.8377435,1.6285858,,,,3.8797228,,,3.6182196,,,,,,2.4164734,,3.8618178,,,1.5451111,,2.8918853,,,,,4.1835566,,,,,,2.5330477,3.0264916,3.6787806,2.8189127,,,,,,4.2022114,,,1.6893692,,,,,1.8806503,,,,,,,,,,,,,2.2968295,1.6934462,,,,,,,,,,,6.5162086,5.711707
Genesect (Burn),Fury Cutter or Metal Claw,Bug or Steel,X-Scissor,Bug,40,,,,,3.1347399,,,4.4720745,,,,,,,,,3.1314192,,,,,,,,,1.4435414,,,1.8139915,2.938634,,,,,,,5.236984,,,,,,,3.7095225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0471835,3.1113098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3189917,,,,,,,2.1109407,,4.632401,,,,,,1.8747271,,,,,,,,,,,,,,,,,,,,,,,,3.5116694,,,,,3.721197,,,,,,,,,,,,,,3.1122372,,2.6028109,,,,,,,,,,,,,,,,2.718693,,,,,,,,2.4008896,,,,,,,,,,,,,,,,,4.843428,,,,,,,
Vileplume,Acid,Poison,Moonblast,Fairy,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.295992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewear,Low Kick,Fighting,Payback,Dark,40,,,4.968019,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7869782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6509593,,,,,,,,,,,,,,,,,,,2.5434084,,,,,,,,,,,,,,,,,,,
Shadow Blaziken,Counter or Fire Spin,Fighting or Fire,Brave Bird,Flying,40,,,,3.3609219,,,,,,,,,3.355619,,3.774611,,,,4.12432,,,,,,,,,,,,1.614917,2.9833775,5.0093064,3.0043778,,,,,4.696069,2.9759612,3.6379516,5.4738545,3.4139936,,,,,,,,,,,,,3.546706,,,,,,,,,,,,,,,,,3.5199287,,,,2.926395,5.043141,,,1.5402201,2.3147733,,,,,,,,,,,,,3.5281491,,,,,,,,,,,,,5.462808,3.2844744,7.3600545,,6.6187835,4.0236354,,,2.4514952,,3.1933389,,,,,,,,,,,,,3.4733462,2.1102018,,,4.040249,,3.777781,,,,,2.3539422,,,,,,,,,,,,2.0031676,1.9074752,1.924663,1.9627613,1.96507,,,,,,,,,,,,,,,,,,2.8602405,1.7633454,3.160688,,1.8856759,,,,,,2.8087518,,,,,,1.5958589,1.989537,,,,1.748683,0.9974712,1.1240405,,2.957807,,,,,1.0561185,,,,,,,,,1.6221794,1.8264002,,,,,,,,1.4246539,,,1.7923486,,,,,,,,
Skeledirge,Bite,Dark,Crunch,Dark,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.798662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.953389,,,
Shadow Drifblim,Hex,Ghost,Icy Wind,Ice,40,,,,,,,,,,,,7.7595935,,,,,,,,,,,,,,,,,,,,,,,6.4074945,1.8489299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4566026,4.0854793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Piloswine,Ice Shard,Ice,Stone Edge,Rock,40,3.2216384,3.1754262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.515363,2.5747833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.540244,3.3165185,,,,,4.063858,3.6050842,4.063858,3.0614736,,,,,,,,,,,,,,,,,,2.9828742,,,,,,,,,,,,,,,,,,,,,,,2.5434017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2032666,,
Golem (Alola),Rock Throw,Rock,Rock Blast,Rock,40,,,,,,,,,,,,,,,,,,,,,,3.9172552,2.3506138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2629895,2.5420804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.074569,1.8250903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2908733,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Charizard,Air Slash or Fire Spin,Fire or Flying,Flamethrower,Fire,40,,,,2.9808068,,,,,,,,,2.980607,,2.9837396,,,,2.9813678,,,,,,,,3.1380668,,,,,,,,,,,,,,,,,,,,,,2.7361538,,,,,,,2.5350988,4.299514,,,,,,,,,,,,,,,,2.7045496,,,,,,,,1.296372,1.9249653,,,,,,,,,,,,,2.660779,,,,,,,,,,,5.9715614,3.5871966,,,,,5.290473,3.2913299,,,2.4201353,1.9759157,2.2813723,,,,,,,,,,,,,,,,,,,3.4382648,,,,,,,,,,,,,,,,,1.4955304,1.4712852,1.5195198,1.5000187,1.6700892,,,,,,,,,,,,,,,,,,,1.9343716,2.4492316,,1.3882598,,0.9692358,,,,2.2130537,,,,,1.3843695,1.3359425,1.5218391,2.141991,,,,0.89784086,,,,,,,,1.1309302,,,,,,,1.3049277,,,,,,,,,,,1.09551,,,1.8046296,,,,,,,,
Shadow Raikou,Thunder Shock or Volt Switch,Electric,Shadow Ball,Ghost,40,,,,,,,,,,,4.025281,3.1562319,,,,,3.1259797,,,4.028448,2.4162314,,,,2.0872877,,,,,,,,,,,,,3.1747332,,,,,,,,,,,,,,,,,,,,3.2408934,,,6.8429327,3.8383846,,,,,,,,5.9235215,3.5691485,1.7842637,,3.5069163,5.7879653,,,,,,,,4.59497,2.771616,2.6791744,4.3036847,2.5389783,3.514541,,4.9270334,,,2.4673383,,,,,,,2.6808097,4.3631425,,,,,,,,,,,,,,,,,,2.1799276,6.3256726,3.8162622,,,,3.1144586,,,3.3194878,,,,,3.8806846,,,,,,3.1721625,,,,,,,,,,,1.7009562,0.81925803,4.02699,2.8021576,,,,,,,,,,,4.152769,,2.7463484,,,2.8071368,3.1170948,,4.1825337,,,,,,3.3302383,,,,,,,,,,,,,,,,,,2.0575416,,,,2.2135735,,1.823684,,,1.3452717,,2.3888319,,,,,,,3.400835,,,,,,2.5128293,,,,,1.8420943,,,,,7.4177747,,5.398428,,,
