Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
Primarina,Waterfall,Hydro Cannon,40,1.168631248390157,1.1797707972270155,1.1698825504763821,1.1817256216191643,1.161361820193322,1.1048778368489423,1.1225347654466544,1.1366675453968147,1.1286407089138037,1.1641953845130362,1.1352450086537273,1.1859246739399185,1.1558866754022115,1.2187178402999848,1.1486350920484103,1.1890372086058982,1.1395459745206118,1.172735520751094,1.1560163527342162,1.1988052085575178,1.130770180904506,1.200983264992353,1.1785458240543307,1.2231954140996744,1.1314150415949198,1.1938325604820383,1.1392635155241018,1.2052901491732837,1.1083946135490284,1.1786538074915391,,,1.1406984959245912,1.1665593840700659,1.1415035745753153,1.2051014131447348,1.1229700436728933,1.174984102429934
Shadow Gyarados,Waterfall,Aqua Tail or Hydro Pump,35,1.2276636541455044,1.213690398289561,1.2298661676132538,1.2165545278340586,1.0842202339683475,1.0782816338446628,1.287426723662561,1.1901225737199659,1.214588651575668,1.2297320048616578,1.1790184587093584,1.2114335440103845,1.1554026824533459,1.210029894961694,1.1457451134865309,1.1733210183053744,1.1846437240637653,1.205142412837195,1.1182900209852946,1.1774992056947613,1.1850103825198777,1.2014142492704065,1.1904283535748992,1.214152090208814,1.0996808088470034,1.1598352447050457,1.1430942425627855,1.1737957945007425,1.0921477754553455,1.1442442441008391,1.1529960260871817,1.1707191385109648,1.1510459345386563,1.180590326241186,1.1852761797526343,1.2186011399525805,1.192469971190852,1.1956245598952728
Breloom,Bullet Seed or Counter,Grass Knot or Dynamic Punch,40,1.6997188928491973,1.4669915501924953,1.4889974365869014,1.2886005207009288,1.3678303702214438,1.2702763599769211,1.1577746094444026,1.1571625557468037,1.2518036518742426,1.2323074097140971,1.149896000741748,1.181430801087897,1.3632903536078715,1.3701693872956362,1.3845279231635246,1.3857930276936714,1.2962317395611873,1.3083723924232227,1.3689899470528324,1.3565291094319882,1.2973313429666216,1.3381843239931284,1.3580419883157848,1.3551626177271472,1.2444941102071159,1.2938958639510483,1.127770935346272,1.1847181153961626,1.2086770779759406,1.2499143055935595,1.2244900041233926,1.2288605018696526,1.3381221436169515,1.3010440685678637,1.2662179928951778,1.312829438940848,1.1377868391058705,1.1667571109060366
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,40,1.3485408319921872,1.2709299948384318,1.3524668792765415,1.2708121036374112,1.2236113469231351,1.155029570524802,1.2867116195483863,1.227393241778276,1.377636510477699,1.3265812705383586,1.2355606379033255,1.2476432114600073,1.1833631566397596,1.2348493092911994,1.2642342804067017,1.2921396259883795,1.2532208714235058,1.248193827134822,1.222184802343774,1.2601619130330413,1.240214535961224,1.2541424710343134,1.2766555456429212,1.2720387700082598,1.190933625823966,1.2288454969313183,1.1982464427300454,1.2703731347353615,1.1517532612344674,1.2066618626224828,1.271875762149259,1.2810736327389314,1.2460155089197267,1.2679709073276546,1.1956361309615615,1.275617513053206,1.2290618695510866,1.2192765811431132
Breloom,Bullet Seed or Counter,Grass Knot or Dynamic Punch,30,1.8591404615467026,1.578445497645787,1.6453538862926098,1.3922947599439621,1.5576255306679447,1.428150368854441,1.2890521064564886,1.2793288245974475,1.4831362097460663,1.3676450453981022,1.3101835826430954,1.2922453524848558,1.533051920063686,1.5316820248857466,1.560052049805203,1.5323071421809131,1.4874202480817926,1.441555745737432,1.5347481123984803,1.4957124166938673,1.4263600884342573,1.45166740614695,1.4868027144417226,1.4719200188198085,1.380277066801011,1.4211781516513826,1.2236104103512369,1.277565917357232,1.3249572960585347,1.3591228369265769,1.3538477713836017,1.3458115607115826,1.4990227460552736,1.4615486219226606,1.3641405869572039,1.4431884006479576,1.258482625711804,1.2624916432817819
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,30,1.4975943295359226,1.3907147694935271,1.4973306752063575,1.3949203245285877,1.4197109443480798,1.2764513679662526,1.4377531998067914,1.360879781603279,1.5053525462512536,1.436445268091636,1.374468607058969,1.385204251143528,1.3179534257391992,1.345083645689523,1.4449133443850462,1.4546105571234835,1.398798347728126,1.3903292742323443,1.4065657064712587,1.3844088251601152,1.3632365074644166,1.3595715023259767,1.4069786014867947,1.4009416818926232,1.339440284290955,1.3554382741233586,1.2905599408750068,1.3704894878481033,1.2468318856732992,1.313164446825773,1.4456720732345256,1.3935798954710117,1.4096716998118848,1.3934374965415197,1.282561375261425,1.3655656854051634,1.3684420207914283,1.370786513311116
Empoleon,Metal Claw or Waterfall,Hydro Cannon,40,1.2700508546080362,1.2822850605962701,1.2129845100369616,1.2309638894591703,1.263226751954069,1.1898008411430034,1.134764876588356,1.1511863258967232,1.2027224670483732,1.2193012490863957,1.1923282389664978,1.2452601526764742,1.2659208248954457,1.3261298036460119,1.2718981370384865,1.3061650235158608,1.2718209126401496,1.3004854621177226,1.2968694745655465,1.3239601333694417,1.2460015244670457,1.288215338825532,1.2774983333496177,1.3067836240607944,1.2794763344090792,1.2994563490650795,1.1775630175083034,1.2504833236738213,1.203601848840702,1.265795348672847,1.183007699386192,1.243552527501038,1.2936672554555195,1.2842522102745757,1.2635762222713285,1.3237221605074883,1.1600315972826842,1.2129651650284832
Shadow Exeggutor,Confusion or Bullet Seed or Extrasensory,Seed Bomb or Solar Beam,50,1.1894870903494024,1.1573821666989335,1.1897460886405835,1.1617293881143054,1.1678534929284874,1.0368460882087647,1.0540592253400536,1.074725876756233,1.0261083646533957,1.0107303521432323,1.0518428962170847,1.0729501483496104,1.077809073642614,1.1308845529347853,1.0962081735262688,1.1161555058284556,1.057088585476764,1.0946576153140717,1.1248261631585847,1.1463592732539598,1.02884379413519,1.0659478268218436,1.0816291159875926,1.1197176577756098,1.0321581744384387,1.0916635571214148,0.9935876092913819,1.0658352170157814,0.9767617781458012,1.0280305758788273,1.078327445935188,1.1289620652017878,1.0665172517364467,1.071447300995502,1.0577485546383478,1.0982927275102923,1.0710566005520616,1.0871852775770519
Samurott,Fury Cutter or Waterfall,Hydro Cannon,35,1.3380755528279977,1.3469242153018837,1.3397766104871904,1.3490997649801029,1.3138701158280384,1.25257762739939,1.222232169957471,1.2524671987235196,1.3095618354869687,1.3246736284128613,1.283394694956113,1.3185863904685375,1.221393384030715,1.3096506274666286,1.2817756245341907,1.316592114252626,1.3150362330904957,1.321117251022907,1.3227360092787304,1.3413489391419215,1.282543443789476,1.3120975182174894,1.3024822155063496,1.3441471823274178,1.2586606786362107,1.3231498505210408,1.2710795671988777,1.3595857898357102,1.2377287472380327,1.299875219011408,1.2616865665753068,1.3270144867290703,1.297928978320508,1.3242233636529996,1.2899788203444893,1.3667610899329314,1.2772577209927776,1.3192598617946016
Shadow Gyarados,Waterfall,Aqua Tail or Hydro Pump,40,1.1811758773934116,1.1530915384383347,1.1803481701302931,1.1579590085054021,1.0450083401713772,1.0460598143711988,1.2236570794941877,1.1163764067752213,1.1489711436134886,1.1733770084820172,1.1395387447459513,1.1622419334899246,1.098112811366931,1.156433277141528,1.0992892246717176,1.1334234171816664,1.1365925605180884,1.145662555286048,1.0715888906286748,1.1328901982407793,1.1112643433442169,1.1293489973134923,1.133902036282246,1.1603102412377782,1.053846989908933,1.1181765860119708,1.1228366694676368,1.1540709688807633,1.0429046034299727,1.0891760873209049,1.1248055357558473,1.1232458783193706,1.0960139260617439,1.1352806947691307,1.1222951195811286,1.1650829380168424,1.1379559875171656,1.1428862640501452
Shadow Swampert,Mud Shot or Water Gun,Hydro Cannon,50,0.9694400458925395,0.9883112043238045,0.9704923831579642,0.9903519409415097,0.9660355700674378,0.9322375163740398,0.9450704736949925,0.9789152269999694,0.9541542629532005,0.9888798547042761,0.9739960131042157,1.0340228628384225,0.9640584213077686,1.0402486361027519,0.9748064076687202,1.0420856750927947,0.9595229950410913,1.0326064969807607,0.9593646180649588,1.0185146777980156,0.963122226610347,1.023951685121169,0.9797231594129481,1.0465104362001723,0.9631907396833878,1.0409367305474306,0.9886541415363054,1.0639825594040038,0.927393700971649,0.9894099955636609,0.9440549017624369,1.001631601481706,0.9514161174063677,1.0024365717921326,0.9640933697899451,1.0561602049929,0.9267338598969045,0.9969466102565361
Mega Venusaur,Vine Whip,Frenzy Plant,50,1.055012540408823,1.0455198688713334,1.0569239033224047,1.046499238428494,0.9671209921095582,0.9557356038425868,0.9766134753548351,1.0040471772115624,1.0034894632672602,1.0136669982396584,1.0233273967733958,1.0682531833353937,1.045411654076772,1.0890761351937854,1.0123975105045568,1.0720070482581776,1.009114957967676,1.0761565384397755,1.0238719399702865,1.0721495553881404,1.0195997488475754,1.0464199673761885,1.0194993960975953,1.0615752720942973,1.0076560440256184,1.0697105432358553,1.003018370276921,1.054488879677952,0.974255958137005,1.018605022088575,1.0321343463520534,1.0510253968757843,1.0283966008961294,1.0649758054366412,1.0307107495260437,1.0842148394392181,1.0214959899182565,1.0579126070745783
Tangrowth,Vine Whip,Power Whip,45,1.3225459137603335,1.3393734020564072,1.328696333738517,1.3412465219026202,1.1653077228750834,1.1738281313907837,1.2219355163114558,1.243811804213271,1.2717478695054036,1.2968884209579865,1.244076446408703,,1.2623585344271253,,1.2712795561818089,,1.2409030839409254,,1.2600048255536302,,1.2714080896434294,,1.2733529698695163,,1.2819904904406343,,1.2717550856765687,,1.2344269458169717,,1.2549606321674402,,1.2307264648964569,,1.2815926264184037,,1.2329101417392425,
Torterra,Razor Leaf,Frenzy Plant,40,1.3608385325072074,,1.3632031648150464,,1.2647564499082546,,1.2853842424804076,,1.317576577580928,,1.336369143280999,,1.363777481474714,,1.3158035364563523,,1.316845271368653,,1.3241337982833161,,1.3300376891159877,,1.3538226233039437,,1.31159689890658,,1.3171679170824113,,1.2919807322490329,,1.3229543862393074,,1.3089548324396838,,1.3308426554310617,,1.2943855229518186,
Venusaur,Vine Whip,Frenzy Plant,40,1.3952871427275915,,1.397754355555511,,1.3447199334822253,,1.235684195932315,,1.3481999469150203,,1.3081175052540486,,1.367291788504614,,1.2912491417945773,,1.3341138582380303,,1.343718335923829,,1.3247990536819345,,1.3705724032760294,,1.283868733936406,,1.2677195601328237,,1.2702756212904158,,1.3417911697248315,,1.339373759612002,,1.3234183369628902,,1.2929270061306641,
Shadow Sharpedo,Waterfall or Bite,Crunch or Hydro Pump,40,,1.2599705230016356,,1.2629827908002567,,1.244931000896914,,1.260397586047646,,1.3464447140824372,1.2648647082457658,1.2899675485226851,1.2004741019627594,1.1566713645651776,1.3289180929815199,1.2710730056942474,1.2792329318901074,1.2749410415796565,1.4829917694123749,1.3207822970952787,1.2650810096587501,1.2639718434078717,1.367885319421907,1.2667912301495738,1.2089666789018252,1.279904965922196,1.1710016969437056,1.1560132025599015,1.0572079525555271,1.0870297015045827,1.1773991244721644,1.165938498887006,1.2351060913780054,1.2465104415864923,1.1832103290707832,1.2169005582218053,1.2071374354884215,1.2517157433279669
Mega Gyarados,Waterfall,Hydro Pump,50,1.0025932047140753,1.0236696949495618,1.0035527534954578,1.023925828339994,0.9572879791372104,0.9520395609157901,0.977122478635858,0.9976441286148131,1.0142210074384819,1.0209113496731232,0.984438357646186,1.0251441000123624,0.9995587443002871,1.0614640335658867,1.0077459874069203,1.0495399223627113,1.001693787517373,1.0516258851577813,1.0086136421861394,1.0655848189501649,1.0029601693707808,1.0523774697422543,1.0047389240090099,1.068088669558283,0.9919399612565838,1.0450852440731377,0.9990937306995433,1.0478025463600045,0.9342153864079933,0.9981623910195891,0.974851426325521,1.0026535718433098,0.9815341728743441,1.0217018837554246,0.9934755969095003,1.0616497817700228,0.9878832256376586,1.0303866631152174
Shadow Exeggutor (Alola),Bullet Seed,Solar Beam,45,1.280173915537221,1.2484266041875407,1.2810172721185318,1.2535201791152115,1.1179202615628987,1.0797410274989339,1.1195046446869144,1.1142388414852913,1.210545008819872,1.2032724460573276,1.1450967363085671,1.162460594634689,1.1580988910515557,1.1917488574983368,1.1688654619901984,1.161951794282138,1.1501349552884583,1.1460807017176666,1.1335142228234498,1.182155130183896,1.1238148948123154,1.1366246977746788,1.1574230841788091,1.1951361617661758,1.0796274624195228,1.1196748320640004,1.0843192265437804,1.1407909909941067,1.0056554965476305,1.0453770147975066,1.2421850609200478,1.18217996028932,1.1371663547707211,1.1656763294784522,1.1100007919335013,1.1586588132984397,1.0982832043226571,1.1392929047767282
Shadow Exeggutor,Confusion or Bullet Seed,Seed Bomb or Solar Beam,35,1.367148420998062,1.3008583606394166,1.3602565321763183,1.303462063159817,1.3034193157496539,1.1939457045390676,1.210455115221694,1.2035672911546274,1.175882821605178,1.163892495877286,1.2372023349610581,1.248914517400173,1.2491287966975622,1.258045399114405,1.2610912870565416,1.2439166254865712,1.2391051448909096,1.2494630805015237,1.280493883035269,1.2826720059035934,1.243042628194189,1.2745051034974435,1.2482100362792394,1.2477481993787358,1.1627200794419406,1.2205228281226004,1.1567428737210237,1.1939855270934348,1.1347150452062469,1.1764055530166388,1.2375199790889444,1.2511100856310713,1.1837686793327908,1.2311106489794943,1.15272092246805,1.2049181394775863,1.1700001915512348,1.1813376125195996
Shadow Vileplume,Razor Leaf,Solar Beam,30,2.0183205688073738,1.5676702750324893,2.043069157387464,1.5595598025098172,1.6106680571799825,1.3433698364286617,1.3618646073928955,1.3571214013570352,1.5896464081699102,1.4732486781544865,1.471878476943998,1.4422258236494003,1.4657989725530254,1.4398446667335874,1.5248158978262567,1.4128574887284304,1.5005248122792072,1.4886837479710497,1.4679580632894595,1.4574668637716386,1.4663403743774686,1.4211421476132664,1.527584773692553,1.4763517530456296,1.4103335459690778,1.3547806483180302,1.3313577558255372,1.3896088037285141,1.2606253184589429,1.2991184149137396,1.4072404353707535,1.4666907997378154,1.5674139986930484,1.4564016567761637,1.3512143727463306,1.394799935516358,1.4483463176955267,1.379362648344804
Mega Swampert,Water Gun,Hydro Cannon,50,0.8831320890931796,0.9119939962184309,0.8835397208659754,0.9141731620004857,0.8687230121470562,0.8174899919761299,0.8195343831369175,0.869688984341672,0.8397730469529608,0.8736433302401154,0.8917077976264062,0.9533734662813698,0.8677665366443441,0.92639909949801,0.862156264735171,0.9440805658550402,0.8822981898699201,0.9526790977115792,0.8589559662078048,0.9198322508413409,0.8586284888977734,0.9413433675119495,0.8726163517380138,0.9472469641408989,0.8725950917108513,0.9464043724007838,0.8882441454644036,0.9414253662023672,0.8474542529400894,0.930140697369571,0.847856354875196,0.9102987635885126,0.8738353575470283,0.920405844786748,0.8868315404700432,0.9437204238985939,0.850200975082495,0.9113459737704085
Chesnaught,Vine Whip,Frenzy Plant,50,1.2339755568131905,1.20521637270635,1.23124146106442,1.2098444692634767,1.1125150561180104,1.1069356577955698,1.145187110687768,1.1697246207836027,1.1974933808388655,1.2135069713202606,1.1792351109531463,1.2569976395413522,1.2082292876449108,1.2609501245426138,1.2267635289804635,1.2642764928721346,1.1907736692059434,1.2517599185307593,1.1960320354215617,1.2604520181361476,1.2221950266835906,1.2752144086514317,1.2141210946454486,1.2740140081306983,1.205357555881292,1.2755097799093666,1.206086011381508,1.2647472947934544,1.155990752931255,1.204125231785581,,,1.169187751922143,1.217127012385156,1.2152412168016744,1.2758030446439645,1.16737092619594,1.223715840128344
Shadow Torterra,Razor Leaf,Frenzy Plant,45,1.1095939510625046,1.1114565850658091,1.1111305973923136,1.113269500496277,1.124197567534847,1.0364774791741123,1.0569474142494462,1.0687162834202186,1.077862303284162,1.0918597770930365,1.0627834288849054,1.115172997280257,1.1077983771745215,1.1419378898534414,1.0732071975924211,1.1070263413431485,1.0645577317744217,1.1082225483130146,1.07969699345423,1.1183356270277045,1.0576095771635485,1.1156740836809973,1.082103970423438,1.1323735281053247,1.0747421290387635,1.1346224843555588,1.069210947115934,1.1231445190261349,1.0516055583650776,1.0884281272489111,1.0988563172649601,1.1380954470877054,1.0723747013481575,1.0989771648928792,1.0768844572341798,1.1554829441265182,1.0659491036545217,1.1042254862307375
Empoleon,Metal Claw or Waterfall,Hydro Cannon,50,1.1868787313524989,1.204313014397384,1.1165524513222227,1.1347856639349267,1.188646250940269,1.109973058047084,1.0901204396262325,1.1000732096470098,1.089000045183537,1.1250433954951333,1.097694206638645,1.1613532652367413,1.1802743539461866,1.2318140689104873,1.1915404383948067,1.2383131654103106,1.1563926774631803,1.2132235569836862,1.2116180813914388,1.2402447408451118,1.165599241775381,1.2122343627007226,1.1952479532330762,1.2253799850132994,1.188899004152716,1.2269453878990335,1.0914100222769587,1.1616975715627513,1.1202884527682706,1.187639834217497,1.1060790717048268,1.1590376974829217,1.1773511296329804,1.1994110224052905,1.17801514568671,1.2519258345144544,1.10720917654962,1.1700742422631234
Greninja,Bubble,Hydro Cannon,50,1.0988319165117948,1.0874260647238458,1.1033336551207333,1.090034771742194,1.1112611218948405,1.0298881439046765,1.0736735931407304,1.079975235742445,1.1288362015040443,1.1104906069329712,1.091603894949932,1.1150561333292126,1.0712176334913652,1.135345669171594,1.1012066800308884,1.1148829070562571,1.1054795439639746,1.096296359720457,1.1074694444945146,1.1277991522922572,1.0583976789528742,1.117680567270765,1.077593529713727,1.109078077403227,1.0628939317745927,1.1030112528638751,1.0379068784017522,1.102413618754733,1.0248646057030595,1.078305519063603,1.035807808909082,1.093549977970447,1.0943358906999245,1.094219608547639,1.0819420400970707,1.1265504754672448,1.055481609071362,1.080703609463766
Shadow Roserade,Razor Leaf,Grass Knot,40,1.2772680338483373,1.1263390978914398,1.2935945556449302,1.1286576521115657,1.150751460711576,0.9819100264929508,1.0277291130509114,1.025116346478303,1.1210943770563904,1.0834108529947943,1.0925196640499444,1.0648822281802448,1.1030443060516777,1.0732934226285928,1.0927827696057402,1.0703351440339792,1.129105270380142,1.0812510615052626,1.1132267368102078,1.0792385260445612,1.0777395848400582,1.046604972883014,1.1088038974440686,1.0699546114919583,1.0367044701896757,1.0552116521504984,0.9887348052239314,1.037963545174392,0.9721205175187636,1.0117069494844726,1.0824894295519967,1.0676128645997962,1.0905967940820158,1.062844815316506,1.0143535871848224,1.0676373137150763,1.0608432148414213,1.048148964744404
