Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
Terrakion,Smack Down or Double Kick,Rock Slide,45,1.1221244140901316,1.1393813605053755,1.1239592554910123,1.1433783926232903,1.12815010756676,1.1439822053186302,1.0788066016121205,1.074618657123846,1.087421151393562,1.0925424148406715,1.10894421446887,1.104285701507894,1.0708608325148297,1.0666716993034093,1.0765554150494419,1.1544741867340291,1.1033028994762675,1.1482197255686506,1.0964695842192205,1.102823367577638,1.108197612320879,1.0455677099976852,1.0549549196270727,1.0528145833204525,1.0841829092669437,1.1318950337391467,1.0828876647492367,1.095212004418356,1.134708792853529,1.1007308354383913,1.1199864732619307,1.1670371524892917,1.1247346049076392,1.1014464975673142,1.1543620154047973,1.0979455031317447,1.1102871983574456,1.1642718467249225,1.1063215493680583,1.0834561712830533,1.133580674369425,1.0911700123629573,1.1188250385914627,1.1788199595706899,1.1122845493530962,1.1280482967522412,1.136149769034672,1.159235863312618
Hippowdon,Thunder Fang,Earth Power,35,1.638701607635868,1.66209996535158,1.391403337261284,1.6602560058107596,1.6740544435536118,1.415278288595923,1.4694160088495412,1.4726470820931572,1.3391191795520423,1.626559663826267,1.6822016217197222,1.4152592151887557,1.7183260292407398,1.7608596527863465,1.5247028468430919,1.6669676493474677,1.670059592811156,1.6040705435699452,1.7704107039317065,1.8278889660891087,1.5871269420575278,1.650153726303404,1.7131960359525005,1.4411347381977657,1.6286976320963182,1.6870211099924306,1.3923770577321593,1.7119512674723643,1.7352622812704486,1.5485697665403175,1.6687946843514678,1.7227945754581655,1.4051792603178883,1.60682848613334,1.6884989105377683,1.4069183364126387,1.6542159884408167,1.7371770794923402,1.431391315962077,1.6600426984713226,1.7211178635587028,1.432606460238857,1.6223380914510406,1.7475044298575373,1.4338812304373056,1.7330798108948635,1.6997020970179635,1.569716473522525
Aurorus,Rock Throw,Meteor Beam,40,1.2757419548316757,1.2832485054162515,1.2776607064041972,1.5435538137725464,1.3325559974239376,1.551234055420734,1.2901301503038831,1.2462362212484832,1.2919489177630261,1.3607648621815225,1.3528470982538943,1.384635759372871,1.34692892212919,1.3049390847874642,1.3635885837203163,1.3471517230483396,1.3208575718867426,1.5722499833776615,1.3450015900980445,1.3270689946487666,1.3722847105185503,1.3278933224742595,1.3171708905792763,1.3178003464548176,1.3199809653508785,1.3863162066613717,1.3327925366261055,1.376152183854013,1.3793077208886713,1.4360499500352923,1.3296702046068938,1.3888860029816763,1.3537465740748844,1.3255080326690067,1.3730502606363222,1.3468791468108225,1.3173992107465928,1.3801987660137414,1.32349539778464,1.2963151071843004,1.351507890427457,1.3109345156349506,1.3198182619129966,1.4131658637423392,1.3240011921841746,1.3673414632778786,1.3563500761772216,1.398623796544843
Flygon,Mud Shot,Earth Power,50,1.4954021800548785,1.4367815429814077,1.2419891835934225,1.4174044248563853,1.396560143129962,1.2062520486158665,1.3122995241593718,1.2865914785379806,1.120656077373108,1.3932363617687782,1.3826040364969168,1.1789571147088413,1.5043192208021752,1.3638742021951913,1.2582426116527576,1.4358472635231991,1.3771435746461138,1.1906560211639758,1.4392915376686024,1.422753721761029,1.2104527009929313,1.429938774575098,1.4374858929299958,1.1803987338722046,1.3819154650436403,1.427812365813211,1.130996255186236,1.3887586959952138,1.405670026943686,1.1902494380318953,1.413463729973235,1.4498227121338307,1.1632976418219942,1.3667661118710939,1.4329491837674297,1.1528966970228087,1.3733445448605304,1.434806928173574,1.1569402359568604,1.4219435802567206,1.4604216126002254,1.143236965596912,1.3933895397029092,1.4424496137187084,1.1680728735195733,1.4041560695965498,1.418461756362447,1.2083341733843909
Golem (Alola),Rock Throw,Stone Edge,40,1.4213573200929492,1.3793640278237829,1.4231110469159942,1.4653471817201142,1.4503642496718367,1.4897061380763248,1.5438870483896907,1.3711323614221915,1.653922348607552,1.3821145717890706,1.3803050181096748,1.4145363285588115,1.453692015609764,1.4122171598627333,1.4617315827787278,1.4620186796119383,1.4059670235431385,1.460868124714922,1.441219959528541,1.424152641768348,1.454110662224478,1.442026326195858,1.4309649434916827,1.44774478714914,1.3873667191020438,1.443304824034807,1.3946986932851957,1.4101870752873995,1.44034938902376,1.412869447189095,1.452767788826659,1.4780451962383616,1.4600176212296934,1.4060833934087018,1.466826386584476,1.407627576671508,1.3863137442637576,1.4498801244450825,1.3960908427948586,1.4134886441774948,1.4693659896657798,1.4416495171240198,1.4175799832677076,1.4941359119482749,1.4201543982315141,1.5041174829199224,1.477524945937495,1.5117557838559166
Shadow Aggron,Smack Down,Meteor Beam,50,1.0095700376727446,1.0102966802747138,1.0089952042858996,1.2605567676265603,1.0707170174769056,1.2613297594444077,1.1110256792123556,1.0451605394738988,1.2979955594149417,1.0713310271978376,1.0689399672863071,1.0825886000657274,1.0407474109815027,1.0309297077433932,1.0696561275877055,1.0692189989619365,1.041551383889793,1.2971206842093816,1.0721346345648934,1.0712777174313761,1.093682254617296,1.0825468028647018,1.0922565324044848,1.102973205015354,1.0607376527657777,1.092972385334877,1.0873837753982376,1.129229720708289,1.0808819364240632,1.180598071867187,1.0712554703688435,1.0968688476739188,1.0711961739566622,1.0859883548845173,1.10618827529804,1.1161568983771892,1.0677467075152358,1.1086165245867257,1.0929714903557761,1.0444951810672325,1.083241136627738,1.0495046491434237,1.0635119976270602,1.1253561469270328,1.0806796449790195,1.0954116272053427,1.0691476943372127,1.1139221224354234
Rhydon,Mud-Slap,Earthquake,40,1.3746053341624107,1.3390939226332121,1.1394548507364697,1.3292878780417619,1.3274352752801122,1.1320134797000443,1.4909312607515863,1.3191261930255214,1.2512765382361652,1.2887287218894652,1.2923824530191497,1.1061137211984324,1.3393366433890879,1.3102753137076373,1.1200128402264349,1.3761481196773167,1.32626149722209,1.1419825466075912,1.362367339879834,1.3271574572891065,1.1488092896760516,1.3470691977139366,1.3383533681606277,1.1366473157543606,1.2807787105485966,1.3263733060200098,1.0704008988274993,1.3250564197708627,1.341850804390795,1.1179900133876934,1.3470762126806035,1.362423033752742,1.1295169004258694,1.2787079616164774,1.337977151886841,1.0793592237494696,1.2827709172350634,1.349678940328675,1.0901481670185424,1.326685411737794,1.3363943185537444,1.142775094905965,1.2845309246222556,1.3576021098174196,1.0772472821691277,1.3986208886757976,1.3480703440662232,1.1767023142581496
Arcanine (Hisuian),Snarl,Rock Slide,30,1.62651332693453,1.6175234596913497,1.625932605857701,1.490117159668159,1.4555678782418144,1.4847274725350823,1.959175852646634,1.6381374024818542,1.9689308891519512,1.500883685192596,1.541127817401157,1.5142344381297737,1.6471824727174367,1.6098353594831567,1.6951958346947829,1.4704845716420267,1.4279741825234555,1.4786423376801952,1.568783962766385,1.603213447213124,1.5872806170312956,1.6590237860974777,1.7248665476471077,1.6665869118743988,1.5414322917276109,1.6017263217164983,1.5433659810512825,1.5550118837895848,1.6156050418971368,1.5627319237728583,1.3863792153638361,1.44795768801155,1.4191146715877587,1.5528066688156401,1.6460636078295776,1.5520083657730437,1.449797842566326,1.493287120829631,1.467520093375445,1.558965628030856,1.6234143326773787,1.550368199929955,1.5506946606139367,1.6700825295637722,1.5473603925236394,1.5905043074040488,1.6371269919797689,1.6397917929974217
Mega Aerodactyl,Rock Throw,Rock Slide or Earth Power,45,0.9755383424161894,0.9821306491114672,0.9684548160033344,0.9710461809953079,0.9832782932125221,0.9739484348959495,0.9143593901449734,0.9185756873446472,0.9223951339582609,0.9543835280872357,0.9683134790051551,0.9620236670785933,0.9735119443190564,0.9665684929022316,0.9760528189698473,0.9815982230626051,0.9556931414535226,0.9756207170769922,0.9743007669257059,0.9750950197046352,0.9797156200817042,0.9512147134802734,0.9569791640111144,0.9585489924090094,0.980814687693496,1.009631782694068,0.9743039425863441,0.9604663295984829,0.9960001622576367,0.9718684384011466,0.9747150054065137,1.000884811966572,0.9647849579292926,0.9586006164146303,1.014767518951048,0.9595776875419881,0.9743503613595071,1.0184695671821273,0.9702376739495178,0.9605101378159904,1.0005956275695311,0.9558594793909312,0.9835619916485204,1.0255484840056321,0.9753529398011278,0.9600708422512955,0.9889677536112154,0.9610619036706193
Seismitoad,Mud Shot,Earth Power,45,1.5073210671713422,1.4890439831620539,1.2651228494047504,1.5695185771949238,1.5691034198996967,1.3299831571074854,1.467979981150908,1.4402937113729803,1.2312049592168748,1.5330922749462104,1.5408566555687861,1.2747368521279336,1.5339001072026321,1.5231070621572187,1.2733735281346568,1.5728902419144108,1.5212696173443447,1.287802245329123,1.5786201962039255,1.5691632931161414,1.3046808600766273,1.5116456536080263,1.5271300818165594,1.274241525573381,1.4864317400862133,1.5423390240730248,1.2522007340830426,1.5599001827843784,1.585523943286353,1.301020640811219,1.6124623599265062,1.5932889049235162,1.3307483603819956,1.533514015790176,1.5722211365327203,1.2798386273299778,1.5375716499347991,1.6087707925604355,1.290552166823654,1.595159147482791,1.5713403230856458,1.3432894310501033,1.5121638404673194,1.6341368386100437,1.2922279315571237,1.6947008605025726,1.6027990759716724,1.44659963934073
Krookodile,Snarl or Mud-Slap,Earthquake,40,1.3192532968946038,1.2702054930876827,1.0962197218130019,1.33443403957041,1.2885690408553636,1.147628645382093,1.4545438977079608,1.2854865965287283,1.3479584103731257,1.3719058683540752,1.3585565580740182,1.2315349842909065,1.3849410156766633,1.296571929380809,1.2639433565997078,1.5265105872040547,1.2609901307929792,1.2750922838288465,1.4506427833993445,1.3646617948249593,1.3993146255418634,1.3334121564767003,1.3229768418338814,1.2323241006644943,1.27057690095985,1.2911831888886376,1.0858564178012178,1.432617740714886,1.3330343745967832,1.2347081167800433,1.2780422346509266,1.2853921014592435,1.150803256228742,1.3088770158280352,1.3154456185377381,1.1385365505196368,1.242073174779763,1.277529181795749,1.0711080136867537,1.279507245118761,1.3137436830584357,1.1396816258721836,1.290403084059889,1.3552414080097006,1.0953611864242052,1.3876360032720834,1.3258203739799939,1.1803361961875718
Shadow Sudowoodo,Rock Throw,Meteor Beam,40,1.3702323477312062,1.3229872359964048,1.3691906925363575,1.542572161291663,1.3021893067253076,1.5377427657891538,1.4902764398098804,1.295897589831678,1.7447119244383205,1.3516516548575561,1.3128620672641766,1.372925076756572,1.4761857543420613,1.2780310980536442,1.5172762062770424,1.3562004338524571,1.3112131592108305,1.584887673841693,1.3146609746942703,1.299503446698751,1.368872489106196,1.3427158564864317,1.3082522156516507,1.3595710790095012,1.2818660857583721,1.270647307319262,1.3091234267532266,1.2760863314195658,1.2728121362958393,1.3522782309947472,1.3288958594205575,1.326998417339745,1.324379438582173,1.249215659352744,1.2827824109865584,1.2829775715000675,1.2937106657456348,1.309055462543432,1.3111389522357773,1.275408374763844,1.275695310565729,1.2779620256032502,1.264394269154101,1.2967983835894963,1.284754304393915,1.3411330632524445,1.2938370951515592,1.3390833287304498
Groudon,Mud Shot or Dragon Tail,Earthquake,45,1.1194222608898967,1.1088257743583054,0.9471639124420022,1.1989810011556887,1.1757617196216237,0.9994826523593131,1.1446232490398633,1.10176224988944,0.9454952543720951,1.1860760505357018,1.1442586718840841,0.9771910138619152,1.1205140964481957,1.0912789120429083,0.9849617064429373,1.2312402929000557,1.1503426087028654,1.042843590017849,1.1618074056049483,1.1517416151988211,1.0077194203921434,1.1610210296024661,1.160035853237518,1.0022307062500004,1.127458576533923,1.1808651575660827,0.9449275277194641,1.212129909102639,1.2110674092734555,1.0030015792788942,1.174880272331544,1.2096442219580024,0.9747208466743076,1.1190773372382572,1.163868536741298,0.9869649713073189,1.153025025055887,1.2014331984229336,0.9384478239495234,1.1459208383116826,1.1813522711235551,0.994333853893267,1.1744069590870259,1.2733120791599626,1.0072163904276505,1.1666740432096812,1.161648559540095,1.0326426642307769
Shadow Omastar,Rock Throw,Rock Slide,35,1.2743823643776966,1.2483070138059977,1.2735521153750036,1.3469317985962461,1.2434410629565624,1.3467328039376514,1.1614686040466093,1.1546249410283262,1.3356478290931761,1.1969877319323785,1.1952073776331016,1.2077604565952078,1.3105472534945197,1.2062975372339255,1.3226312305548462,1.2796338585908453,1.2274634713902848,1.2816610925797,1.2231716539902067,1.2205815538753404,1.2405413053645942,1.2516672492295475,1.2330711983876035,1.261800032065661,1.2467728825295055,1.2669440062338155,1.2555546342412571,1.19222922573619,1.2311342772565859,1.2087214342769546,1.2534415952325597,1.2612676654702917,1.2930794038665054,1.2072683567771425,1.2610521955689569,1.212118522235234,1.2471621894259937,1.278094057442372,1.2567969754700419,1.2419113257408563,1.248456950621601,1.2424901108626145,1.2088125629431197,1.2497652988596109,1.2128409702215384,1.2556290827227006,1.2313831364114474,1.2647154577069386
Arcanine (Hisuian),Snarl,Rock Slide,40,1.4356140860653204,1.4456544188595841,1.4362309380742087,1.3102635943455894,1.3219295960937416,1.3117018092452015,1.7758884610449694,1.4667227197004207,1.7820713180345482,1.3812140075081647,1.4370912339248323,1.4012359532082816,1.4091360470636503,1.445472524674509,1.4119224845091194,1.2880611641720172,1.270829612422373,1.3094268705723777,1.4101136764834452,1.4396101146479003,1.406474127583989,1.525001602859586,1.579353745647823,1.5308505793543383,1.445454489416462,1.512387641782661,1.440569637158846,1.4270626750329083,1.48229370732376,1.4242070557042836,1.3005205539556612,1.3530757982307986,1.290661636307665,1.4227405722364581,1.5053154138880678,1.4220932772359711,1.3003868908004415,1.361733643459595,1.3130741938935762,1.4507167321392938,1.507273507976141,1.4494087809479979,1.4548788099262906,1.5521972717191828,1.4444706982739282,1.4445087472876292,1.4844479110882802,1.4593671081179709
Excadrill,Mud-Slap,Earthquake or Drill Run,50,1.0549670077573492,1.059687198467676,0.881742908722168,1.2451886861774406,1.1332315886179287,1.038065254474639,1.2519151950742997,1.1151955810661032,1.0447736931573464,1.2766056124555551,1.1498988841624234,1.0303841478527345,1.1741642916869572,1.0851980116136264,0.9741101184803136,1.247892608005293,1.1146451787488967,1.048810663836491,1.2947182628135068,1.1539738835353905,1.0586864818734396,1.184404315973637,1.1438733540198913,0.9877056223232561,1.1261531144519998,1.1339140733746842,0.9529535161858225,1.2329962124061786,1.1985553028830795,1.014944618793088,1.134191854565451,1.1442981100287068,0.9504436108794841,1.1804536712565796,1.1486685542177688,1.0151621893259952,1.1048374093197435,1.1394657590923867,0.9408259108983742,1.1196684576439737,1.1184255696200458,0.972728542052753,1.1343609088542437,1.156654314827193,0.9393466301201931,1.1820556266102884,1.1523431698242046,1.0299756263907816
Shadow Golurk,Mud-Slap,Earth Power,50,1.056874449882204,1.0399738993196541,0.8767155839105952,1.0633900418417768,1.0664920117446282,0.9664536747359691,1.1962284166076642,1.0437138085174953,1.0680419202483227,1.1010648829269318,1.0701063844213805,1.028259056207941,1.2481857414570174,1.0445699740286998,1.0562232358145585,1.6099371292260174,1.1272670324293337,1.3455665364237852,1.235769577992597,1.0780402921448837,1.07329237245017,1.2619750973636623,1.1545692762688782,1.0477747015483918,1.0484397894160016,1.0547878488749445,0.8902683008467562,1.1943551028516348,1.0777407263934917,1.0362269805968347,1.064676068937996,1.0704849618823866,0.9222114703617736,1.0487542627316535,1.0577101796850723,0.8846432992677247,1.0450416771077917,1.053998587058391,0.8858208687773661,1.0884767630180245,1.0600542452385964,0.9153858080676145,1.0652112743594546,1.0827332293624543,0.9191951890159057,1.153271301974953,1.060332824848937,0.9969956493507189
Rampardos,Smack Down,Rock Slide,30,1.1856429738679752,1.162105302394299,1.1875308468361927,1.2696269422417283,1.1795403098353567,1.2903230119000537,1.3291997497447274,1.1201519757755134,1.3972165937891312,1.1390461208825482,1.146403556784571,1.2021118769055696,1.2776764792345612,1.143102465557834,1.302536817729335,1.5533145948152631,1.1802078917206424,1.5516196819043757,1.1926925718613637,1.1631741573794165,1.3130580571311001,1.1692562130183026,1.1574206300775394,1.223189367887231,1.1583546552331512,1.1461564896132572,1.170891499456152,1.1962109101862266,1.1398186137990627,1.286249600289532,1.1632152821015493,1.1606174483023013,1.1714487969337786,1.1247503696698617,1.1430746008394177,1.1481604713006137,1.154734884692285,1.1696012510446283,1.1624066501536547,1.1490657627977352,1.1357528041856622,1.167625075647704,1.138273316745802,1.179405266000737,1.154319612882046,1.2094231479737312,1.1606770628601952,1.2503733256490033
Groudon,Mud Shot or Dragon Tail,Earthquake,35,1.2741223741538035,1.232187111634838,1.0730828368330496,1.3213129915716288,1.2505735643530835,1.1403299464166727,1.2434238856608981,1.1751014526854628,1.0857945183330862,1.2957922019766133,1.2788249384634605,1.0933594204211576,1.2154412966499866,1.1995515164366242,1.0904237839611362,1.3441769843521265,1.2688583099311337,1.3257549086802038,1.3002701494564761,1.2837802674008243,1.1549496798066465,1.336644131209027,1.3269868280937538,1.1144152086431947,1.245452170580032,1.305440453725929,1.0300323427205982,1.286182625860789,1.2645003018596193,1.1478272796226991,1.2809796810529837,1.3253601680457305,1.0857267910156905,1.2484025619372683,1.281471609779667,1.0413329077562286,1.2257916304391978,1.2680033594636202,1.0428109942767818,1.2698525917306038,1.3103278326499448,1.0353164018962904,1.2226354422602814,1.3112585452524514,1.0491772638725576,1.3119334352688068,1.2769177113024663,1.1125255847739561
Landorus,Mud Shot or Rock Throw,Earth Power,50,1.085584689972883,1.071306491114671,0.913504581808817,1.1355299817336562,1.1273440782113449,0.9391488953247701,1.0545087648104146,1.0537788463172515,0.9029310631126551,1.1041069851438055,1.1140446998652846,0.9229763055109212,1.0938541001260353,1.1083173285681078,0.9345628839865654,1.1218704598863698,1.0879725158905154,1.074262134715474,1.1397860207370443,1.156099694131065,0.9663533820517504,1.1150926867848059,1.1296643531565915,0.9574497314013871,1.097466996999906,1.1284820460800826,0.9156521566088895,1.1346188319262613,1.1472238480750676,1.0053766973580054,1.1094326387368998,1.1583624171709306,0.9297425242441711,1.0986739530106335,1.1294060995057658,0.9401680634169196,1.1010812485871428,1.1448381328376656,0.9176538288557177,1.1082718938854816,1.1402700196513422,0.9393272929818858,1.100695277277344,1.1793745518773686,0.926284270592665,1.1244826528164216,1.130152848333782,0.9857131771025265
Gigalith,Smack Down or Mud-Slap,Meteor Beam,50,1.0882657067896504,1.084712549420592,1.0550632439562229,1.1133226491123052,1.1038815115207232,1.09433250901391,1.0762245389702776,1.0599573346301896,1.0434105786718497,1.0741891617787038,1.0949722533756012,1.0473007452478154,1.0727242619729251,1.0702504268987805,1.0917677967550512,1.1173441563085513,1.090940027483104,1.113440766218783,1.1062743660429586,1.1250346564934364,1.091832899725726,1.1084412218050221,1.1132373503464843,1.0785612088669598,1.0901646965810943,1.1382930185418048,1.0571649162434293,1.1215532227344238,1.1307708805655772,1.0805489198862988,1.1214700906181092,1.1639903601406716,1.086068990157744,1.081387337868583,1.1405357678347072,1.0435412397427466,1.093553877274032,1.1427160058255008,1.0708044146520594,1.1225737116414616,1.1574321190665517,1.0478058002987964,1.0917108961947868,1.1516644364403599,1.0669707888686875,1.1293271626463313,1.1498819196397414,1.1298411844206933
Hippowdon,Thunder Fang or Bite,Earth Power,50,1.4598032579680777,1.4814330213845985,1.237937351589973,1.390326243519449,1.403370829095039,1.226819863379443,1.2843495173726327,1.2929996718686976,1.125408498570154,1.4599603500116998,1.4739995389267841,1.2485462199930926,1.5058996461421454,1.5173687825169375,1.2848825801348194,1.3801204500512243,1.382966986213577,1.2046601369680678,1.5653339197931295,1.5913819870954427,1.332633700810273,1.4535047488261859,1.50149779499879,1.2517306013548037,1.4516643211391447,1.5071040291970264,1.2235097219894082,1.5036989131183716,1.5345212471915979,1.3138952232818994,1.4253801318177994,1.5174263339612732,1.2782258789372893,1.4423119789246415,1.542138080791576,1.25116192665174,1.4854852515428767,1.5522739448143739,1.2551869089840335,1.4711803061831439,1.5299147258953043,1.2821207453370032,1.5035368146387416,1.5494130007217581,1.2531893998084105,1.5468545088433217,1.5481784094272457,1.3476621985494177
