Attacker,Fast Move,Charged Move,Level,"Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Regice, Tier 5","Regice, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Aerodactyl, Mega Tier","Mega Aerodactyl, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Diancie, Mega Tier","Mega Diancie, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Glalie, Mega Tier","Mega Glalie, Mega Tier","Wigglytuff, Tier 3","Wigglytuff, Tier 3","Aerodactyl, Tier 3","Aerodactyl, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Cryogonal, Tier 3","Cryogonal, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Glaceon, Tier 3","Glaceon, Tier 3","Glalie, Tier 3","Glalie, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Shuckle, Tier 3","Shuckle, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
Metagross,Bullet Punch,Meteor Mash,40,1.180556297155507,1.1919585588039323,1.185606217817146,1.1907634752653,1.1840128765890627,1.194722446891841,1.1640243456157184,1.1623253618300693,1.1386430396894738,1.1606669813804147,1.1935889972612437,1.1971840745039402,1.2230356146422872,1.20513547628656,1.2068584486995297,1.2154745397260163,1.0844893542962064,1.1674084657039883,1.1881203692713762,1.18629176327045,1.1739042899222194,1.17865966389818,1.179311548568907,1.185259996898281,1.176319348155633,1.195849240753653,1.1783477794699577,1.1778170426656123,1.182101262576039,1.178586221568336,1.1715108592230776,1.163578425360614,1.242226838408219,1.2624477642090037,1.1747803409415294,1.207658759063639,1.2005432417048918,1.1958634632701803,1.2079310581795115,1.2193793468664902,1.175175995862964,1.1910961465947048,1.1793177397725838,1.186912433546212,1.1902205251218059,1.205799983520486,1.1756000253567573,1.1805793638201445,1.1609786066232477,1.1834517180625301,1.2535171698236316,1.2253581567927916,1.1730119727655222,1.1903331710186031,1.1980154617139251,1.1875096245511585,1.1865290614996618,1.1923536236207575,1.182641116085357,1.1804179504631975,1.1559160854725858,1.1544081815508878,1.2015107124382138,1.1995721615234485,1.1913388114753845,1.1874352277243294
Metagross,Zen Headbutt,Meteor Mash,40,1.4083712274364513,1.4265619366496098,1.4160384268617914,1.4268662733621573,1.4122985283558918,1.4293791312700326,1.3786439925191099,1.4080124381573706,1.3641866985073678,1.4113459217556816,1.3959124880401668,1.4145380971799617,1.4168580073458077,1.4183366788001148,1.4078482660500327,1.4328034221477686,1.1207197122732366,1.2134102293122935,1.3963018789730364,1.4021577600900745,1.3926249249865525,1.4031571799265568,1.3918758722532096,1.4173284635451933,1.4066586204307472,1.443490830035536,1.517513016012029,1.5436089058366702,1.5038846500363532,1.5350482127203662,1.4029546524206085,1.4045686716738204,1.4143482285876328,1.444402752729211,1.3828904739425372,1.41775554101903,1.4144151571969061,1.4182726369107228,1.3981354761685951,1.4187681485685606,1.530705066427994,1.5732293265586734,1.3975793576794717,1.4118216467166977,1.4134695269671302,1.446991068468227,1.3751120615355608,1.38529783626318,1.5556425444597848,1.58939344981714,1.5770514992494593,1.5423639965230151,1.5082501421830201,1.5364581251320975,1.4437759683211033,1.45055797362117,1.4124568039881722,1.4393047152120886,1.4020590509512516,1.4096617628831076,1.3532032527542681,1.3637433854958803,1.4142857963432183,1.42997776509206,1.221893935279772,1.2130057714576699
Metagross,Bullet Punch,Flash Cannon,40,1.5371034209023189,1.5384924032648297,1.540525698000048,1.5367681404511386,1.5402840024366138,1.5391887461280385,1.5148087174799982,1.5150966900397094,1.4986562865385435,1.5059105780495519,1.5703556015141702,1.5714685041702827,1.6027474090524023,1.5782048651244058,1.5868039181139366,1.5920858553127661,1.4370132140589493,1.5301120633112812,1.562228178734484,1.5533784600361515,1.5325916177661836,1.5408759156308471,1.5185210892604537,1.5387867943645253,1.5015495060967659,1.5341784439214494,1.5504240466998735,1.5469319804222437,1.5327272728187498,1.545469798485695,1.5085534553479498,1.5257844366458704,1.5407489216292054,1.6045614400208459,1.538582117059733,1.558045693954686,1.542063774399839,1.5436407464189779,1.5875071573183412,1.5988963193017176,1.543836955387167,1.5379669163997305,1.5460286351466892,1.5478382020114276,1.5364980780602864,1.561765844742935,1.5295027321115262,1.537471492144082,1.512747691772646,1.5311442573859262,1.5491870823784346,1.5324424434584993,1.5355645657870178,1.537794727725712,1.5309853745293271,1.546868525739307,1.5337591197151483,1.5369329778218401,1.4935490718604265,1.4822431044930082,1.4956120365950998,1.4969350306431417,1.5351265729759829,1.548159874661404,1.5203208108848736,1.5214558139485552
Metagross,Splash,Meteor Mash,40,1.6237919466267625,1.676344696999343,1.632094510919982,1.6711105903173538,1.6278160697344908,1.6730108081022226,1.6116849063527363,1.6468501796693762,1.5807185083001685,1.6509071875734123,1.6163200730036356,1.6564006259780908,1.6475354161374005,1.6510674787167434,1.6251221726773737,1.6656929278601795,1.5007701190441292,1.6386862702637297,1.616357062464954,1.6345101095961183,1.6267855699814024,1.6571316770095406,1.6206677301625083,1.6740440873147293,1.634138165045172,1.6930097908912871,1.612080179278058,1.6590275035463538,1.613389765127862,1.646734145678797,1.6298268659454183,1.6474235238411306,1.713023282632423,1.7971038194847573,1.5972905929293388,1.6519095388851455,1.6142840132922622,1.6398705977964276,1.6595900434933446,1.6852407083828098,1.6687225566609352,1.6843173984086657,1.6348315117654932,1.6512862795797971,1.6581196807760594,1.7115477602442724,1.6331419539542902,1.6620693600316891,1.6125593884435778,1.6315006789185305,1.7414308611980658,1.7138432081791533,1.6124170231651778,1.6461475250711666,1.6840553973130057,1.7218368808012394,1.6436826478566517,1.689170916243641,1.6888481677749916,1.669026052931235,1.588927262448049,1.6125843679437442,1.6353636998550816,1.6600507905940924,1.6645156095213307,1.693994262935024
Metagross,Zen Headbutt,Flash Cannon,40,1.9900054653686576,1.9869520549196027,1.9840715735387555,1.98502164083647,1.9835565226559337,1.9843483510262068,1.980152085783936,1.99697889456735,1.9774948604308211,1.988950064802074,1.9654587969912605,1.9728016004963211,2.007188919660098,1.9664871308715157,1.972309515236918,1.9836068687510955,1.4721681122755281,1.5525135619702093,1.9587161161579971,1.9529674308396887,1.9352282588743581,1.976778250054019,1.9576681326615633,1.9721588321447137,1.9324783767415432,1.9890121188216536,2.306003062022867,2.3418290776148316,2.298754570446573,2.3519600354738994,1.9766148073568033,1.9840080861057283,1.9986648133736775,2.093283414238133,1.9246948422732022,1.9603540529787196,1.9572950497204271,1.9883241659415916,1.9505856403700537,1.9503728333501633,2.3397321545101857,2.3508549707290505,1.9518754985896845,1.95909583913936,2.0140174250271206,2.0361221338200455,1.9435996218978884,1.9744267398022017,2.3666822138996686,2.3747659190941013,2.387373757924143,2.3307097998513173,2.2151532563952965,2.2634104681159206,1.961420878142539,1.9717654033036327,1.9528301271386843,1.958412090153781,1.8900437376779862,1.8770669510745348,1.8875699434644386,1.8874078514911248,1.9618096653024044,1.9760534817327267,1.5439949706710914,1.546811562429785
Dialga,Metal Claw,Iron Head,40,1.3662040412239922,1.3650729149872138,1.3669306690079872,1.3640390337927566,1.366658539801657,1.3657884711667783,1.3227373417761044,1.3293906182840212,1.3828137318974605,1.3501778540898022,1.3600304676494381,1.351525873877265,1.3449953746590562,1.3530195676546912,1.3314998451799585,1.3545948325405657,1.245712734420744,1.339699264691054,1.3311475460130346,1.3162863493643797,1.3229961169346138,1.3421711491622879,1.3649961024684254,1.3655404275992205,1.3618811948025304,1.3716163434503177,1.3505893025607012,1.347553540949915,1.284679811265895,1.3102587236572973,1.306908470857443,1.3296891745436021,1.3784166413846104,1.4247511282533658,1.3331650027298603,1.3686470802150483,1.3318750627783171,1.3466584944492845,1.3304949002255586,1.354295162614618,1.3226870464884415,1.3470541274514658,1.4050454282190377,1.3587764516804468,1.319572152207994,1.3672295710593445,1.3452071665084506,1.348355152029306,1.3566622011456224,1.3439671914894806,1.4072508250788438,1.3615294825652342,1.3200896157164042,1.351819940454297,1.3615473999893384,1.3804719620714685,1.3412887468418733,1.3366841635469136,1.3976299211140977,1.38399407964705,1.3158745593388275,1.3229379250133706,1.31972511798059,1.316861637459778,1.3292356038034887,1.33977921102554
Dialga,Dragon Breath,Iron Head,40,2.2252751108520017,2.3169460493272536,1.686396030629129,1.7105485763815302,1.6809555437765922,1.711032871315205,1.339316800503189,1.3401915888383495,1.3878060932034713,1.3638340324456224,1.4245129054198034,1.4189976682664658,1.6668860202008102,1.6907520789398462,1.6554158826733176,1.7020369441964922,1.5214592691658444,1.667621534363233,2.1298650274092665,2.153948654379915,1.567584193482904,1.6132339204542376,1.8857292691084038,1.9509713877600092,2.2655592979784562,2.363163472097341,2.3629940369439013,2.4374857105700456,2.125102128000629,2.234627908526551,1.6086579644907701,1.6525454142480458,2.2262547794592855,2.366036117915043,1.6508801605213248,1.7103605871348835,1.6553651186928715,1.6932828047609356,1.7261566361987242,1.7815244225479443,2.041146391597868,2.1629617554190297,1.6782348327663525,1.6467435143235278,1.632220159753346,1.713299182613582,2.0954122895838334,2.17795852990667,1.7161508268936243,1.7346628102616042,2.2971686754345466,2.3075149357511973,2.0214428159732885,2.1186958220762624,1.794736466717947,1.8275091737164553,1.65820131691694,1.68684486080137,1.778290376893753,1.7631206166442202,1.6954863892430694,1.7302202882740334,2.1587506677429396,2.201189216598517,2.13867982769071,2.1952735347916947
Shadow Scizor,Bullet Punch,Iron Head,40,1.3648389161179073,1.3796135445673912,1.3704701295816721,1.3794298595308578,1.3646555308995902,1.3781199314330128,1.3714091515754507,1.378244869548388,1.4501764882932862,1.3790743040179456,1.3979095737189153,1.3837617240189466,1.3851956730120611,1.379102436593695,1.4255116722216399,1.4132498176022954,1.3507594318382592,1.3902896269293816,1.386226216268437,1.361092388399362,1.4065771901913375,1.3977948587942217,1.4033102141779938,1.3889692996863867,1.375356692178432,1.3478149274588402,1.4772949877486887,1.4157660184660676,1.375001943318689,1.3837577214683732,1.370620381087305,1.362259826337114,1.3842221494337652,1.412843087518693,1.358353695657998,1.346559266252485,1.4350761291726652,1.3761815375252813,1.3305328679535062,1.345557646446916,1.3938900499830669,1.3538652203224566,1.4024193487148746,1.3487301975882042,1.354612585360329,1.3690194564624372,1.3797014940322663,1.3421100292606898,1.3901117545843091,1.3486363833513877,1.3947878581886533,1.350580269003392,1.3570702215115928,1.3419049385901294,1.3549064797112444,1.3661534406025209,1.3408886933634845,1.3313341334427866,1.3857300843820857,1.3662953519884402,1.3812740280446094,1.3271427881122793,1.3349327628052063,1.3303637107840105,1.4354601239822897,1.3441179933029697
Shadow Scizor,Fury Cutter,Iron Head,40,1.6452728704289168,1.6563769633617125,1.5307114121689545,1.5262714983307515,1.5303843036469382,1.5288755908302039,1.493211044879095,1.4966279792857824,1.6148614993955488,1.480943329902354,1.5401563395587472,1.5199417240886546,1.5625409527010994,1.5637659138123363,1.6049562382248796,1.60698210260737,1.59330160979759,1.6714588108872204,1.7160813239691797,1.6834135851939884,1.674889815971637,1.6810871441581923,1.706450729870794,1.7020554251254432,1.6578500135304621,1.6534705437258561,1.8565223340921313,1.7787999059724324,1.5088003784301838,1.5323107247030596,1.4939161378912869,1.5051797844340409,1.7034870571852627,1.7744684860597746,1.6175562808494992,1.6243540922928625,1.6283596862758227,1.572149118118349,1.5242909620039717,1.5537543673486347,1.6096847505117056,1.5776465166236904,1.5824382317557253,1.5457353195782586,1.508102682527575,1.5235759165573917,1.6640778348773413,1.6496554448520722,1.3989849648600698,1.3783671564867994,1.5847790350977968,1.539924197752264,1.538440851128867,1.5386791934883683,1.553986715501422,1.588374837361593,1.5346805093755331,1.554094330504021,1.4976931372249844,1.4864483980606276,1.4973978469567113,1.4536215254657898,1.6709808801671309,1.693144487797404,1.762363584837232,1.6950580122931913
Excadrill,Metal Claw,Iron Head,40,1.3973956402278274,1.4114527846173353,1.395278697524049,1.412022055592502,1.3892402785604316,1.4127413360735424,1.4241669991034822,1.4236765216680627,1.5103359141094437,1.4423928731049802,1.4596076138602745,1.4396501354078441,1.4387933205118173,1.4113742914148157,1.3767420400195907,1.4047647579103542,1.4177889917623716,1.401507601809607,1.4263213329787294,1.414382419818091,1.3698537720274333,1.3833332374116316,1.442557743861946,1.4661483019429544,1.4757855419311723,1.4857096480126917,1.4087992910016454,1.4205432852333986,1.3866259826714837,1.4165089479323123,1.41042407810332,1.436198691204228,1.4564030595187551,1.494900348061549,1.4257977797136743,1.4531895964585237,1.428043283557103,1.4324764509499897,1.4680110847405694,1.463374509803268,1.4213364109154814,1.4440245289414848,1.4740253739398248,1.4111799549529427,1.4272605663976914,1.4533591383572568,1.4130918449250662,1.413425810497367,1.465548249925941,1.4262277896835531,1.4782751716237799,1.4426076973093898,1.3888812143532105,1.4033162298821538,1.4703560996362497,1.4906513308670097,1.456752097330499,1.4234629173478863,1.4440716678264347,1.433178702811779,1.4091469865941846,1.4147159807074745,1.4175316774547346,1.4279299066723634,1.4335613915829122,1.4449149038390883
Excadrill,Mud Shot,Iron Head,40,1.7418014420639072,1.7944660370969248,1.7448894784741074,1.792448193350094,1.5489337439517072,1.5846603617365063,1.7137740250650282,1.7429994626276792,1.8747514511287218,1.7884689877794242,1.814458987116561,1.8272322776052503,1.8284718955397417,1.827737715941851,1.520894536360346,1.5567925720318085,1.605958732222201,1.5737209158279164,1.7479981139770673,1.7620864800694496,1.8400534181833428,1.90666844503639,1.7801231485453257,1.8455267983601114,1.7820448763092673,1.813356085072479,1.7199645661812293,1.7742110323372264,1.6928711221735906,1.7755234194378513,1.7453020067302099,1.814686600675931,1.7786476381956835,1.8976122542077152,1.8687703065111094,1.9557526601660002,1.594458976462316,1.5972875679404652,1.8156135948448688,1.8358071042463664,1.695121438836161,1.757040834593425,1.8487727269030085,1.827932562694226,1.7808823051878122,1.853047663626215,1.710587847567581,1.7427261119547888,1.8028782798471945,1.7527200142794512,1.847573774108627,1.852998134885385,1.7752920446579596,1.8341942473123871,1.5548883756281238,1.5728066337332294,1.8090086850026834,1.7882150832908195,1.7415344856308,1.742531101559477,1.508494651113422,1.5173995549516748,2.1075175099853123,2.15690354306543,1.5561646888301708,1.592314157108553
