Attacker,Fast Move,Charged Move,Level,"Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Uxie, Tier 5","Uxie, Tier 5","Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Mewtwo Y, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Alakazam, Tier 3","Alakazam, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3"
Mega Houndoom,Snarl,Foul Play,40,1.0242247072515005,1.179546495811674,1.0518226302215992,1.1350728154696215,1.1597681104417474,1.1946139907915043,1.1518949213890357,1.2333617261074805,1.0557276709558827,1.1312583531784368,1.22499547283498,1.266264243860795,1.1662232481565946,1.2251930503049504,1.2136588755504283,1.2241707257394774,1.1761716472750907,1.2097516648609132,1.0759347175297442,1.175634345461242,1.1620510087979603,1.180491252905644,1.1839440098149632,1.2108404948521663,1.1961106221911904,1.2066890586837702,1.0156964336583063,1.1445150140817104,1.1403990045743235,1.2207438379861923,1.0,1.1587397382867624,1.1265097827462702,1.1647047868513905,1.2009345479738263,1.189687224104553,1.1979643377891889,1.2186606247953675,1.147441494591937,1.1917745733307525,1.173291990988174,1.22734199686437,1.110053201311509,1.133862594117201,1.1588849348694283,1.2157629096927813,1.1196780586288178,1.2075637021106065,1.1833026238838928,1.220457369589439,1.1809190836982488,1.2217931629567091,1.159991382941905,1.2068595764634495,1.1837745214569133,1.2186736482962468,1.1501984905020355,1.2136769924713724,1.222380368205629,1.2588944411789451,1.2482724007167592,1.248418837625531
Mega Houndoom,Snarl,Crunch,40,1.1291277934571524,1.332540566664553,1.1602347799370356,1.2684689890958052,1.2899892183793444,1.3345018301192912,1.2584678060662153,1.3824511673426811,1.131756650893321,1.2559801807199467,1.36009435992383,1.4268385333937796,1.2912032033450862,1.378041940693184,1.3293848554919432,1.3670884800127792,1.289078753101945,1.348316292200334,1.1840800048035351,1.312616480916815,1.269779871471757,1.3268834605516098,1.315737103100298,1.3760943364618312,1.328822282960254,1.3457762625760046,1.1099995415641217,1.2818378703479314,1.2462312084787712,1.3689306032373152,1.0995459771982607,1.3080846323552604,1.2365553891491898,1.3156859751393928,1.3214660093028021,1.3376271823323842,1.323330856873005,1.3576914088949377,1.2540729340344576,1.3208047867223034,1.3017301465403501,1.369995215549368,1.2277820243756379,1.2530844714137392,1.2782745154809947,1.345398645306792,1.2456738514224377,1.349094835718782,1.3047611276596487,1.3680658227938125,1.2880451597403808,1.3482827222221003,1.2787214797301425,1.3336927278157256,1.3088147596715822,1.3598149448964925,1.275078697421981,1.3522076712684121,1.3637365954630083,1.4110266603870407,1.386768655311416,1.3786030814944736
Mega Houndoom,Fire Fang,Foul Play,40,1.2246758242822358,1.4296983786782005,1.272024269581813,1.3772495664451625,1.4367025283289123,1.4898331017116375,1.3566085652959963,1.4895478454880218,1.301951543260588,1.3744711833793755,1.5204161743628473,1.5821794262148237,1.394930905513638,1.4735060555368136,1.6863011158494343,1.7105298251761125,1.611959602683029,1.6763225528339993,1.2897258742130706,1.4206386692975297,1.3907740750585873,1.4120610325995158,1.4034408622915835,1.4513327760098824,1.4421128733891302,1.4614786418343206,1.2371631651720194,1.3932129879036188,1.5758018711170765,1.7180384792329775,1.391070887698214,1.6466573503185264,1.3487617023556369,1.4007010227386556,1.6637629829284244,1.6736024294087457,1.4289987791070284,1.4525297715260688,1.359445188320294,1.4133425401194333,1.4370112664074668,1.5070279812392127,1.3347659576094797,1.360075999884928,1.3856274490957898,1.489512047719904,1.3698888032073708,1.4864505655970144,1.4450380175084891,1.499865585844517,1.171968169759165,1.2156206472781639,1.409927714197122,1.486786802475627,1.6550587101987753,1.7460340074499239,1.6241768317503391,1.7419771110662532,1.7086959925459642,1.7697461444294815,1.5206331777757505,1.5180762759701492
Mega Houndoom,Fire Fang,Crunch,40,1.264035113974284,1.4958840855203206,1.3015945096210366,1.4362923449416911,1.4821139511061774,1.5454992072094749,1.3828101489683224,1.541754613492746,1.268205912210977,1.412845687069573,1.5496696996642185,1.6481864646984552,1.4314235148770327,1.5423331119094734,1.613641518476972,1.6987364440744424,1.5640227449894237,1.6642871252803568,1.3236985944847632,1.4713273080568832,1.4136504006437578,1.4769619471233117,1.433597893639962,1.5310173404119958,1.495143912007541,1.5237858581837957,1.2580717159908503,1.4367946207871471,1.5227580505238725,1.7064043267509925,1.3366238818109824,1.6256447274047376,1.371545576539754,1.4675263761193182,1.6253354590016158,1.6742854914883583,1.4742869537823942,1.52993909497495,1.400530734043008,1.480583026875324,1.479919545199897,1.5636585163566248,1.3740977641620715,1.4159790673407104,1.4388544313034934,1.540475110504898,1.4066644234359666,1.5479542291683015,1.4994874172874912,1.5534534536934714,1.2732618942633673,1.327898784041821,1.436908458145606,1.5293753078831112,1.62489870996527,1.7368198413112004,1.5961958955223883,1.7331262921599933,1.6523111998815327,1.7658041449058137,1.5716655450094812,1.5581332602607045
Mega Absol,Snarl,Dark Pulse,40,1.1382683162581715,1.2533956540138815,1.1725167160685874,1.1986938391082942,1.240994536235833,1.2416830338822515,1.248612258089346,1.2731466470964685,1.06626106713722,1.1967483654439524,1.2617099691015912,1.2962453617069725,1.2482833738729278,1.2730876108133673,1.267703780750688,1.2922380985736404,1.2941270775491789,1.2624350555988888,1.0942432789734662,1.228936682641962,1.2222002835598929,1.2516912979481527,1.228760811299769,1.2688280550632187,1.234334658275218,1.2360717963254058,1.0978726987989447,1.232609790921657,1.2499944639661114,1.3151469284647423,1.134288151649057,1.2487115247588843,1.228933051280588,1.2937914294071584,1.2560121811793952,1.2388406271171415,1.268438567136209,1.2403434637766906,1.2112054208883758,1.1992144226444954,1.1825474347076632,1.2322459552624196,1.1394423178213673,1.13358472117248,1.145799984890609,1.2154386943180095,1.110535200671036,1.201375222729476,1.2026041512471184,1.23428856253713,1.2932562826791818,1.2827704038006367,1.2104749717723813,1.217317380626286,1.204302834301409,1.2168682326522684,1.164712974898236,1.2151216036545514,1.3177794002211687,1.3312203976118102,1.2260551800858581,1.2396219474632706
Mega Absol,Snarl,Payback,40,1.1570203299769886,1.2676793156586812,1.2265338542171633,1.2151101711498964,1.2483003350096105,1.2331013912270923,1.335778410142106,1.2874609016512606,1.1430704024201015,1.2022942433607609,1.2706654729567868,1.288264741810142,1.2911373950547602,1.2838117132062523,1.3052990629214751,1.3182322200404668,1.343534664721925,1.2889832170859914,1.1157762866455236,1.232486153910099,1.2669812035213566,1.2599804708550837,1.2541864255665631,1.2682108772041476,1.2399629909390346,1.234319521189347,1.1382804135558462,1.260065227972435,1.3029828852342749,1.3178058679222495,1.1813897843861938,1.257397847183026,1.2372708656191038,1.2770887167485163,1.2523426530483535,1.2575580088355773,1.2791871142105282,1.2546616990780841,1.2244733444487197,1.219575622071808,1.1936294022670941,1.234316227208827,1.1574972563321262,1.14268089201792,1.1520771259249063,1.2106583819443655,1.1162564847761514,1.1963784399012132,1.20434158903201,1.2364725621650994,1.3147388139408127,1.3084675440267788,1.241213737689078,1.2284146039403507,1.2122427542921603,1.2351925984849497,1.1748370081411126,1.2281808977915898,1.325175740245078,1.3264990932432799,1.2150184997197855,1.2333777209289454
Mega Absol,Snarl,Megahorn,40,1.2472248093679519,1.333538395461089,1.3000317741282992,1.2736121756426086,1.3230401977647022,1.290213699238039,1.4109462296088395,1.3468121575694054,1.2342243192926186,1.2683902686183826,1.3438279108859035,1.34279590426394,1.3641082709490429,1.3472768922755531,1.3923367478669728,1.3834802105607455,1.4356910719829887,1.3478864247479654,1.1841888479737597,1.290118273374982,1.364257212175998,1.3170840123223435,1.3359777847829535,1.3285515892567508,1.3086523254303328,1.2920820895118754,1.2305924998956614,1.317473912445839,1.393887953481097,1.3823717323031286,1.2563158486522363,1.3157802193410288,1.326824372034543,1.336567529061628,1.3185929903211597,1.3109635309848076,1.3646334671252354,1.322284249229064,1.2942690778504553,1.275975340566881,1.2713079890511485,1.2972881259098494,1.2256211625838662,1.1972714184465794,1.2121714449126244,1.2763608316710318,1.1818364073173477,1.263522729603774,1.266610919426409,1.2856539032130325,1.3948415154695122,1.3694962653184322,1.319563756050733,1.2944123239757936,1.2929053219110942,1.2927561573416289,1.2406591587516962,1.2820023878934115,1.4140793783107142,1.39218133322304,1.2889959434706095,1.2875641182119246
Mega Absol,Psycho Cut,Dark Pulse,40,1.4281115587019941,1.5682542930378838,1.5173997828662895,1.5249832968410633,1.5436582383720847,1.565286453682845,1.6011723830619307,1.6071692670617677,1.418205771283779,1.5137044059174984,1.6162834208314556,1.6762131601063224,1.536576894596774,1.6089674344625948,1.5246641880157097,1.5864818149435567,1.660936826422874,1.5929066244422931,1.3683287923607053,1.5582119984436498,1.5668286218681462,1.6010041262155443,1.5623088620844694,1.6477191328802716,1.5977097506675704,1.618500041187488,1.3768179526851223,1.5389905862776196,1.5533333707600414,1.6511463751467377,1.4244961205939914,1.5434289672861392,1.5159277640999937,1.5872702996312351,1.5427540997910214,1.5511702822611741,1.5809314918870805,1.5898039988117807,1.5289089991877218,1.500423573831712,1.4779004563465812,1.5649882817529446,1.4620224675775162,1.4918952634758573,1.4743156177703838,1.6006560692790506,1.4319449626226373,1.582538833521938,1.5472797734014834,1.6120699654346593,1.649807141535718,1.6261024063060852,1.5305415689857944,1.5748908508694206,1.5450489547093729,1.609060567990997,1.4953775440976933,1.597792702546269,1.6586698656699708,1.6940066010768757,1.6314550393998184,1.6089775398578932
Mega Absol,Psycho Cut,Payback,40,1.6787272944950427,1.7778378562342418,1.8960030470682014,1.7996290644890047,1.8037938886608802,1.7589963864211862,2.167047986375058,1.909890227373665,1.9503874917661215,1.8093685391478929,1.8877125838946611,1.9407442330245233,1.874340138304278,1.8625787880579503,1.8414379238756864,1.8412518997504106,2.046098697127337,1.8930198952048825,1.647243155746888,1.8138604642033693,1.8877639289971824,1.906396261471764,1.8630845600671517,1.9390218317105574,1.8745987483864517,1.8936322228698301,1.641342737213257,1.8248960068829487,1.9687993808374944,1.9598546097019194,1.7372251504851135,1.8009546481400251,1.8428286648015464,1.871236568644273,1.7947637715184794,1.7732962726002302,1.8623106970674337,1.8243788117829132,1.781175836860331,1.7314066920751667,1.6842139616676455,1.7885708899781974,1.7345204859703542,1.7461717280951123,1.6927969341384819,1.7849544889376505,1.6799437982765681,1.8371315109858388,1.778899152067343,1.8520551403223924,1.9606234501823867,1.856260652204293,1.8324262617080018,1.7892002110295533,1.806226652383491,1.903566169646191,1.7827500000000003,1.8897905646740256,1.9878565362918807,2.009903793978289,1.860981006081937,1.903456628412621
Mega Absol,Psycho Cut,Megahorn,40,1.8460996357259685,1.9284455583843116,2.1416273491871696,1.9424542366779478,1.970206329801982,1.8923597682451336,2.4239780250047183,2.069376219910945,2.157976736401313,1.9717989589384028,2.0622519702303372,2.0810676651720246,2.0653344706355816,2.0032087331425146,2.0180456004755976,1.9758582348973037,2.2928010310406677,2.041839111657784,1.8136842905778952,1.949474443183406,2.1449083378617027,2.057389110973481,2.073792761353977,2.1062105383560765,2.054719726628668,2.0401017275913618,1.856847234693307,1.9687929917248896,2.1876547847784957,2.1123198836377974,1.9564479710677605,1.9287706867694994,2.040396301888743,2.0108637570523977,1.9531728302037108,1.8944670048516257,2.0480177186106685,1.97968079225658,1.9354286691462528,1.8855692433807916,1.8452235006775661,1.9230968905762884,1.9089504487681626,1.8908268256579381,1.8194376379671302,1.9166599042228907,1.831489111946059,1.9754476485005217,1.9391967014578726,1.9971255384823872,2.1584211418421297,2.023421904360724,1.9753262325799184,1.9215370137224514,1.9718221292283753,2.05026721615847,1.9555344301221167,2.0410498941756714,2.1845731389234846,2.1681230808515894,1.9956296079244866,1.9868663092531211
