Attacker,Fast Move,Charged Move,Level,"Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Poison), Tier 5","Arceus (Poison), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Garbodor, Tier 3","Garbodor, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Nidorino, Tier 3","Nidorino, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Seviper, Tier 3","Seviper, Tier 3","Toxicroak, Tier 3","Toxicroak, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Vileplume, Tier 3","Vileplume, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
Mewtwo,Psycho Cut,Psystrike,40,1.18805230145349,1.1809668082188074,1.1926468497495295,1.1807846560860846,1.1918028727272254,1.1762062443669428,1.1939014363754283,1.1855840299867808,1.146139607996486,1.1968734439947772,1.1224083423876323,1.1855504058442115,1.1763935160469663,1.1772534636111318,1.125236454318539,1.1950880825790793,1.164717527006718,1.1734464025524187,1.2095409710154676,1.2501435225879078,1.2018974679268326,1.2542799339685053,1.2542545206011488,1.2076803009910078,1.1920614098979057,1.2155867124333595,1.2217073190061134,1.2259177208884435,1.2043536616516226,1.2318834775815777,1.1644958335405158,1.2010786391091328,1.234600682049215,1.215249212371045,1.231304047047803,1.232973370357074,1.2040684202780538,1.2277175291390279,1.2217112033100332,1.256769749462818,1.2140028314642435,1.2213419189086892,1.2317658209774827,1.2292770118972525,1.2172379485971099,1.2297252168265855,1.2348373236882013,1.2171552002449602,1.2279752031704378,1.2052868571362483,1.2049031268034436,1.2037757573156842,1.226430896522191,1.2454415968988237,1.2046692735140367,1.2133065013551352,1.24424859941717,1.2314355038866764,1.2340829632987023,1.232660098869656,1.184148905489436,1.2396378520138367,1.1687570197223769,1.1961564387109223,1.2036266931804362,1.2359638489262532,1.1792600133096813,1.2504304174452303
Mewtwo,Confusion,Psychic,40,1.252573913442997,1.2783155966448632,1.2556263580239717,1.2812746073436914,1.2697945546396572,1.2634980531471713,1.2821063590668067,1.279821179592755,1.2317643869985622,1.2813979044314918,1.216177972614221,1.288493539629756,1.2693520246850047,1.2754555239697336,1.215844120255924,1.2944662240441163,1.241939015845989,1.2654380375252492,1.2791362136010842,1.297005703593661,1.2643913846233503,1.2944369044956232,1.3007314404743135,1.2684163441545282,1.2615231985436584,1.2714454802586475,1.2656740797916397,1.3000744274428908,1.2636939717496836,1.290334250352283,1.2360020646383165,1.2812953868503525,1.2700009999658044,1.2588131095973558,1.259183581353948,1.3053074416131472,1.290866073001627,1.2991078200589865,1.287238880865153,1.298483042775181,1.2796093753501427,1.2890651895797651,1.296623364663642,1.2864366124644315,1.2820974980810165,1.2936159351080248,1.2866650534206974,1.2900189511311102,1.2625758892029701,1.2497404188573622,1.252599001095352,1.2767971889707703,1.302473587989282,1.3058424162409792,1.272853337441877,1.290646521342845,1.2896238951654473,1.2836579589937163,1.2887885998644977,1.26430621736912,1.265704487070455,1.2971795373835449,1.238164470177583,1.2688931791210545,1.2434309818564848,1.2982449784253776,1.243534215715905,1.2953676651114931
Mewtwo,Psycho Cut,Psychic,40,1.300386305135994,1.2857492990953971,1.304446079344231,1.2848466983130258,1.2952654155830459,1.273471196860086,1.3056396135986708,1.29066586557767,1.2475340219458695,1.2958640491637148,1.2268750137653408,1.2845593617910247,1.3006372906293622,1.282999363947565,1.2227170937728091,1.3090264789075723,1.2707661492852353,1.2744491204290043,1.309703731689322,1.3479777857924873,1.3037163476630032,1.353595178593472,1.3588459276158615,1.3131701986793536,1.2931170814517334,1.3104961809150018,1.335937160521278,1.3327501303725573,1.3046534982981002,1.329687728977506,1.2773643562988408,1.3088296022594277,1.339317049261528,1.311262481210159,1.338703723432306,1.3411258332559153,1.3215713489375605,1.324700513065977,1.3263224286072743,1.3571658064373213,1.3289682905156768,1.3199561375619249,1.3350528120482352,1.3307500607611311,1.3325338899701236,1.3285256477701974,1.3425627553247002,1.3137982739626635,1.3345754248559678,1.3094769373397068,1.301621419354612,1.3069654343180328,1.3299974485944557,1.350200472854778,1.3077710572903665,1.3140774674219482,1.3504703700680434,1.3322243898424466,1.3425979204879972,1.3347366493391424,1.2890320811162885,1.3459675295580449,1.2653403154058989,1.2991553641855529,1.3029083316362307,1.340816092189584,1.290894964791083,1.358379372082273
Hoopa (Unbound),Confusion,Psychic,40,1.2520443750039292,1.2401594029380172,1.2528850739656696,1.2378342613892457,1.3179353159815708,1.2927042218439722,1.2919653903018786,1.2700320757029102,1.2439122186805007,1.26982807885028,1.311604035747113,1.3741587934513326,1.3506223484444737,1.2950519818894675,1.1311667297827657,1.259482986087925,1.2772736129211526,1.2582286285103803,1.2506820584716054,1.2642915801285306,1.2285170580185967,1.265440569295141,1.3193862498633486,1.2552371827662894,1.2754557494361152,1.2605285623846905,1.2695725534392313,1.2678361338908415,1.2583625794597157,1.2648456931703305,1.2326803819316865,1.2368140867137918,1.2754947240146193,1.2442696500309367,1.331105400567262,1.278950288952307,1.2476876805856543,1.2499212957505659,1.2703551368935153,1.2662736636909377,1.2997113744423912,1.2698239314008781,1.266909883845087,1.2517660434522437,1.3422359860898385,1.3034121098521796,1.2832638496545137,1.2509830025594344,1.2353775473778241,1.253813153014162,1.2951645970343812,1.28045475615562,1.2672285371411705,1.2654549437033231,1.2742409901903622,1.253399210434901,1.272014188926477,1.243120078486729,1.2630425994254135,1.245241837292043,1.2577304791757868,1.295461178331999,1.2461581115699725,1.251889163076111,1.2731293569652071,1.2686236431993365,1.2863419267163494,1.2845603286152276
Hoopa (Unbound),Astonish,Psychic,40,1.499326076704169,1.5016006457585276,1.5061941264458354,1.499839715707763,1.5964118690802824,1.5763160530899487,1.5523357862158056,1.5495256778421445,1.5219423625545325,1.530950752384511,1.520598264890995,1.6420670852145922,1.6850693079334889,1.577219941615471,1.271405830818509,1.4137577124526652,1.695115120332741,1.6519286700957219,1.5167507501977966,1.5212011045321847,1.483224520511219,1.532211616663693,1.5830341051299197,1.546950798681193,1.5215967439872116,1.487055187269446,1.5352586853096075,1.5770843348411585,1.5346354295111762,1.5658659301055307,1.3964087966265253,1.3882950779004988,1.5455717576497383,1.530498743421717,1.5921376358257282,1.580057809135085,1.3874672948922144,1.3951234918491688,1.5093637354722866,1.5309588817756905,1.5547339368024577,1.5183176046164228,1.5291530876116524,1.526255931985433,1.5720710270631664,1.5516723622373403,1.5744155739693049,1.5501233121544848,1.5267874549738718,1.5404079917055782,1.6047426889437981,1.554392900475641,1.4843378191620795,1.5260404098877076,1.532699312142383,1.500748669783873,1.53903167896608,1.5334789839366427,1.5125230460164918,1.5086917246559886,1.5930519043354683,1.5996943587784143,1.5243048074843721,1.511181344718187,1.527771061147586,1.5365425672312694,1.567874887560473,1.5504394955084015
Shadow Metagross,Zen Headbutt,Psychic,40,1.2651757297369295,1.2501944352230667,1.267864902152779,1.2504749222717395,1.3404077020575873,1.2960709514437856,1.421196681461704,1.3175384081748804,1.220264779925722,1.2572682802075665,1.1983516966170724,1.251148994325522,1.3799066049005817,1.3560994152042263,1.393799692375444,1.292609789604097,1.2822562459970566,1.2852281167393305,1.3209331087976446,1.3180610991001906,1.2969954019560666,1.3354909648501065,1.314528593682245,1.289434752968268,1.3505495556996412,1.3307738769500372,1.3385025785616846,1.3302330582665132,1.2956519579620047,1.3128554892124946,1.2598125544266732,1.3001770163701438,1.3258896327897596,1.2913571633787102,1.3664747780063653,1.338374437279446,1.3059021540195617,1.3248797110922983,1.3135726537867705,1.3159790000664555,1.3376707045765621,1.3342404075306669,1.3163749211650082,1.313901052760089,1.3415922387189796,1.334501647364436,1.3434556327420697,1.319264720076417,1.3543369916099142,1.3108643934110296,1.3120480575731677,1.3251311307157028,1.341918217180088,1.3285270796313202,1.3260339254752145,1.3131307682257403,1.3447355727169117,1.3162394807786202,1.3223693016437328,1.2810513472965066,1.309520666028132,1.3034385083987394,1.263650713129382,1.3014568281908474,1.2395652791851937,1.3142317330417104,1.2825498520787582,1.3149558514779123
Shadow Metagross,Bullet Punch,Psychic,40,1.3978797781473065,1.3835742941618803,1.3955426247703573,1.3855915076264134,1.566167298040336,1.555117483986576,1.3618770008128893,1.290849714376251,1.319580936682672,1.3686691026117932,1.3184181240070352,1.390607816111511,1.6259376770641327,1.5830417803224337,1.4584574571690452,1.410162317265845,1.4107984978915036,1.4249335360224347,1.4437055781851984,1.4343812922769803,1.4165065570232376,1.4480509960801404,1.4390816061844898,1.4377381485436307,1.6101238166510046,1.5786869240780026,1.5913808497253814,1.5538923050532334,1.4426991989845965,1.4780076141781493,1.3826521757688377,1.421108097810095,1.4343618301135819,1.433257700035202,1.4968256532530015,1.4488865275724319,1.4387171489516881,1.4540170720352252,1.448186850303028,1.4327237445451122,1.4858755253174516,1.4654422442571953,1.467682503521419,1.4616794175574805,1.493494035349963,1.4830862528927096,1.4617477972357689,1.453725757762342,1.616543178198053,1.5623009199436995,1.4353745497155337,1.4545159696560133,1.4873436840021719,1.503251433216935,1.598630772971703,1.5841264675543312,1.474870623300739,1.4339936379931981,1.4723461671022098,1.425413686978409,1.5915714326260966,1.6633808178468361,1.3665532242171674,1.4283820862696612,1.3547021846172969,1.4526522537882904,1.2536060154877595,1.2790594131698358
Shadow Metagross,Splash,Psychic,40,1.7176088951177237,1.7541112161421222,1.7208262557367255,1.7554267907454533,1.8043729801567376,1.8121853154118777,1.9790443642989168,1.8438318481724254,1.6545504504338278,1.74935278766634,1.62066946625002,1.753434976766268,1.9781612121500658,1.8561010766217152,2.6864025972255563,1.8398666945871986,1.7744289165656426,1.821326780644579,1.8025057914332434,1.8148070177831606,1.7357699240480111,1.8011398008691217,1.847635443794981,1.8592080449232788,1.8931191760853774,1.8608360610936383,1.8590131082056862,1.9034736929134815,1.7698564616673405,1.8032280874777662,1.7108603407709302,1.825821581809257,1.8175140124741849,1.8393126619750488,1.9076682161527814,1.9411993201369344,1.7837724701455995,1.8639832208731766,1.8157279332277212,1.8537270451675787,1.8139756740212087,1.8344077400722554,1.8293879707924225,1.8255532330392088,1.8467888455090435,1.889387191363495,1.8499856920446753,1.8729210502667601,1.8177883057692619,1.7779638094504733,1.7838859428677842,1.7979718611867082,1.862156435903208,1.8594100688341284,1.840509396676255,1.8682001341573846,1.818994138185356,1.8043700956322388,1.8422469187387425,1.8253773103807607,1.760429737613485,1.844335214307523,1.7145457742396655,1.8016840909986804,1.7457965687556312,1.8522209158136078,1.782204959758674,1.8761931612871592
Shadow Exeggutor,Confusion,Psychic,40,1.42492619040247,1.385250481701111,1.430378593555079,1.3839150275556298,1.409887191250587,1.3976397737859556,1.4233485286875132,1.383543294245286,1.3007205409025682,1.4038382888197118,1.7428426817324763,1.6908204460958893,1.5439686867601021,1.5221988172716634,1.6745139155402617,1.5070769472139867,1.4995503803008012,1.3941393695813635,1.4025459668212865,1.3830197633913295,1.3979509815806905,1.4119211983683737,1.481799140662127,1.3852413410310203,1.4631718180372713,1.4511235013467307,1.4243714265250105,1.3956021563174408,1.4127744105965512,1.3877016058669798,1.497026471989872,1.4351846911323696,1.4232926490596696,1.3800362412277305,1.397735481793323,1.3768755990175763,1.4461611464983908,1.448840928114801,1.3955530474821747,1.3665603969607691,1.372071666739816,1.364357593735404,1.3762662951797973,1.3681913918884885,1.4194762235664893,1.3834292627303846,1.3679131138256877,1.3669342368458715,1.394599757079405,1.3692302260650056,1.436214729363774,1.4009490785508907,1.3741927119769737,1.3988539680266407,1.3520567073100809,1.3563049018007751,1.411530014016623,1.3610672520284042,1.4253019293735496,1.3677285359747262,1.4003480317561368,1.4395441314575526,1.3358011031655057,1.3830495681387307,1.369387383851006,1.4071731822380287,1.4268947451167324,1.3853494805606867
Shadow Exeggutor,Extrasensory,Psychic,40,1.4435486349006668,1.3934837878593482,1.4466363055882123,1.3941218141091647,1.4349290043725884,1.4003352180326891,1.4362712154245498,1.3842069658845748,1.319112531684237,1.4057975781989278,1.710077130978952,1.5896991689644269,1.543378201330893,1.53335596982464,1.700928927267379,1.5030285781339447,1.52776884598164,1.3946431895641618,1.4174593295835487,1.3898946056769554,1.4165948287128438,1.4090108992253847,1.5232175511990067,1.4078294229683632,1.4898681618542458,1.4665232510863226,1.4492065440694128,1.404146797782029,1.442475127698155,1.405685559332599,1.5187982414491543,1.4385291695197002,1.4439438858567533,1.3880376983290403,1.415347435293238,1.4037668489376294,1.4403923614293366,1.4354212284768881,1.4107568602940674,1.3900120062911192,1.4248292192122072,1.3913161253653967,1.38813874542567,1.373373172049382,1.4332621342443146,1.401946899836589,1.3931947286171196,1.373957404886556,1.4175210600767396,1.3736929064155008,1.471032314196445,1.4204159636840217,1.4094375743440057,1.4070678189768935,1.3795076784778473,1.3869303933617299,1.4266604413971717,1.378487330491069,1.4477421100590402,1.3849575991334901,1.3989184346554375,1.4474633682573597,1.3439319925897086,1.3883284554530286,1.372217802577012,1.3999994438866719,1.4426829417123541,1.40019833169715
Shadow Exeggutor,Zen Headbutt,Psychic,40,1.4889494029047239,1.4481129801261254,1.4955484317270915,1.4450230047161663,1.4761873744318836,1.4494938001649706,1.4784961407513464,1.4342671214648608,1.376461445715141,1.4607524360143516,1.7902964784452404,1.6338656429600042,1.610014508550705,1.5702900533562292,1.7635116588412714,1.549655002064866,1.58434895572065,1.442293743961764,1.4746156350542095,1.4473267889975243,1.4656453603966797,1.4669143569454102,1.5629067754145844,1.4685662040202954,1.5602152426490261,1.5287799469512973,1.4896988370940256,1.445463304104382,1.5060674752195573,1.4610071524465125,1.58180403273323,1.4890680998254417,1.5042637142978532,1.4425856243130004,1.4729590787642188,1.4525535480280796,1.5113009960786394,1.5083075847797174,1.4641067484080783,1.4411783000686706,1.4788071607951179,1.4495995333232945,1.4563277903283816,1.4451253792436975,1.4943752629703513,1.452015090055214,1.430916412958884,1.4535894320984368,1.4813066807568687,1.4336054363588302,1.5457825441149216,1.4613508845002698,1.4606316114057942,1.4853544094099185,1.4332583661345455,1.4380176961661726,1.4756420310347813,1.4261209012305545,1.5059788625831838,1.456576121211803,1.460235149444266,1.4871233290015755,1.408255864138045,1.440316844720774,1.4270238642383435,1.4562165282854171,1.5044076653426381,1.4546093288380044
