Attacker,Fast Move,Charged Move,Level,"Tapu Koko, Tier 5","Tapu Koko, Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Wigglytuff, Tier 3","Wigglytuff, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togetic, Tier 3","Togetic, Tier 3"
Mega Gengar,Shadow Claw,Sludge Wave,40,1.2726188231774007,1.2590218334946768,1.268227847445823,1.2392960475566712,1.270089680300863,1.2411139042784272,1.2872925151717658,1.254688626637325,1.3295570135558368,1.2921198061599637,1.3131505227054727,1.276661877054273,1.6622114641648356,1.689280827732682,1.1378207557779547,1.160277646235727,1.7331152184638607,1.7494318394883328,1.2879367470765828,1.282455048239431,1.2588021286722855,1.2430713419348145,1.1809788945692898,1.1428222888768254,1.2906408337699118,1.278446396530894,1.1330548663999533,1.1237579180928905,1.2431711795652056,1.247647873336556,1.2686602091712158,1.2442826566847256,1.1752841324957966,1.1335723537622469,1.2621905907517914,1.2335111612082235,1.28505662988689,1.2660534752888513
Mega Gengar,Hex,Sludge Wave,40,1.3845915864054348,1.3447619216186142,1.3827140303896703,1.3421650345533576,1.3915735287197952,1.3629438898787005,1.3595363069317357,1.3139604522151147,1.3283635531625333,1.2972316336936878,1.3355382210467803,1.337180998576454,1.5261294655043565,1.5299859883090754,,,1.4637865964190746,1.4948381821741492,1.2992716100423138,1.27827936772115,1.288964427416353,1.2701140477751887,,,1.3105448651035791,1.292858458568694,,,1.263946021157387,1.2598213371826477,1.3059212507074573,1.2827408590606095,,,1.2981887776660264,1.2707512686642564,1.282091401464655,1.2650448307761766
Shadow Nidoking,Poison Jab,Sludge Wave,40,1.3593258201751395,1.366134121910156,1.6532803911804885,1.4471935843158816,1.6485754231777636,1.4497076788927519,1.6226233136095727,1.4141535607977374,1.6105481169807505,1.457750325005529,1.493277661698428,1.4533501009581018,1.4208408289813825,1.3930985103475733,1.5516391783472594,1.639997222350438,1.3827204625026035,1.371344129109789,1.46365406571289,1.3873213079448925,1.4306502024247536,1.3620834203325651,1.645556933040338,1.6063457081900703,1.4380696084010076,1.3838834406910758,1.593412688060326,1.5745138488296515,1.5306134725323197,1.4413672882303357,1.4858551175192733,1.3862460303085125,1.6904788574131067,1.6402483413925475,1.482786718705432,1.36683643141341,1.4119002262743314,1.389476607880833
Shadow Muk,Poison Jab,Gunk Shot,40,1.338218193385148,1.32765571916831,1.3315108362553063,1.311316131861422,1.3307685935462492,1.319606259554518,1.3436477556194661,1.3282001823811864,1.4185549156994537,1.3924597325426884,1.3419978723489128,1.336920466356158,1.3161161840364328,1.2855668788363819,1.3555197291060639,1.5646651453389266,1.304124578240963,1.3458224177911418,1.3395049574508155,1.3296162721039262,1.332267926399554,1.3314224172740297,1.5041209626649217,1.514972534552086,1.3026332233901083,1.3379974227830864,1.543072552227188,1.5508232835456706,1.2961411093379458,1.3154573398568514,1.3390199781297758,1.333339510187577,1.579894910832446,1.5281102322617133,1.3286183132450557,1.3278380144931758,1.3056612478412357,1.3027989689732964
Shadow Muk,Acid,Gunk Shot,40,1.411839861956975,1.3948789977027274,1.3620443685388295,1.3424438801669698,1.3655549468079935,1.3487776651142769,1.3671922502703637,1.338718695688694,1.4395001990883536,1.4148825335087107,1.3724869336886119,1.3614319945709765,1.34039611703056,1.3136163793702826,1.4024144886736323,1.5860430171333078,1.3433276021434504,1.369698513015367,1.3783778013017813,1.377807683759463,1.344770799437518,1.3400687078856373,1.6032817140632867,1.6038372620903365,1.3292619629667446,1.3663435744902066,1.6021541122882506,1.585018235037918,1.3041350047206397,1.3225493975031388,1.3702229787681115,1.3598916632219173,1.6260317341786932,1.5585696437855512,1.3442587606189011,1.3373947118689453,1.369758763269304,1.3731307477009196
Shadow Muk,Poison Jab,Sludge Wave,40,1.4638995702132667,1.4539381865523866,1.453114695244613,1.4220134234591095,1.4490099364634428,1.4332775685983896,1.4537422105515956,1.444750999519868,1.5538655232457939,1.517337532899235,1.4632954436264611,1.4422720320677092,1.4318311364744947,1.402455632084979,1.4791192237487794,1.7090503682841953,1.4135920913999556,1.446535708866356,1.4521639835570648,1.4310548701388723,1.4518266790456145,1.4462446088347545,1.657504972350455,1.647955421999455,1.4322772435334694,1.447699437500912,1.6718432977806026,1.6616576815900503,1.4145587440868104,1.4275886050152695,1.4702563415476837,1.4589721132123508,1.7308063513398988,1.6634830858221286,1.455903619420679,1.437188118099982,1.4208287006270188,1.4137967543609862
Shadow Muk,Acid,Sludge Wave,40,1.5611484993776157,1.545830147366759,1.504050100582611,1.4672290811460613,1.5076957677535434,1.4752435195683187,1.4973621298884896,1.480965051605574,1.5930320264817224,1.5587254169807312,1.513461111897391,1.4885874445666067,1.4775909490609185,1.4399111068174615,1.5503933751991346,1.7481018797646182,1.4767392328861275,1.5066166935412837,1.5267563676649738,1.5048494835110038,1.4869308443926441,1.4817398648275244,1.781369685195354,1.7632118541360813,1.4895164599610577,1.5055002124014856,1.7617979951291598,1.7574089500428738,1.4382318695220135,1.4548131328503835,1.515037211095164,1.4981395640591515,1.7949198111334541,1.7218562744606274,1.488357396930602,1.4658057249966063,1.5127487070500607,1.5058910753041959
Shadow Muk,Lick,Gunk Shot,40,1.6745531103981086,1.6698384561385777,1.7059231982077223,1.6580647822892884,1.7086207859105935,1.6657722713183627,1.6220687802024059,1.5761451238010022,1.736672906749392,1.6759939880500954,1.7251136193855485,1.741445037605226,1.8117359846298193,1.8169583359863695,1.4863109035793296,1.6310979463303656,1.8679334401117362,1.9261381251400778,1.7191131283066836,1.7344078261384481,1.6128122109995275,1.6277109632927214,1.6214813421423955,1.6263031004060486,1.5965053618446985,1.6669925330129496,1.6801338749136772,1.6772733391150294,1.629870095676588,1.6558247763007914,1.618253799382118,1.6051087974646936,1.7353960016096446,1.6749667028868735,1.6524867733170399,1.657758485499696,1.6462328421007248,1.6634342572933927
Shadow Muk,Infestation,Gunk Shot,40,1.8679776493468958,1.8973644155194034,1.8812259600655536,,1.5382537627438062,1.5537769218310062,1.534288918690652,1.502782865809234,1.9310959962440644,1.9017682458028793,1.9027583977915814,1.967632989878709,1.818161638242871,1.8278516114725338,1.8758452428001238,2.0555503814355576,1.8168223498725675,1.8945854314139128,1.8888527609889303,1.879745998969462,1.4626366917563567,1.4806259684331522,1.940829805355939,1.9903291502237632,1.8650125023186643,1.9019164057172089,1.9241167414229268,1.958525390403977,1.4543518629800247,1.4829899820077,1.5273477693950146,1.5102262117767125,1.9657348981733853,1.9242781653762915,1.4795899536218153,1.4684777144642291,,
Shadow Muk,Lick,Sludge Wave,40,1.924440325876822,1.9095740156243897,,1.8840029632812492,,1.9065637459701843,1.83436435799161,1.7858412068284746,2.0036323224399317,1.9069601576681297,1.9966931986006118,1.9870203693894002,,,1.6782702593876837,1.8362772086075203,,,,,1.8540670152317764,1.8562978625562665,1.8252392586803883,1.8175830714453471,1.8652750059781817,1.8961221247406117,1.8585455854880584,1.8495139005526966,1.8721336981813765,1.890324806689472,1.816375201060344,1.8210572741439124,1.9814344149836813,1.8899807584389254,1.9093628749276492,1.8919548059859508,1.8745124241855733,1.8868147206062225
Shadow Muk,Poison Jab,Acid Spray,40,1.9762234251925617,1.981843061746434,1.914997121896114,1.9191626433627766,1.9126335133511414,1.930032682276355,,,2.155868946376889,2.10557005372551,1.9715309398327359,1.959671752295421,1.9024482893514063,1.905034657802232,2.0334513362417606,2.3364970973357386,1.9051163024543378,1.9715008964988578,1.978539291788537,1.968640936695931,,,2.2401447294078163,2.2283540822275296,1.9539353639890518,1.9927381174483578,,,,1.9581436894205937,,,,2.2799783724969767,,,1.9214457422443714,1.928822861999112
Shadow Skuntank,Poison Jab,Sludge Bomb,40,1.331603341268677,1.3552397027803949,1.2786151271759458,1.3064888739142555,1.276156109254904,1.3128417161634158,1.2917551415566053,1.3018958651526635,1.4592590941777055,1.3818012096967338,1.3647509845902581,1.373978997370491,1.31538302761531,1.3264959556748994,1.241340061503394,1.4625199995373994,1.316277896041888,1.3007402656183094,1.3379031101217624,1.3411000057990703,1.308593233927728,1.2958253890462585,1.5073783424968896,1.48230246218428,1.3422009849048253,1.3286273026431263,1.4722190036929776,1.5276177550355206,1.3239202930513672,1.3243153038984214,1.331470461715442,1.309043039415999,1.3920950508170014,1.4295322507569772,1.3088308490037264,1.2951619371590475,1.3307086465552889,1.3203847612246613
Shadow Skuntank,Bite,Sludge Bomb,40,1.6875329892909174,1.7639409387151517,1.6621344657039618,1.7282261903037168,1.5262863247455196,1.5937045016341138,1.5324354283585275,1.5707684992352031,2.0612905679663864,1.9576179336015644,1.7979947325260635,1.8655254608907046,1.717104267074788,1.7802021650239799,1.5207733201239508,1.8110692712436203,1.781307959926607,1.8663200727664053,1.8156825451239105,1.8716699844404732,1.6196690441244337,1.6488876266005692,1.7648975330885968,1.7910143127712557,1.8572133910868371,1.8810908048892179,1.8590271071002562,1.9671725431255778,1.631586748259806,1.6636377855175497,1.6062992224991433,1.6050534499566824,1.6699901145538305,1.7525890085670137,1.5485424617918984,1.5744447288836436,1.8640921400146384,1.9297038380219869
Gengar,Lick,Sludge Bomb,40,1.3495656089274797,1.3644460278291572,1.3836111185424973,1.3307045814250393,1.3790010564336517,1.3464281799766142,1.308606192495019,1.301610762580885,1.371526680810854,1.3414054782785894,1.3993724494682866,1.385818108994936,1.4845268474721394,1.5086355873529578,1.4583735731422032,1.4249836580252835,1.5028425744166092,1.564514369926126,1.3446899588632366,1.3476041836225332,1.3144079309722845,1.3321470241037705,1.4611988168139423,1.405332700872432,1.3449141231522663,1.3238797251441943,1.378250628697491,1.3617779674498414,1.3542737896701005,1.3471788115201102,1.3485883758096378,1.3030344434053824,1.426870159879905,1.3849345348096145,1.3483929623111255,1.3247582146281776,1.341422784580525,1.3315931634726184
Gengar,Shadow Claw,Sludge Bomb,40,1.3946273027142362,1.4001097371774804,1.4873018229141945,1.3898099574165248,1.490043407457453,1.3957059970756795,1.3769430395957418,1.3700461947535874,1.4091543202172736,1.3846018416960666,1.4098850796763374,1.3829677322260292,1.7055208804142072,1.7216135638584003,1.429672424698312,1.3940055988981919,1.6979553353933943,1.7642447825597831,1.420199037346767,1.4047354876077889,1.3477443711078254,1.3542171729923878,1.429254800937175,1.3566383550914078,1.376541057889748,1.3785710961218287,1.3498086827425426,1.3290701945670491,1.3817033703633035,1.3833958206943124,1.442369919737926,1.3882757102468966,1.3853134747284022,1.3678003620470742,1.393723440998786,1.3760141411048459,1.3730543627914569,1.3680250409061467
Gengar,Hex,Sludge Bomb,40,1.3751126320116314,1.3974960849946114,1.414878286842103,1.3938462620288334,1.4190233412395963,1.4035296858463333,1.355528205858418,1.3503690703261422,1.3748612027313734,1.3605966648036378,1.4020926800127989,1.4050733063514522,1.482569961246381,1.5136422784934267,1.5906710926864394,1.5411346463066522,1.4860621311075985,1.503582370847043,1.374147581817433,1.3500855734611448,1.3404405204225494,1.3484320171374684,1.5285167122362022,1.4891665866832002,1.3625164406325305,1.3644574808513255,1.4115768490992653,1.3801636291446382,1.3488154725471877,1.3435367556898066,1.3917113052181593,1.35209878835623,1.4930314420009376,1.4614336169049071,1.3362839293615771,1.335549934265619,1.32929029240112,1.3293446606597212
Gengar,Sucker Punch,Sludge Bomb,40,1.5260185829383817,1.5530958687108323,1.5931494223511735,1.5540353593729406,1.444956890608063,1.4120851203564209,1.4255407627204062,1.4263201173493723,1.5445708308818722,1.5277190950157389,1.5915225489964904,1.5854846277529573,1.4960463253424505,1.5139202069148738,1.7648441082846018,1.6684826122105432,1.4747405909129332,1.4946464061994467,1.5745006135204007,1.58179387549947,1.3877278598114322,1.375847935687297,1.7456721870596754,1.7197326875401397,1.545200650855257,1.5331805830726468,,,1.4187066964938408,1.4126715538838996,1.4856022421799697,1.4370307603000356,,,1.4082529074837518,1.39677191812366,1.5107604124417766,1.520434778118273
Gengar,Shadow Claw,Sludge Wave,40,1.7310287429863715,1.69602743615748,1.9315274489988772,1.7381531913224553,1.945887689429668,1.7548675735462156,1.7167216406714345,1.6427433026774254,1.711360040887399,1.6590613420463847,1.7119542251556545,1.675419205549421,2.2726147617278922,2.2611240896426192,1.6827304288452998,1.6027380828957474,2.248343571941995,2.280050371375524,1.7034748868591876,1.6547442911738588,1.6248225653981865,1.5961454935871577,1.7107634879040066,1.562147461942015,1.7197916121681476,1.6731059092578253,1.5404648279088013,1.4947895771731972,1.668097055609384,1.6590773434105541,1.7467552671069118,1.6331436668288386,1.6103734067274371,1.591180035739725,1.6723672946919839,1.6443427522653724,1.6660118988816408,1.6441997370793382
Gengar,Lick,Sludge Wave,40,1.7982368140878255,1.7325197636668288,1.9501427832947429,1.6845537463104745,2.0070402816835258,1.7050564562472403,1.6833767702176727,1.5859097323851958,1.7763231649699582,1.671658821958903,1.8628650156407955,1.7590892151903574,1.971987206308576,1.9681857494992165,,,2.0089082801513167,2.052612840689188,1.6698210675843481,1.629427579276484,1.6521720770269774,1.616209552390782,,,1.67410897261593,1.6331110447589292,1.6408755671776807,1.6078627993878751,1.7090609953735254,1.6691470331537446,1.685823207725076,1.5916007497742417,1.7052042014331528,1.651904437939209,1.689395458818418,1.6457127608997895,1.6794371733112379,1.67365909724671
Gengar,Hex,Sludge Wave,40,1.8435413613447578,1.83153945924281,,1.879353489841415,2.1294925634589226,1.8844502920992314,1.811797238910102,1.7173572618987964,1.8504745434339471,1.7639224667690614,1.9491406663762008,1.8580946937823228,2.0495831990829205,2.0473684533127825,,,2.0726232182804334,2.1003268231062986,1.7580570529834452,1.7074071971623563,1.752442610124073,1.7085610373453,,,1.7663280261515981,1.7527678260461412,,,1.7559762245785497,1.7168592485594727,1.7707075913037147,1.6806905676017174,,,1.7081772096819303,1.650457506333249,1.7372490739930027,1.6994779947799479
Mega Venusaur,Vine Whip,Sludge Bomb,40,1.3567115432379397,1.3823957533202802,1.3493784244905496,1.391714570573338,1.5145346294064985,1.5889994963423806,1.506773591118989,1.5639480279023543,1.476648481282723,1.4601173070185074,1.5491568542574157,1.597560681860846,1.3951141147154862,1.4370399726572591,1.3555711495624276,1.6113898369753052,1.3721503122411918,1.4512605325534607,1.2347526571171308,1.2375070225167493,1.6348226981159508,1.648998729153307,1.583971344068778,1.6270434746916367,1.4176683178221061,1.464767977507925,1.6382758774359485,1.671808438906338,1.3699288744557634,1.416350204533551,1.6103680006795502,1.6278305773710955,1.5731154090281148,1.5788504409633393,1.6342229255312455,1.662764029997936,1.6415974449596118,1.663573537374718
Mega Venusaur,Razor Leaf,Sludge Bomb,40,1.474886307683146,1.5038142227835876,1.4641611772696244,1.500165593569687,1.6661201702096033,1.7307472992192197,1.6909398563526725,1.7475836449797306,1.585212965109023,1.572425810652341,1.7962898042755904,1.851851674901177,1.5040150662525789,1.548226893517736,1.3896977003996906,1.6816610958451828,1.499695300332214,1.5649006743799287,1.2903016328176036,1.2906304779019995,1.8462333491991387,1.8654196118053838,1.6982581382209163,1.750383380557012,1.5195876607898162,1.558574097747282,1.7792075565356076,1.8143959905047773,1.510346068735488,1.5556459233248958,1.8160813906523026,1.8300117683995465,1.7232270647870096,1.7331166998790173,1.8039817599518253,1.8132908038189783,1.854458357135449,1.8819468522554077
Shadow Nidoqueen,Poison Jab,Sludge Wave,40,1.5273337681068906,1.5137837242555319,1.6215038804779982,1.5654015535848247,1.6104060908247348,1.567212510234012,1.7084508250119832,1.6120980206949653,1.6687585801137477,1.578357502254945,1.6255997052048483,1.592928085542557,1.5575731963084118,1.527405681815687,1.6763073128553363,1.7773196009231946,1.5196190121542847,1.51095758374372,1.6012613950012067,1.5401519146509794,1.5288988407103294,1.4870145087589146,1.8171329682971076,1.8018771990952558,1.531141060095831,1.5379965944764569,1.77415823171654,1.7391529094338256,1.643789942683256,1.568899698644567,1.559542851682187,1.5102721990443981,1.799627695606488,1.717786804898243,1.536709674329455,1.4760094302958326,1.528320262702039,1.522913343887537
Shadow Nidoqueen,Poison Jab,Poison Fang,40,1.6773707335423926,1.68565107804492,1.756840610002684,1.7168191387826943,1.7567188827558218,1.7231651442302358,1.8343257849317554,1.7772311709604491,1.8032863841394924,1.735681228870581,1.7674290236390024,1.7540433505707622,1.714252378096896,1.6970029929908612,1.7749923555066673,1.9511116278408092,1.6766915527749218,1.6901854086962134,1.789068890837507,1.7296669330623717,1.7119089459615493,1.6745504502194104,1.9940752880388533,1.9822145060894936,1.7076265813593865,1.709301449576045,1.9670133461799815,1.949820872123266,1.8207016468961486,1.7504821527952634,1.7201956724227707,1.6818260054498848,1.9695702497853116,1.921038253827606,1.7192018565004406,1.6667094875073685,1.7201609997158331,1.712089038923176
Shadow Nidoqueen,Bite,Poison Fang,40,2.513012850027815,2.6319323774919314,2.686116061373084,2.7105569279685198,2.156489213168113,2.158342855494638,2.3363415274378423,2.324976968027879,2.731727136039746,2.654190173437958,2.4851919008687684,2.5588487790370253,2.6981826969117932,2.7660190330652483,2.3369591648865073,2.5241228732277254,2.605020831733407,2.768059862664747,2.8557973264046237,2.8780590205413916,2.393147118244892,2.404276322900536,2.608925784876707,2.680423719999642,2.561613929978313,2.6609218342810865,2.672024026962348,2.714328637695868,2.4995748636466137,2.4325871149304783,2.3166154326326827,2.312266814708589,2.5947478233349868,2.5801791287330476,2.2602471138476306,2.246201910233055,2.662655042108939,2.72396827246961
Shadow Nidoqueen,Bite,Sludge Wave,40,2.4747660429263845,2.4768824441068467,2.832344795982564,2.653573746868784,2.119514637511472,2.021601542479193,2.309541863227029,2.1775513860563316,2.9140336489032306,2.554569556286411,2.4874206883444585,2.4361990185475055,2.6259019949611346,2.6203608001264675,2.4411457609711595,2.4382569133435767,2.575872151002857,2.5960803901339773,2.665676807163329,2.644555560735553,2.2508127454901596,2.2149913057228465,2.5431360090520116,2.519859097422331,2.427387328602263,2.492923894792436,2.515600480513224,2.458365738604771,2.3993037056402353,2.2516547767642647,2.223714341957593,2.1485434597857487,2.5755098738894433,2.3830125583080912,2.141291066793053,2.046895019001296,2.5187260856693334,2.5225548157120916
Shadow Weezing,Acid,Sludge Bomb,40,1.4325194159315946,1.438749415376468,1.559546416005537,1.4401978854200272,1.5630260609046343,1.4514604961582238,1.4416002568892714,1.435154228594892,1.6158709075457456,1.5015668345789412,1.4726186735541071,1.4511225629164162,1.4194951550517685,1.4133429611105135,1.621994597325361,1.7202023651778127,1.3893484399542757,1.4034827519898698,1.4495741771176018,1.4390714070232777,1.4203186674171253,1.4118032481161442,1.6839838866552344,1.654409701958458,1.4418872657086532,1.416818095581063,1.6384160759192679,1.6286911053979611,1.4155025622789912,1.4043692991416452,1.4639846140025599,1.4457391751940716,1.693776673073242,1.668831402832151,1.4228819204193963,1.3984086143341241,1.4492985030877508,1.4402417630733684
Shadow Weezing,Tackle,Sludge Bomb,40,1.7528237961541424,1.7763431960359075,1.924794325604596,1.7651631854178012,1.9439352097611335,1.7703327468421552,1.7951035597923404,1.8088168382320489,1.9342011208377161,1.791908374246317,1.8397449242332937,1.8364652441557672,1.7456873453323372,1.764134370981565,2.019713105202117,2.081432057453337,1.7502774894073359,1.8491556188589173,1.8230900315440706,1.8471058921616073,1.718118930801561,1.7318829560157625,2.146546996779764,2.151984274067488,1.7572822755282533,1.7635956475247634,2.0804686272551707,2.136147029369975,1.73651814410713,1.7642278334142678,1.8425701522994122,1.8408753447145898,2.080985836194364,2.068028697563404,1.7556768856247245,1.7618386969406397,1.7484465000591123,1.7565590737874592
Shadow Weezing,Infestation,Sludge Bomb,40,1.8419048310701385,1.884875232473914,1.97586405684061,1.8372336235954363,1.7090806584211338,1.6076427270286642,1.552212551235228,1.5480570100084086,2.036548937105909,1.9205058337463192,1.8157286422341419,1.8506035588452459,1.737363773122769,1.7668142120774992,1.9156971849760136,2.0353271685342453,1.7230154051511095,1.796547792633186,1.8024209595929874,1.8141162667246982,1.5226496438036188,1.5209259074300994,2.0247296858507213,2.04764813117988,1.7814920145354571,1.7723814367806796,1.9231074749862809,1.9689619724022134,1.5150785720126776,1.517648455429589,1.5213870366041944,1.5140424767163345,1.968447617506722,1.9649266533546026,1.5195272050315256,1.494610354110274,1.870945402162897,1.8823419709606932
