Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,Charge Move 2,Shiny,Lucky
Shadow Sceptile,50,15,15,15,Magical Leaf,Frenzy Plant,,,
,,,,,,,,,
Pokemon,Level,Attack IV,Defense IV,Stamina IV,Fast Move,Charge Move,Charge Move 2,Shiny,Lucky
Shadow Venusaur,30,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Venusaur,35,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Venusaur,40,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Venusaur,45,15,15,15,Magical Leaf,Frenzy Plant,,,
Shadow Venusaur,50,15,15,15,Magical Leaf,Frenzy Plant,,,
Shaymin Sky,30,15,15,15,Magical Leaf,Grass Knot,,,
Shaymin Sky,35,15,15,15,Magical Leaf,Grass Knot,,,
Shaymin Sky,40,15,15,15,Magical Leaf,Grass Knot,,,
Shaymin Sky,45,15,15,15,Magical Leaf,Grass Knot,,,
Shaymin Sky,50,15,15,15,Magical Leaf,Grass Knot,,,
Tsareena,30,15,15,15,Magical Leaf,Grass Knot,,,
Tsareena,35,15,15,15,Magical Leaf,Grass Knot,,,
Tsareena,40,15,15,15,Magical Leaf,Grass Knot,,,
Tsareena,45,15,15,15,Magical Leaf,Grass Knot,,,
Tsareena,50,15,15,15,Magical Leaf,Grass Knot,,,
Zarude,30,15,15,15,Magical Leaf,Power Whip,,,
Zarude,35,15,15,15,Magical Leaf,Power Whip,,,
Zarude,40,15,15,15,Magical Leaf,Power Whip,,,
Zarude,45,15,15,15,Magical Leaf,Power Whip,,,
Zarude,50,15,15,15,Magical Leaf,Power Whip,,,
