Attacker,Fast Move,Charged Move,Level,Arceus (Grass),Arceus (Grass),Arceus (Grass),Shaymin,Shaymin,Shaymin,Mega Venusaur,Mega Venusaur,Mega Venusaur,Amoonguss,Amoonguss,Amoonguss,Bellossom,Bellossom,Bellossom,Gloom,Gloom,Gloom,Grotle,Grotle,Grotle,Meganium,Meganium,Meganium,Tangela,Tangela,Tangela,Venusaur,Venusaur,Venusaur,Vileplume,Vileplume,Vileplume
Kyurem (White),Dragon Breath,Blizzard,35,1.5632866324164947,1.6014638579340261,1.5636872902237673,1.4939192895444315,1.6169329693180134,1.509791080512319,1.5493780518762974,1.6271984708886467,1.571577045410426,1.5416833818072408,1.6725503961488315,1.535778758399358,1.4845850415297686,1.5878037197491737,1.4879772046637396,1.5334250986910452,1.616806046125078,1.5251792021608144,1.5254984592524024,1.6048621853038256,1.5233182709523403,1.5357547623149248,1.5959036384902034,1.546825274496115,1.5590891244601492,1.632880230053375,1.5513640849329895,1.5493746499906664,1.6280567481799515,1.5575228672764607,1.5224470588235295,1.5810091503267973,1.5369202614379085
Shadow Houndoom,Fire Fang,Flamethrower,45,1.2955488738783858,1.2950662633378074,1.0807070517595252,1.2807513342941224,1.3167538120454587,1.064198370273658,1.2872190780533697,1.314050203831738,1.0991443546821569,1.285678467555912,1.3406378497643165,1.0724099889680072,1.2674187576929412,1.3151513389352483,1.058064140958916,1.2950472678163307,1.3329654061915646,1.076576459588614,1.264289977223731,1.309014286932268,1.0469532173002205,1.29938436709492,1.3002457091565196,1.1171334536189967,1.2819427201052642,1.321682106134403,1.0717006759409586,1.2464532387530334,1.2818648497293261,1.0634310248273287,1.253845751633987,1.2887947712418302,1.0597019607843137
Avalugg (Hisuian),Powder Snow,Avalanche,35,1.6601711537305794,1.7410985672841046,1.6590056037457863,1.7709247977441618,1.7996337599876528,1.8660262332965563,1.8001821792823332,1.7706094046321323,1.8069048934549854,1.7205270283823086,1.7883612476180923,1.7153745863002707,1.7206020604968064,1.8153597146706208,1.7303036470599638,1.7063162268855183,1.7905672137959692,1.7130947434032828,1.7055649610854657,1.7913352739851163,1.7161735868360473,1.7226025223722268,1.7784265547224214,1.7428939279918036,1.7209753923534843,1.8021307526607881,1.7570538736616477,1.6996079895463878,1.7579522120589883,1.7149617323128616,1.6986248366013073,1.7297673202614379,1.7398692810457517
Avalugg (Hisuian),Powder Snow,Glaciate,35,1.53553743691916,1.6026822219025054,1.534584964040962,1.6715790659211165,1.675416660583523,1.818387918250891,1.6550987799961177,1.6442247674227606,1.6522436423910285,1.526639755290342,1.636633737839735,1.5223147126667336,1.5714825691274386,1.6683142887603097,1.5675476598920322,1.5559941824226053,1.6339471223768958,1.5433851028464574,1.5651072433406819,1.6136560174415064,1.5764588382884912,1.5879158242136855,1.6343466947131733,1.6235391185297345,1.5692335444985621,1.631585649253494,1.6231708740542663,1.5489453052081388,1.619255180138137,1.6078588762366997,1.5558901960784315,1.5716287581699346,1.6034300653594773
Avalugg (Hisuian),Powder Snow,Blizzard,35,1.8932228731899827,1.9839463701313247,1.8932028402996193,2.0433126784533657,2.0503183743615305,2.1889285393989577,2.015156718980991,2.008296623710186,2.0403900428569295,1.9006995286330357,2.0143666633236386,1.897991675859994,1.9427984376665792,2.0678529545740894,1.955562662944979,1.9237741533347184,1.9971431539580302,1.9171774361105338,1.9006613643837618,2.019097962315628,1.9334494476450312,1.899295512861197,1.9979055787765316,1.9625089534240614,1.934952620464988,2.0467746898842307,1.978183130126593,1.9039574388650364,2.001932051521374,1.9809968265820421,1.9264522875816994,1.9861751633986928,1.9807895424836601
Arcanine,Fire Fang,Flamethrower,45,1.4613228628093033,1.500634678390157,1.2022083529868128,1.447509421920591,1.5079473665549454,1.242164737093481,1.457520868487464,1.5092777039437335,1.229913240849971,1.4713418914853074,1.5474124962390934,1.2374761809246815,1.4779267098925168,1.5445972533170509,1.241832155768131,1.509453563266154,1.5590328277581549,1.2592587783087472,1.4812248029913644,1.5465939125245118,1.2307223852965177,1.4995602622106572,1.5377041154017028,1.2529081628027166,1.5150945999002536,1.5774785386092807,1.252835874744002,1.4360836288967707,1.488902370729886,1.2223632630203471,1.4511581699346405,1.4942535947712419,1.2203607843137256
Moltres,Fire Spin,Overheat,30,1.513940159935312,1.4924375838877284,1.2583477964731187,1.4443830336602936,1.499969758085541,1.2175373904773426,1.492490331058581,1.5350934042140159,1.2563889677005093,1.4723698726306287,1.517789088356233,1.2300922675759702,1.4687484856414579,1.522887409259636,1.2189495924558291,1.4820278412632453,1.5111416995636817,1.2244571992520257,1.4570234948783845,1.510383299026832,1.2019901830627382,1.4575358363631419,1.5031869656279184,1.2511310781282585,1.477626035929923,1.5290378717940556,1.23040354842475,1.4628990106402837,1.4870729886130296,1.1926451372036588,1.4634039215686274,1.4870692810457518,1.2210300653594772
Moltres,Fire Spin,Overheat,45,1.32147507635263,1.3227790353981173,1.1153839849789746,1.2697286778860692,1.3271883153585127,1.0795112072363686,1.3173652694610778,1.3466961339167054,1.107829229321905,1.3306463744860093,1.388840136395547,1.1000651890482398,1.3116041054865815,1.3683307649812462,1.0859574138148267,1.3275503843756493,1.3585082069395387,1.121143257843341,1.2883938467534681,1.3595361923437632,1.0946981230892903,1.2967550071174054,1.3328679063947848,1.096914582067765,1.2968834558940567,1.379312174365178,1.0945999002536104,1.2868396490573082,1.3274407317528467,1.0698431958185552,1.297035294117647,1.3377254901960784,1.0865150326797386
Flareon,Fire Spin,Overheat,45,1.4051324265111629,1.4049302764356753,1.1696567273177598,1.377268925702916,1.4166689261200458,1.1753697334748794,1.3719951617961086,1.40435139695671,1.172879179297266,1.3838506669341089,1.4189148530739144,1.1503234379701133,1.3628645363882184,1.4052568836681882,1.128165615096095,1.3987507791398295,1.426618013712861,1.1428423020984833,1.3580137144805915,1.4073663568931707,1.1543183562111006,1.3491608714968313,1.3687088029158696,1.1573354609993383,1.372902938273963,1.4005666443828988,1.1738876685873152,1.3428131416837783,1.3472185924957998,1.1189565055068136,1.3577516339869282,1.374473202614379,1.1551058823529412
Calyrex (Ice Rider),Confusion,Glaciate,50,1.2480490696543598,1.308575716130301,1.24865187753712,1.3217927406891403,1.3474921110316247,1.3268337549820948,1.0845939044604058,1.1150208311556438,1.0807741126226351,1.068072409988968,1.1262410991876441,1.0717455621301775,1.2973182527452292,1.3665377644675756,1.3001289021990907,1.0730054020361521,1.125857053812591,1.0644997922293786,1.3157497289989404,1.395064735758742,1.3261269381143197,1.279392164507267,1.3103188778979629,1.3001369080540017,1.323602754698161,1.3675336113498657,1.32219144939993,1.0539667724472652,1.0835728952772075,1.0531734179578123,1.0533228758169935,1.0774274509803923,1.0578091503267975
Calyrex (Ice Rider),Confusion,Avalanche,50,1.3020304244969467,1.3939012597045695,1.3012236453668478,1.3554718051503023,1.4343072620222037,1.3356769078998136,1.1573133035674288,1.2165992205115954,1.1542371615870504,1.1661693912345803,1.2307441580583691,1.1688647076521914,1.364085715116448,1.4302038205448782,1.3639403366964207,1.1740858092665696,1.2395205692915021,1.1757999168917515,1.3607541746343008,1.4448193123271986,1.3539700132760069,1.3630874126191146,1.429020880744925,1.3884652697814006,1.3615488279799235,1.450599008902896,1.3859654707711244,1.1420011200298674,1.1969945865223073,1.149066641777114,1.1474509803921569,1.1902954248366013,1.1461124183006537
Mega Glalie,Frost Breath,Avalanche,40,1.3398452368160816,1.39662026927847,1.3460335787665931,1.4116758817603714,1.4520978503212942,1.4660550152565244,1.4447115743575194,1.4607134857467112,1.453647318828677,1.3766798716277204,1.446319326045532,1.3805786781666833,1.4048207484081061,1.4704057996297695,1.4126517993002452,1.4060487222106794,1.466587886972782,1.4198135258674422,1.3898274119094307,1.4432724748182162,1.3978660950269783,1.4305894299728905,1.4732575956769696,1.4314598387930333,1.3978713696028184,1.454843536115621,1.404524666008765,1.3781780847489267,1.4234832928878103,1.4258726899383984,1.3700601307189544,1.4106143790849675,1.4018928104575163
Mega Glalie,Ice Shard,Avalanche,40,1.3750867333094152,1.44190734970324,1.372223851159267,1.4273995916298723,1.4691563757255452,1.4914123391182292,1.4729822151208805,1.4956919079546642,1.497830274612869,1.404736235081737,1.4757296158860695,1.4087102597532846,1.4148615512846605,1.4851180957365355,1.4226926021767994,1.4142167047579473,1.480054020361521,1.4162424683149801,1.3979391739644105,1.4535887848190687,1.4038463880735175,1.433218789950405,1.4631209596257242,1.4381057728051645,1.4184785492205987,1.482093400821316,1.4250681777183545,1.3951745379876797,1.4316408437558334,1.4225499346649244,1.4023320261437908,1.4371346405228758,1.4101856209150327
Mega Glalie,Ice Fang,Avalanche,40,1.382708337506852,1.4399841922283312,1.3833858134355133,1.4168795766966236,1.4731441371356109,1.4922361705810827,1.4796661042005765,1.4917257753819047,1.4936789762121643,1.383487112626617,1.456762110119346,1.384903720790292,1.3961174269958034,1.4560714874150746,1.4046656780934104,1.3938162268855183,1.471976937461043,1.4117624142946188,1.3868311754747085,1.4421032118193,1.3909844950854413,1.4174516968438615,1.4652788481589947,1.4095998839454906,1.4146584747291462,1.4725113806385892,1.4177569795944354,1.3824155310808288,1.4308194885196939,1.4269553854769461,1.3921045751633987,1.426718954248366,1.423048366013072
Frosmoth,Powder Snow,Ice Beam,50,1.5620282026672883,1.6616881898826619,1.5620081697769246,1.5653924044824774,1.6587710937353353,1.5748466526371991,1.5724162647274031,1.6628906774978722,1.556369555154031,1.5627319225754688,1.6602271587604052,1.5621928592919465,1.5697089524031052,1.6422915515754173,1.5751364134174588,1.589172553500935,1.6867987741533346,1.6011323498857262,1.5749607200711302,1.6395625007612389,1.5911233450665627,1.6029485098782335,1.6560978484581979,1.6134931500639207,1.6063731576099067,1.6930357919757213,1.6098961151964686,1.5908064215045734,1.6374089975732686,1.5914877730072803,1.5885908496732026,1.662013071895425,1.583445751633987
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam or Flamethrower,40,1.2866761246191474,1.3712458818751514,1.180529123269659,1.2989611380970953,1.4025282240487875,1.2839131785920617,1.1452506458404887,1.1640151119207969,1.0686726298027387,1.103713268478588,1.1577449603851169,1.0065565138902817,1.3042285736438615,1.3865515269580049,1.1795326568390854,1.1181825264907541,1.16909931435695,1.0110378142530645,1.3072969319026102,1.382105404187423,1.1832088961426501,1.3388429002747229,1.4051481055008024,1.224121204428205,1.3215017137278622,1.4093740383493034,1.2130540434427362,1.1011760313608363,1.1342262460332275,1.0196191898450626,1.0981960784313727,1.1295477124183007,1.0180915032679738
Mega Mewtwo Y,Psycho Cut,Ice Beam,30,1.176784793943511,1.2502217276728884,1.1761710590296433,1.2271376340811777,1.3176714977255994,1.23821451737033,1.0863977780100647,1.1417474278375916,1.0972210193080174,1.1014943335673453,1.1812882358840637,1.1050922675759702,1.2427141181829635,1.3110613593851461,1.230667093110032,1.124597444421359,1.1840717847496363,1.1195719925202576,1.2276896093930794,1.3107194621390204,1.2261427718840967,1.2433699328153192,1.2947875205135413,1.2300055307227113,1.2240049236515669,1.2952493129171574,1.2267532550218063,1.084804928131417,1.1273753966772446,1.086727646070562,1.101511111111111,1.1416366013071897,1.1003398692810458
Shadow Moltres,Fire Spin,Overheat,45,1.132433795850278,1.1238906786961138,0.9445416747860579,1.0888382307854347,1.1324950413688533,0.9169285894545401,1.0970955843923127,1.1307240879836338,0.9134887332566787,1.1033622505265268,1.143039815464848,0.9286179921773142,1.0906289070450381,1.1435175762509813,0.9006580796479904,1.12277945148556,1.1503739871182215,0.9484209432786204,1.0910076367489616,1.1521016284423224,0.9174451603473686,1.0954820342179468,1.1313229307390316,0.930829699074284,1.1134774350322054,1.1432846273835673,0.9389849213170768,1.0792981146163898,1.099533320888557,0.9040601082695539,1.0956339869281047,1.1166013071895424,0.9209411764705883
Darmanitan (Galarian Zen),Ice Fang,Avalanche,35,1.136132595880145,1.1773493572173952,1.137784398749219,1.1225610938813306,1.185889748408128,1.1310455151240857,1.1524661400391238,1.20704526109875,1.1712604715755521,1.1272063985558118,1.1831937619095376,1.1329731220539565,1.1384099477606877,1.188507351302106,1.1369949311390883,1.1444784957407022,1.1997065239975067,1.142517660502805,1.1411154281816742,1.2032081653532758,1.1451591293862586,1.1721868114930232,1.2030409908153736,1.1999492261521585,1.1461178492980613,1.206315856492535,1.1353049162236442,1.1269087175658017,1.1789621056561508,1.1219899197311929,1.1140392156862746,1.1740235294117647,1.10961568627451
Darmanitan (Galarian Standard),Ice Fang,Avalanche,30,1.517811971291047,1.5301922975357725,1.5225160581827983,1.575105273147057,1.5441876083234092,1.6226685048188927,1.5686024459808563,1.5525617094987083,1.6059491988591397,1.4310375087754488,1.5248094473974525,1.442019356132785,1.4587270665542407,1.5370084997916242,1.448899485360393,1.465717847496364,1.5191019114897153,1.4642894244753792,1.4483758206155681,1.5097499482357526,1.5220637491930866,1.5089896910955365,1.5381755868459468,1.545646595885505,1.5276584004499199,1.5486688101529091,1.5451458525663473,1.4756393503826768,1.4910024267313795,1.4643083815568416,1.4826248366013073,1.4985411764705883,1.4873516339869282
Blaziken,Fire Spin,Blast Burn or Blaze Kick,30,1.6396793280604338,1.5466629757583814,1.3623439938662931,1.5053423906129098,1.5180648511784962,1.2619200070077816,1.4917586273836367,1.5159944450251617,1.311681873161408,1.4714672550396148,1.5099287935011534,1.2349814461939626,1.4624099865282663,1.495420579769139,1.2480349683559637,1.5197771660087263,1.5400867442343653,1.2638946602950343,1.4759387598504317,1.5177399120616786,1.225278004457815,1.5668628108764837,1.5292448296809409,1.3104095454833944,1.509353876845043,1.5301096149152686,1.2607837519498297,1.4645603882770206,1.4933078215419078,1.2279354116109762,1.4755869281045753,1.500329411764706,1.2575895424836603
Crabominable,Frost Breath,Glaciate,35,1.674552947839817,1.5356813094954078,1.6739537823007593,1.6167244043907087,1.484252305163859,1.618111361157285,1.6313288634700673,1.5253303866083296,1.6114504158764766,1.4713920369070304,1.5218257948049343,1.4650862501253634,1.4645906628286762,1.4995105593192413,1.4701441184737203,1.458510804072304,1.514362144192811,1.4633025140245168,1.4451603473685493,1.4959136694152466,1.4502027940513744,1.4692682219179822,1.4765669625452205,1.5025885595640702,1.4568066299515063,1.5125478835726185,1.508611084582816,1.4304554788127684,1.4535747619936532,1.4343755833488894,1.4772496732026144,1.4874980392156862,1.4770196078431372
Crabominable,Frost Breath,Avalanche,35,1.6772664938981636,1.625051675751279,1.6767911680449903,1.5886411369291318,1.5901010914202645,1.615750406180196,1.6215210476802007,1.6242686696432571,1.6282975196738694,1.5634088857687292,1.652680272791094,1.5596981245612276,1.5577685381715272,1.6250302871708389,1.552253850105157,1.5823031373363805,1.6451277789320589,1.5858352378973612,1.5511613461140275,1.6141188507119106,1.5582134635762395,1.5807621517231376,1.6161497103170646,1.6073096207374902,1.569413936905103,1.6418786277443522,1.6025743057545179,1.5409277580735485,1.5698151950718686,1.5546014560388277,1.579126797385621,1.599769934640523,1.6062117647058824
Shadow Weavile,Ice Shard,Avalanche,50,1.1571780577930675,1.1744755480361393,1.1550236114930512,1.1766544934270764,1.1999532814562837,1.24816723570131,1.2278704436513508,1.2244478623799782,1.2460286409724193,1.1571682880353023,1.203465048641059,1.1502983652592518,1.1704804272187168,1.2174473487822133,1.167427480398143,1.1766569707043424,1.2230807188863495,1.1733975690837315,1.1598479958101409,1.2209419875035017,1.1627589734845254,1.1948265075752769,1.2207937040428678,1.2232145285738896,1.1591061025690002,1.2213520941436136,1.2329927100245122,1.1697031920851222,1.1843009146910584,1.1751726712712338,1.1915816993464052,1.201129411764706,1.2014117647058824
Delphox,Fire Spin,Flamethrower,35,1.604445116254505,1.6508631443988948,1.339406334399933,1.6125948188300758,1.668085603388763,1.3496173876408595,1.6091477892096109,1.6713455881254948,1.3383905505696836,1.617603550295858,1.6837578979039214,1.3617114632434058,1.593047034764826,1.6593299024026207,1.3597146706209595,1.6486858508206939,1.7028360689798463,1.3704420319966757,1.6132297236398183,1.6865157180614594,1.3353348842307833,1.6551277052940805,1.697052396797621,1.4108873636586186,1.6402338734494213,1.699455639384968,1.364626110209149,1.6139630390143738,1.65180138137017,1.3233246219899197,1.6139712418300654,1.658572549019608,1.345683660130719
Charizard,Fire Spin,Blast Burn,40,1.456687980447899,1.4728253842217314,1.2138547469754888,1.430711602675471,1.4869532209724547,1.1933209167679943,1.4308599758089806,1.483754685143429,1.1835053085848255,1.4397502757998195,1.4877143716778658,1.2053329656002407,1.420007947353628,1.4746508494945676,1.2004186898496787,1.4611598794930396,1.49537710367754,1.2063162268855183,1.4332241209212817,1.4775952157655627,1.1841223828605532,1.4605187999238394,1.4934946007452876,1.202596719646759,1.4553528793811479,1.5115504196776282,1.2070692600727937,1.42815008400224,1.4622456598842635,1.1825182004853463,1.4079372549019609,1.4323555555555556,1.1923869281045751
Mega Mewtwo Y,Psycho Cut,Ice Beam,45,1.0582538240055945,1.1350052905042278,1.0579606153375452,1.0865523591821753,1.1599088154137824,1.0795883762594713,0.9706810817268207,1.016727641972912,0.9619753012677886,0.9801424129976932,1.0562380904623407,0.9817345301373984,1.0995939096133902,1.1733104604619156,1.093042188817492,1.0173228755453978,1.0578381466860585,1.0203745065447745,1.0836266640683043,1.1257201320292802,1.0844427122029645,1.1108955237413074,1.1662299511301715,1.1154017027372545,1.0952153566994556,1.1510415008648225,1.104150086482242,0.9718312488333022,1.0218499159977599,0.9809781594175845,0.9744104575163399,1.0307869281045752,0.9812183006535948
Crabominable,Frost Breath,Glaciate,50,1.3460171882199319,1.3588473439119135,1.3479931596785268,1.3197863460884691,1.3392329399103589,1.4345471116886042,1.3482162856332225,1.3515761494467424,1.465683097645109,1.2995436766623207,1.3652843245411694,1.310324942332765,1.3166051231355216,1.3699008519175413,1.317661539654387,1.306253895699148,1.339471223768959,1.315577602327031,1.3013653581476925,1.3526180529335103,1.2940818240502783,1.3129482378754773,1.3511102245836093,1.3208725848421932,1.3184138201806046,1.3814132153354768,1.3246638865013423,1.2779634123576629,1.3153817435131603,1.2977879410117603,1.304732026143791,1.3470535947712419,1.3132235294117647
Crabominable,Frost Breath,Avalanche,50,1.371143896251482,1.4405542190177691,1.37081790649011,1.3791731234892077,1.4459326710701674,1.4189109990885713,1.3898935296489316,1.4503949706571895,1.4331088446548301,1.412834720690001,1.4840286831812255,1.41733527228964,1.3904961280880799,1.4752032874906715,1.3996840442338072,1.411424787035113,1.4621857469353834,1.4109962601288177,1.3955397488520516,1.4644410070277578,1.3952839725710389,1.4291024815718134,1.467482070484981,1.4393479187255764,1.4321671494816373,1.4938507412005646,1.4317957533505237,1.3809688258353556,1.4285047601269367,1.3809594922531268,1.4024261437908496,1.4413071895424838,1.419273202614379
Shadow Magmortar,Fire Spin,Fire Punch or Fire Blast,40,1.2801963951724376,1.3029610433129302,1.0654966244579738,1.2774309806514317,1.3220889028859129,1.0748914940965697,1.3119446891752655,1.3375125061597504,1.1007600758582585,1.2835222144218232,1.323814060776251,1.0701785177013339,1.2805125073900696,1.3221295030965603,1.0666027001618545,1.2897231456472054,1.323278100976522,1.089938707666736,1.2850200358086794,1.3145682861771188,1.0727257225679938,1.29015440689799,1.288087185950151,1.1149664983271832,1.3057969630407793,1.3479451182631395,1.0889440677426543,1.2535934291581108,1.2982546201232033,1.0662871009893597,1.2492758169934641,1.290488888888889,1.057924183006536
Shadow Entei,Fire Spin or Fire Fang,Overheat,45,1.1409969458948055,1.1494398985971512,0.9541392504420895,1.1133112393553675,1.1715675948501147,0.9614676296804576,1.1273253990771575,1.1485896038347245,0.9388265862290383,1.1165254237288136,1.1974852071005917,0.941618192759001,1.1318969945434632,1.1709068705841303,0.9298306826001415,1.1332718678578848,1.1976677747766467,0.9644582381051319,1.1036746525705516,1.1743419850675372,0.922658124550869,1.1510703308460193,1.1738097612722476,0.9628716237657875,1.164040365453793,1.1979541378834666,0.9530024724371015,1.1210752286727645,1.162413664364383,0.9487492999813328,1.1050980392156864,1.1407372549019608,0.9322875816993464
