Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Mega Glalie,Ice Fang,Avalanche,50,1.0805177789926002,1.1275405650552626,1.1303606380942817,1.1909886899133884,1.130166470847528,1.1832080582443134,1.14195618970284,1.1989920667143565,1.1139022450219853,1.1807546562756943,1.1445897943122114,1.1191691659753684,1.0891766409308252,1.1499932806478321,1.0977496762974093,1.1319704745432722,1.09993662369893,1.1377092797749666,1.1136223859198102,1.1826153161615662,1.0944778751154525,1.1637213468051162,1.0832234623939452,1.1533362184938791,1.1390451039252196,1.1916346848044992,1.1411900954061656,1.2065626206364086,1.1803110177829337,1.2305320195597587,1.0952392893413743,1.1823538999711622,1.0939285558511798,1.1753282156409475,1.1762418596809205,1.229309363737908,1.0996634490207235,1.1770991041379377,1.108821839417428,1.1850792124488432,1.0827619912029602,1.1607484465544928,1.120781982628302,1.1874247354531247,1.083848025453865,1.1673752038715544,1.1416759471328612,1.2031371477800425
Rampardos,Smack Down,Rock Slide,35,1.1077489715578874,1.130296820457065,1.1437057444780667,1.1716995825746221,1.1178716507963038,1.1641046313274572,1.2249521489472768,1.2333404223781812,1.1098894469667178,1.1773763986701462,1.1804862484844616,1.1215770106140854,1.164905907394322,1.1445527729249123,1.1449431512092771,1.1190790779438033,1.1003515196038314,1.095306157017165,1.1370840955158945,1.1480081079744895,1.1527918497578997,1.118368832041199,1.0605883714610655,1.1233204843043911,1.1368127066154958,1.1803777026256794,1.1617492968620746,1.1973749517454364,1.190678277214056,1.2322941599729806,1.084907907769851,1.142733553167747,1.1092271121385266,1.1582631831465084,1.1500663870682206,1.2126072203839913,1.1018524768802014,1.154099846671617,1.1031813970941755,1.164710297032025,1.0773860224813239,1.1388815192347972,1.1207221980236919,1.1792257039637193,1.0943691345151199,1.1507847383759793,1.1329663171608078,1.2038095438213108
Rampardos,Smack Down,Rock Slide,45,0.9953120752999813,1.034736453119226,1.0370680556845076,1.0867668765478182,1.0490318013558222,1.0893934850399094,1.076546217350115,1.1252595557102256,1.0187144746720052,1.0862461123225966,1.0577308404058452,1.0273201029502477,1.0130138678758611,1.057014786909835,1.0621357755157976,1.0296653340516222,1.0238508049551514,1.0175816897682481,1.0321174667523607,1.063192762149602,1.0540429343110638,1.0298469030759327,0.9757176836857591,1.0378928934469953,1.0306835885549266,1.090967815480488,1.0671924116252136,1.110649092814206,1.0727176610522915,1.1306039736266318,1.0170267186579234,1.0784633323720803,1.0154948314214682,1.0689143804248267,1.0806971695926153,1.1426162827456847,1.0123819901831261,1.0710614374294833,1.012160371495245,1.0611888316896703,1.0166026670390282,1.0694547231725198,1.0303193351951967,1.0915900142628985,1.0162161439533703,1.0742226143685998,1.050198566955937,1.0995566388602886
Shadow Sudowoodo,Rock Throw,Meteor Beam,50,1.2447478446235458,1.2440698516050415,1.2730545570989789,1.3121708961855696,1.2605754624690908,1.309666255364543,1.2771030295999846,1.305255560066766,1.2489945661888249,1.3004347942658991,1.3301873949758576,1.226133197200774,1.2477100014305718,1.268067470965896,1.306618654720387,1.229878930505543,1.3207868557932219,1.2219788250833121,1.2427665991002126,1.2784990359420576,1.218268073553696,1.233888437963559,1.2006964643363964,1.246114259067288,1.2820230269407609,1.3132670897138732,1.280041912535157,1.3001047813378923,1.3295789952862744,1.3784049692359652,1.2148024624797822,1.2656569329337863,1.2347232520608888,1.2701072970733196,1.2849375118548336,1.3561508145587895,1.2424517112026152,1.3083057695831204,1.250653751890897,1.2841680640735487,1.2054248411645605,1.2627941073797389,1.2650507742106298,1.318412804154176,1.215341835779792,1.2622389775674447,1.2880586665546008,1.3289277384379399
Kyurem,Dragon Breath,Glaciate,30,1.4605130147173349,1.4824057757675522,1.4613867314437081,1.515303386583649,1.4684337910093617,1.548650814329045,1.5521953482976625,1.6019565763780137,1.3985249168841383,1.516839899188503,1.6079254674239039,1.4274328377257353,1.4159170615189203,1.465319472682582,1.4411012503898608,1.4724866974774826,1.4842463263632089,1.4613223760213006,1.4394106886834428,1.5261660157215602,1.3187578717568362,1.4212908281787904,1.3442600401909575,1.4193949885432289,1.4561310179731735,1.5055667439297793,1.4575084100810676,1.534506149010092,1.5174231633357318,1.6410226288198064,1.431498175708715,1.5147510563336133,1.4089501461159333,1.51315043398613,1.533857404792514,1.6428902611224683,1.4431768869516581,1.5486745291661443,1.441936278246186,1.5128932772025283,1.766648048593172,1.9037492145500245,1.904404417228215,2.0601774748691146,1.4426485922836287,1.5042512232293255,1.5219789455989579,1.60407429976256
Kyurem,Steel Wing,Glaciate,30,1.5402077346176515,1.5514969291802698,1.552191435863718,1.6292493353974067,1.5276825992983285,1.612461635016067,1.5599726749544045,1.6102920042018702,1.6804262145640438,1.8099082150645265,2.1020824027396676,1.7093208261544677,1.480067366924314,1.5222930764662277,1.4754108896386817,1.4951676165093046,1.5401621139136674,1.4780685644030733,1.7136500716863599,1.8147782666732584,1.1697752525959304,1.2457723417951803,1.4587371719387945,1.5598519845543266,1.248765056807387,1.3066458942888628,1.551910880714719,1.6087023658523134,1.5896121822640568,1.7197903052908265,1.4896623493862606,1.5789460486226914,1.4915492650586644,1.5954224277053257,1.60617715863348,1.7077809859006512,1.4969768271632322,1.6088004705927734,1.4834949634719796,1.55550734664681,1.252426167702297,1.3225511415206312,1.283857302689453,1.3445130543954495,1.4917248201919735,1.547846314269672,1.5977180559349458,1.6637389422369775
Kyurem,Dragon Breath,Blizzard,30,1.7172051417524592,1.7554460858119272,1.7043915878270195,1.77747797763752,1.732755216244959,1.826899158878964,1.8180525749344263,1.8993394299119026,1.6402892968219354,1.7810880134415328,1.8204135026482036,1.6660306723672174,1.6543305140954667,1.7252955431187331,1.6835653595697826,1.726980256504768,1.7368360951824495,1.7276798373912563,1.6980748504474217,1.7949572353784544,1.5395728959668615,1.6635702090738615,1.5728855295779278,1.6650462799880568,1.703081658243721,1.7791636584717105,1.7013070093200242,1.7859923895659846,1.7506424470256539,1.8804681419697793,1.6548265356018907,1.764898378825683,1.6251908230470624,1.7703580930780303,1.7913760037092457,1.928892073594807,1.68905196771425,1.8100946007193899,1.7010917363415694,1.8019161086811215,2.1436500733086645,2.3172589541297217,2.3146719960371347,2.532407526027655,1.6892462768375178,1.778161011737654,1.78205963312391,1.90741947006787
Kyurem,Steel Wing,Blizzard,30,1.796357772640233,1.8302726936784786,1.813217775537698,1.906570991683704,1.8094802681493207,1.899743878398773,1.81198564146189,1.897631614562187,2.000737318128195,2.184528384513638,2.3803479888541466,2.0356624763363325,1.7217689669971432,1.7957620395618115,1.7155159866549472,1.7446029090702884,1.7829561523543438,1.7493724223640312,2.044309091807979,2.1913264448509415,1.337697668560553,1.434339052310448,1.7060289790892957,1.8237032713023817,1.4321731200364785,1.5007884637306685,1.804830971157558,1.883229471129984,1.865548686471167,1.9942877281604723,1.7153227929836878,1.8332685532304374,1.7247350285689362,1.8802285514895103,1.8717570444055722,2.0053215030875253,1.7584354718946182,1.8738657074803036,1.7456993093096616,1.8363919931517292,1.4479997207288977,1.5178384416672486,1.4761160504582063,1.5524951531766977,1.7586428170369777,1.8454319403224513,1.8715093189888845,1.9804374776743503
Kyurem,Ice Shard,Glaciate,30,1.2122255578935794,1.2115078625811988,1.259449862531951,1.2985188315121106,1.2319547338252572,1.2726703667471246,1.288078159941741,1.312674567729379,1.1850065241482857,1.268003968112108,1.344370705974943,1.2060961861612745,1.2190010274106218,1.2341629204472053,1.2121560955324315,1.2317332501630327,1.2379846716898253,1.2183703726260056,1.1892678103524992,1.2531784248776388,1.1864171961152006,1.2627809342550869,1.2154342669847054,1.2504688385886868,1.253077858418513,1.3053159554660487,1.275927866321072,1.3236971267854187,1.300973582578305,1.3944698160031719,1.1768371428213198,1.2375716238073147,1.1963514633401666,1.2545470406071444,1.2639254778815148,1.3262134080802546,1.2398576649726614,1.2930307910394507,1.2204111307855576,1.2853055337312522,1.2179850589960204,1.2774628220344901,1.2238164783451622,1.3118621196204532,1.1969733429587444,1.2815967487500335,1.2473576936815784,1.3201970960895968
Kyurem (Black),Ice Shard,Avalanche,45,0.9057269031905374,0.9498483677776183,0.9293958037664919,0.9775844656367774,0.92455965273647,0.980409892881196,0.9443007301716193,0.9999548878964226,0.9259799628212919,0.9845319593894112,0.8593218896900856,0.9166102992789228,0.905506400724823,0.9551645807774507,0.8981333938208247,0.9414613399869574,0.8843943947182609,0.9282439435665442,0.920209620803876,0.9721659168438226,0.8904811217778275,0.9414929049231716,0.885680545630827,0.9391096931329824,0.9344435155982825,0.9867576091499792,0.9467600507362267,1.0016323829482159,0.9864021498113041,1.0242294306818016,0.9154055443409356,0.9616585378085936,0.908666637588869,0.9879399834256554,0.9766275369343927,1.0550380408438533,0.9439049556890616,0.9956412308701145,0.9166950056873483,0.9688427125719714,0.9055505131606507,0.9594498359282273,0.9417954170830237,0.9997694022393605,0.9293869147883747,0.9901339536376033,0.954056439242714,1.0319808367128238
Kyurem (Black),Dragon Tail,Ice Beam,45,1.0496889477975915,1.1106105907395927,1.098071278746549,1.163216543914931,1.0839515155090396,1.162847783802562,1.1092615148644382,1.1838047548157171,1.0818132663639937,1.1651525578236155,1.01737817199498,1.0955842001148617,1.0503929737251654,1.1376816934501488,1.0299715519767123,1.1047907983403744,1.0203318025323875,1.1040646476334757,1.0811469817570574,1.1614159292035398,1.0282123765008817,1.113311315737916,1.0422273439413305,1.1145643575317787,1.0952331192765135,1.177043356005624,1.1082446368499421,1.191915292560525,1.1669040661390035,1.2381092233366129,1.0926062916107677,1.1450280226187042,1.0699175644436691,1.1708138875561565,1.159223587430715,1.2715231090223187,1.0973876315104292,1.1664432636766024,1.0839147718611115,1.1609578198107344,1.2699225022690777,1.4198142847168889,1.3461528606933306,1.494153919734898,1.0765621240073795,1.189339857223069,1.1203063604463028,1.2044924460507238
Kyurem (Black),Shadow Claw,Ice Beam,45,1.0946976059516793,1.1673390606437268,1.0027228337176628,1.0612912333091429,1.2209036520678993,1.3409514352149996,1.01538580515438,1.072732311221958,1.1266198655846709,1.222328227219104,1.046878522961734,1.1443962308297704,1.0899959683886993,1.1818148319945205,1.062305896585292,1.1493625185479222,1.1414014726901431,1.2575399717946911,1.1240480545805112,1.2190497849409205,1.0466455820202076,1.139807999104369,1.2372407129701386,1.3592930685695308,1.1390261047991794,1.2345062127142152,1.0159929410467103,1.083626537252523,1.0518069281487248,1.1348037416114773,1.4000526599546121,1.4772120315458204,1.2971278405373576,1.4604614646486676,1.2345044152669182,1.3305865244789141,1.3945650391999924,1.4949228054272463,1.3441256141749827,1.4371518697890404,1.0921455002443623,1.1784891433358933,1.1564648509228181,1.2569627712726434,1.3557124141065746,1.4503756584048555,1.0248786535269274,1.1018680002521486
Kyurem (Black),Dragon Tail,Blizzard,45,1.1038459306675787,1.1568439119586362,1.1788846803180997,1.2270657629713562,1.135308566718612,1.2110258464876273,1.1607627812256314,1.2443542202372897,1.1524974975869589,1.2265421120366067,1.1173547742113883,1.155167719566928,1.1416547813609506,1.201764805333865,1.1145103821108244,1.163318116948784,1.11455694636614,1.1598053414992968,1.1426746428041725,1.210465219755772,1.1210501273475328,1.1911584427215987,1.1107230682004985,1.1663999570580756,1.1717141011513472,1.2378310597712507,1.1763525064798985,1.2325594220481995,1.2259798234922685,1.3149532298565325,1.1230111463570596,1.2107902754617148,1.1221485584681816,1.226741396606621,1.2246517313325886,1.3208813673628528,1.1184293001861156,1.2375529175787616,1.1690608253104589,1.2197896267457815,1.5349228513579558,1.642595824897019,1.5678512559037299,1.7072006285924142,1.1595679259912837,1.2546322290847838,1.1856758630833562,1.2426824399571348
Kyurem (Black),Dragon Tail,Avalanche,45,0.9795319404954235,1.0307311024716204,1.0294604165916639,1.0912064029225461,1.0189198976824518,1.089196846574476,1.0400299028800857,1.1019958883539882,1.0167706359703998,1.0893987058949701,0.9624997341160955,1.0249186395252377,0.9923832891879121,1.0573919376444119,0.9722494730972431,1.0340676892833176,0.9656359611977169,1.0326302306859294,1.0217768329460621,1.0880466702921836,0.971938761230373,1.0324386352822637,0.981877165967183,1.0343032169540085,1.0322700155792834,1.1078295398411675,1.0437875696244416,1.1170021507748304,1.105713740289872,1.1526454132953494,1.0223554045412941,1.077121757337914,1.002148122301217,1.0917259126793737,1.0881683491749035,1.1914371219625282,1.0355644702456148,1.0959893538028331,1.0256106570353085,1.0795876965653108,1.202045660825246,1.321699364658242,1.2626508493684183,1.3901201670552668,1.0201866260260422,1.115371246758108,1.0521422117627282,1.1352356538000883
Kyurem (Black),Shadow Claw,Avalanche,45,1.0324138689274578,1.0912068581131638,0.9324502282291728,0.9902228100326095,1.1465349844409813,1.2520937899933962,0.9476080918224645,0.9993645637981814,1.05599149179566,1.1440920709255353,0.984629783251441,1.0668219428668666,1.0217100101007035,1.1025481517446472,1.0013174931715292,1.0724715756046386,1.0866923090099023,1.1750270729093908,1.0539279181292331,1.1360359914965146,0.9942623639060707,1.0692602647709144,1.1713986654455057,1.2774920574214046,1.0685393471900293,1.1521070030778586,0.9475210941377599,1.0088678100700381,0.9934507114641918,1.0640097505102866,1.3096781473726444,1.3871509710746392,1.2164587604134862,1.3630108605574214,1.1542603637589832,1.2658222512592467,1.2991446397747326,1.4060694895804202,1.258662945460089,1.3494142617587392,1.0255602876492356,1.1031906723451792,1.0877808808834457,1.1724017183803497,1.2793508194968048,1.3549504023956578,0.9572608266268833,1.0365405223676745
Kyurem (Black),Ice Shard,Glaciate,45,0.8604983554088267,0.8855046925057339,0.8878351671880536,0.912604048438776,0.8555133329072834,0.9057495448638853,0.8713583254387153,0.9225425181576217,0.859328638329818,0.9203897508311586,0.8289260417331376,0.8572182162380617,0.8610524673027653,0.8887817164259982,0.8515164403111325,0.8822214031207765,0.841032063079403,0.8634840217496808,0.85488505462995,0.897060364858852,0.856192448711131,0.8917881832684934,0.8501595225394781,0.8785414506989805,0.8804100011399476,0.9123095337614471,0.8883803011084762,0.9231015276016103,0.8799394998458128,0.963406217418758,0.8643755407048911,0.9021527890968817,0.835205216556898,0.9015462118899115,0.9155619718013024,0.9890935530780417,0.8588318113000125,0.9238083298778195,0.8580039166480997,0.9338156830094868,0.8659289255044335,0.8974725965230748,0.8716936978486083,0.9425555356273541,0.844522873719954,0.8753375578193097,0.9130192683490576,0.972568342753882
Kyurem (Black),Shadow Claw,Blizzard,45,1.197025687384138,1.2581320986937945,1.0380950395919348,1.0764458777585981,1.3713025823546474,1.4843139857469885,1.0163228479915447,1.0872932093394945,1.223023093697494,1.30920887999142,1.1798247293301851,1.218856486503733,1.202462750946128,1.2666173914174366,1.1727711777103593,1.2276597956656932,1.3463885975947456,1.4020189063115562,1.208687398032333,1.290093439462105,1.1619188894175598,1.2466371854795824,1.5011926448535111,1.6040016505802193,1.2337367481095871,1.32611999848007,1.0478685269949815,1.0955385209286934,1.0540830261824696,1.1262426761039075,1.6289353912509246,1.7918176461000288,1.5424390456666812,1.7017490295285036,1.329343084153512,1.429840460283673,1.5873441402520758,1.6916267273551338,1.5513209892468076,1.6362794188350904,1.194763666829575,1.266773720589262,1.22158736665898,1.3411053319326656,1.4764578487206226,1.6393946685917489,1.022189069361854,1.116335021327562
Kyurem (Black),Shadow Claw,Glaciate,45,1.0085634793868743,1.0510800550945678,0.8921780585456619,0.9224930318573439,1.1404801583595108,1.2272386879626125,0.865709001153581,0.9298081446680716,1.0229618739498803,1.0956435670110463,0.9958309403781932,1.0264203518175823,1.0151012021137782,1.057175184348678,1.0022399274150102,1.0339429338323551,1.1281362228866478,1.1559342485150341,1.0164769862065555,1.080065259306867,0.9890844971871589,1.0352234879229758,1.2433901307380308,1.2944507627223838,1.032972983242771,1.11841205304556,0.8928693542160702,0.9553190315998455,0.9484720774167021,1.0005580111308536,1.3356319821457676,1.3951628070263424,1.2110720983992673,1.2991669210973962,1.1384749942043035,1.2146199076903623,1.3435809409926809,1.4301487960346773,1.2898554123620671,1.3682704597957245,1.0137471200167563,1.0575438106541926,1.0434548668938481,1.1447470684192096,1.2516376567471459,1.3687869308307266,0.8809438759429304,0.9379714651929987
Kyurem (Black),Dragon Tail,Glaciate,45,0.9446962316415066,0.9920977165072975,1.0079524934676622,1.0449087557009922,0.9716611198232876,1.0360126962902514,0.9775535061771359,1.0576970915582364,0.9868087083973831,1.0377663282450935,0.9598153702167485,0.9825771595090719,0.9812746827815516,1.0149949929988684,0.9536646913720264,0.9963159337283922,0.9553339816874844,0.9884685583128582,0.9792930241756068,1.0325505512433875,0.9582887850205715,1.006112681575191,0.9478557553920631,0.9975878715902268,1.0018999126040202,1.0608447011437474,1.0187062262173936,1.0568356035956543,1.0231427774269812,1.127534912406937,0.97313088506338,1.0109081334553707,0.9499498407990579,1.0227352030357222,1.0470715926573795,1.141931336803726,0.9624586543746806,1.0432116028119847,0.9806278363450872,1.0636983008314083,1.262277455840257,1.336095789988131,1.3021172290689829,1.3727228471136848,0.9717921980695704,0.9992379882890832,1.0207497215860142,1.0896703158160157
Kyurem (Black),Ice Shard,Ice Beam,45,0.9713257817534365,1.0294087106832763,0.9937888316447469,1.0539943421144877,0.9940877368059686,1.0582721705773142,1.0193015357448976,1.0767060430885036,0.9926916133414363,1.0619883459049797,0.9195456575840724,0.9877672133239741,0.9650355258651707,1.0357859691256606,0.9609458731463891,1.017503567816874,0.945715248185782,1.0048283986730944,0.983275819449251,1.0468957334256193,0.9557754205267429,1.023714629572616,0.9592554943856789,1.0179550921406215,0.9941197704905576,1.0605502146901244,1.0157944079854409,1.0857993713119727,1.0647439756824624,1.1086946944889058,0.9900698371302832,1.0296651077648356,0.9766432590395604,1.059285994678763,1.044026217623132,1.1334696200130667,1.0014079210021312,1.0702031842158555,0.9855764156806642,1.0502597417826613,0.9738881519234798,1.0446205403895832,1.0105220904114036,1.0811277084561053,0.9823935188898693,1.0686211598620359,1.022483242629909,1.10638566115442
Weavile,Ice Shard or Snarl,Avalanche,45,1.1619685618912952,1.2113627965074196,1.1589039694254384,1.1803455744004365,1.2216082732357023,1.280993089796594,1.1656529332534205,1.2035264775825067,1.240316555249705,1.3040431844993385,1.2315551017803585,1.203486269755174,1.1860718667227335,1.2521361037294572,1.2419688678442824,1.2246921281200676,1.2211775811568744,1.222816229662012,1.2189568398675037,1.2724180550748998,1.2100982395253155,1.2608105460550252,1.1697480852263007,1.2509452255625224,1.232235817152411,1.2782232017327204,1.1665030607180278,1.2095737053989963,1.1588422737485131,1.2093569655942085,1.211254184585679,1.277028975513121,1.1875517948270597,1.2560191041130544,1.2615018230099686,1.3308921157453266,1.2050743015843934,1.2688164784617018,1.2162834058421381,1.280087245095395,1.2077567548697898,1.2623821825036654,1.2487039551786279,1.3076088720353243,1.2025881660918158,1.255969091735515,1.1505116513626525,1.1940703074110652
Shadow Glaceon,Frost Breath,Avalanche,35,1.091861945962124,1.1066663205441045,1.1845842515238962,1.184144656936215,1.1232808472496014,1.1620350114787705,1.1563856182613796,1.196504456431375,1.096765184284846,1.165936796196332,1.1354412609278284,1.1069214898006934,1.1049801237227812,1.132535970209427,1.1261939191168826,1.1085599251467293,1.1444161291734627,1.1022470990592521,1.1517812824442577,1.1472329065110989,1.1806795600212712,1.1390691035293459,1.1758236965616267,1.1506322191916853,1.1427974313181595,1.1779458144925334,1.1561683119174984,1.175337781944521,1.165523722815313,1.2320738924213277,1.0968567022330329,1.1624308838095716,1.09362323897588,1.1450255157674358,1.1613205757760965,1.2150308752555374,1.1152470129895178,1.1581211004927725,1.1224011163619734,1.183097435416349,1.1004398519863157,1.1393004258884312,1.1304243852861549,1.1743575290168848,1.1071762787091255,1.1477634287853267,1.1487991426950475,1.1990607467798533
